species sample cov covnozeroes
Akkermansia_muciniphila_55290 XDB-267 5 6
Akkermansia_muciniphila_55290 XEA-025 5 5
Akkermansia_muciniphila_55290 XEB-001 5 6
Akkermansia_muciniphila_55290 XGB-001 5 5
Akkermansia_muciniphila_55290 XQA-244 5 5
Akkermansia_muciniphila_55290 XQB-001 5 6
Akkermansia_muciniphila_55290 XTA-029 5 6
Akkermansia_muciniphila_55290 XTA-039 5 6
Akkermansia_muciniphila_55290 XTA-042 5 6
Akkermansia_muciniphila_55290 YBB-029 5 7
Akkermansia_muciniphila_55290 XDA-330 6 7
Akkermansia_muciniphila_55290 XLA-030 6 6
Akkermansia_muciniphila_55290 XOA-050 6 6
Akkermansia_muciniphila_55290 XQB-064 6 6
Akkermansia_muciniphila_55290 XTA-023 6 7
Akkermansia_muciniphila_55290 XVA-030 6 8
Akkermansia_muciniphila_55290 XVA-035 6 7
Akkermansia_muciniphila_55290 ZCB-261 6 7
Akkermansia_muciniphila_55290 ZCB-323 6 7
Akkermansia_muciniphila_55290 XDB-458 7 8
Akkermansia_muciniphila_55290 XEA-024 7 8
Akkermansia_muciniphila_55290 XHB-036 7 8
Akkermansia_muciniphila_55290 XLA-043 7 7
Akkermansia_muciniphila_55290 XOA-025 7 8
Akkermansia_muciniphila_55290 XTA-028 7 8
Akkermansia_muciniphila_55290 XTB-028 7 8
Akkermansia_muciniphila_55290 XTB-038 7 8
Akkermansia_muciniphila_55290 XVA-057 7 8
Akkermansia_muciniphila_55290 XVA-309 7 8
Akkermansia_muciniphila_55290 ZDB-411 7 7
Akkermansia_muciniphila_55290 XDA-039 8 9
Akkermansia_muciniphila_55290 XDA-064 8 10
Akkermansia_muciniphila_55290 XEA-029 8 9
Akkermansia_muciniphila_55290 XLA-001 8 8
Akkermansia_muciniphila_55290 XPB-063 8 9
Akkermansia_muciniphila_55290 XTB-065 8 9
Akkermansia_muciniphila_55290 XCA-015 9 9
Akkermansia_muciniphila_55290 XCA-040 9 9
Akkermansia_muciniphila_55290 XDA-050 9 10
Akkermansia_muciniphila_55290 XQA-029 9 10
Akkermansia_muciniphila_55290 XTA-026 9 10
Akkermansia_muciniphila_55290 XTB-001 9 10
Akkermansia_muciniphila_55290 XVB-129 9 10
Akkermansia_muciniphila_55290 XDB-816 10 11
Akkermansia_muciniphila_55290 XGB-029 10 10
Akkermansia_muciniphila_55290 XQA-022 10 10
Akkermansia_muciniphila_55290 XQA-036 10 11
Akkermansia_muciniphila_55290 XQA-040 10 11
Akkermansia_muciniphila_55290 XVA-034 10 11
Akkermansia_muciniphila_55290 XEA-023 11 11
Akkermansia_muciniphila_55290 XTA-064 11 12
Akkermansia_muciniphila_55290 XVA-031 11 12
Akkermansia_muciniphila_55290 YAD-001 11 11
Akkermansia_muciniphila_55290 ZCB-001 11 13
Akkermansia_muciniphila_55290 XGB-428 12 12
Akkermansia_muciniphila_55290 XLB-001 12 12
Akkermansia_muciniphila_55290 XPB-036 12 13
Akkermansia_muciniphila_55290 YAC-001 12 14
Akkermansia_muciniphila_55290 YAC-064 12 13
Akkermansia_muciniphila_55290 YAD-064 12 13
Akkermansia_muciniphila_55290 ZEA-064 12 13
Akkermansia_muciniphila_55290 XCA-037 13 13
Akkermansia_muciniphila_55290 ZCB-064 13 15
Akkermansia_muciniphila_55290 XCA-008 14 14
Akkermansia_muciniphila_55290 XDA-706 14 15
Akkermansia_muciniphila_55290 XLA-034 14 15
Akkermansia_muciniphila_55290 XVA-009 14 15
Akkermansia_muciniphila_55290 YBB-050 14 16
Akkermansia_muciniphila_55290 ZCA-323 14 15
Akkermansia_muciniphila_55290 XDB-591 15 17
Akkermansia_muciniphila_55290 XQA-532 15 17
Akkermansia_muciniphila_55290 XVA-041 15 16
Akkermansia_muciniphila_55290 XVA-050 15 16
Akkermansia_muciniphila_55290 XCA-039 16 16
Akkermansia_muciniphila_55290 XEA-037 16 16
Akkermansia_muciniphila_55290 XLA-026 16 17
Akkermansia_muciniphila_55290 XLA-033 16 16
Akkermansia_muciniphila_55290 XTA-016 17 19
Akkermansia_muciniphila_55290 XVA-032 17 19
Akkermansia_muciniphila_55290 XVA-398 17 19
Akkermansia_muciniphila_55290 YBC-435 17 19
Akkermansia_muciniphila_55290 XCA-029 18 18
Akkermansia_muciniphila_55290 XCA-064 18 18
Akkermansia_muciniphila_55290 XLB-036 18 18
Akkermansia_muciniphila_55290 XOA-057 18 19
Akkermansia_muciniphila_55290 XQA-039 18 19
Akkermansia_muciniphila_55290 XVA-027 18 19
Akkermansia_muciniphila_55290 XVA-216 18 19
Akkermansia_muciniphila_55290 XEA-039 19 19
Akkermansia_muciniphila_55290 XGB-252 19 19
Akkermansia_muciniphila_55290 XQA-001 19 20
Akkermansia_muciniphila_55290 XTA-001 19 20
Akkermansia_muciniphila_55290 YBC-043 19 21
Akkermansia_muciniphila_55290 XEA-040 21 21
Akkermansia_muciniphila_55290 XQA-037 21 22
Akkermansia_muciniphila_55290 XVA-617 22 24
Akkermansia_muciniphila_55290 XVB-036 22 22
Akkermansia_muciniphila_55290 XVA-024 23 24
Akkermansia_muciniphila_55290 XVB-064 24 24
Akkermansia_muciniphila_55290 YBC-260 24 25
Akkermansia_muciniphila_55290 XLA-029 25 25
Akkermansia_muciniphila_55290 XCA-038 26 26
Akkermansia_muciniphila_55290 XVA-033 26 28
Akkermansia_muciniphila_55290 XCA-258 27 28
Akkermansia_muciniphila_55290 XLA-032 27 27
Akkermansia_muciniphila_55290 XLB-172 28 29
Akkermansia_muciniphila_55290 XVA-064 28 30
Akkermansia_muciniphila_55290 ZDB-324 28 29
Akkermansia_muciniphila_55290 XBB-380 29 29
Akkermansia_muciniphila_55290 ZCA-260 29 31
Akkermansia_muciniphila_55290 XCA-024 31 32
Akkermansia_muciniphila_55290 XNB-001 31 31
Akkermansia_muciniphila_55290 XVA-015 31 33
Akkermansia_muciniphila_55290 ZCA-064 31 33
Akkermansia_muciniphila_55290 XEB-064 34 37
Akkermansia_muciniphila_55290 XLA-036 34 35
Akkermansia_muciniphila_55290 XVA-036 34 36
Akkermansia_muciniphila_55290 ZCA-001 34 36
Akkermansia_muciniphila_55290 YBC-001 35 38
Akkermansia_muciniphila_55290 XNB-029 36 37
Akkermansia_muciniphila_55290 XEA-038 37 37
Akkermansia_muciniphila_55290 XDB-064 38 41
Akkermansia_muciniphila_55290 XEA-050 38 39
Akkermansia_muciniphila_55290 XVA-022 39 41
Akkermansia_muciniphila_55290 XVA-029 40 42
Akkermansia_muciniphila_55290 XEA-043 47 47
Akkermansia_muciniphila_55290 XVA-023 50 52
Akkermansia_muciniphila_55290 XDB-417 55 58
Akkermansia_muciniphila_55290 XPB-028 63 65
Akkermansia_muciniphila_55290 XDA-268 67 70
Akkermansia_muciniphila_55290 XDB-330 82 85
Akkermansia_muciniphila_55290 XVA-001 96 100
Akkermansia_muciniphila_55290 ZDA-413 96 97
Akkermansia_muciniphila_55290 XCA-044 168 170
Akkermansia_muciniphila_55290 XVA-129 243 250
Akkermansia_muciniphila_55290 XEA-064 335 337
Alistipes_finegoldii_56071 XHA-321 0 2
Alistipes_finegoldii_56071 ZCA-001 2 4
Alistipes_finegoldii_56071 XCA-029 3 5
Alistipes_finegoldii_56071 XFB-036 3 5
Alistipes_finegoldii_56071 XPA-002 3 4
Alistipes_finegoldii_56071 XRB-059 3 4
Alistipes_finegoldii_56071 ZCB-323 3 4
Alistipes_finegoldii_56071 XCA-008 4 4
Alistipes_finegoldii_56071 XCA-037 4 5
Alistipes_finegoldii_56071 XCA-064 4 5
Alistipes_finegoldii_56071 XCA-604 4 5
Alistipes_finegoldii_56071 XCB-695 4 5
Alistipes_finegoldii_56071 XDA-029 4 5
Alistipes_finegoldii_56071 XDA-583 4 5
Alistipes_finegoldii_56071 XFA-001 4 5
Alistipes_finegoldii_56071 XFA-027 4 5
Alistipes_finegoldii_56071 XIC-008 4 5
Alistipes_finegoldii_56071 XIC-198 4 5
Alistipes_finegoldii_56071 XMB-001 4 5
Alistipes_finegoldii_56071 XQB-452 4 6
Alistipes_finegoldii_56071 XRB-036 4 5
Alistipes_finegoldii_56071 XTB-028 4 5
Alistipes_finegoldii_56071 XUB-130 4 5
Alistipes_finegoldii_56071 XCA-805 5 6
Alistipes_finegoldii_56071 XCB-604 5 6
Alistipes_finegoldii_56071 XDA-816 5 6
Alistipes_finegoldii_56071 XFB-064 5 6
Alistipes_finegoldii_56071 XFB-313 5 5
Alistipes_finegoldii_56071 XOB-028 5 5
Alistipes_finegoldii_56071 XQA-028 5 5
Alistipes_finegoldii_56071 XQB-531 5 7
Alistipes_finegoldii_56071 XUB-029 5 6
Alistipes_finegoldii_56071 XUB-036 5 6
Alistipes_finegoldii_56071 YEB-001 5 6
Alistipes_finegoldii_56071 ZAA-326 5 6
Alistipes_finegoldii_56071 ZAB-002 5 7
Alistipes_finegoldii_56071 ZDA-260 5 6
Alistipes_finegoldii_56071 XBA-023 6 7
Alistipes_finegoldii_56071 XDA-513 6 7
Alistipes_finegoldii_56071 XFA-029 6 8
Alistipes_finegoldii_56071 XGC-428 6 7
Alistipes_finegoldii_56071 XLB-064 6 7
Alistipes_finegoldii_56071 XQA-024 6 6
Alistipes_finegoldii_56071 XQB-647 6 8
Alistipes_finegoldii_56071 XTB-001 6 7
Alistipes_finegoldii_56071 XTB-065 6 6
Alistipes_finegoldii_56071 XUB-001 6 7
Alistipes_finegoldii_56071 ZAA-002 6 8
Alistipes_finegoldii_56071 XBA-022 7 7
Alistipes_finegoldii_56071 XBA-026 7 8
Alistipes_finegoldii_56071 XCB-804 7 8
Alistipes_finegoldii_56071 XDA-460 7 8
Alistipes_finegoldii_56071 XGC-064 7 9
Alistipes_finegoldii_56071 ZCB-261 7 8
Alistipes_finegoldii_56071 ZDB-411 7 10
Alistipes_finegoldii_56071 XCB-064 8 10
Alistipes_finegoldii_56071 XDA-050 8 9
Alistipes_finegoldii_56071 XDA-417 8 10
Alistipes_finegoldii_56071 XHB-064 8 10
Alistipes_finegoldii_56071 XMB-064 8 9
Alistipes_finegoldii_56071 XPB-028 8 9
Alistipes_finegoldii_56071 XQA-022 8 9
Alistipes_finegoldii_56071 XQA-532 8 8
Alistipes_finegoldii_56071 YEB-002 8 9
Alistipes_finegoldii_56071 ZCB-001 8 10
Alistipes_finegoldii_56071 XBA-008 9 10
Alistipes_finegoldii_56071 XBA-025 9 10
Alistipes_finegoldii_56071 XBA-027 9 10
Alistipes_finegoldii_56071 XEB-001 9 11
Alistipes_finegoldii_56071 XHC-323 9 10
Alistipes_finegoldii_56071 XPB-008 9 10
Alistipes_finegoldii_56071 XPB-063 9 10
Alistipes_finegoldii_56071 XQA-009 9 9
Alistipes_finegoldii_56071 XQA-244 9 9
Alistipes_finegoldii_56071 YCA-064 9 10
Alistipes_finegoldii_56071 ZAB-064 9 12
Alistipes_finegoldii_56071 XCA-001 10 11
Alistipes_finegoldii_56071 XCA-258 10 11
Alistipes_finegoldii_56071 XCB-410 10 12
Alistipes_finegoldii_56071 XEB-029 10 12
Alistipes_finegoldii_56071 XHC-262 10 12
Alistipes_finegoldii_56071 YAB-064 10 12
Alistipes_finegoldii_56071 XCB-001 11 13
Alistipes_finegoldii_56071 ZDB-506 11 14
Alistipes_finegoldii_56071 XDA-038 12 14
Alistipes_finegoldii_56071 XEB-036 12 14
Alistipes_finegoldii_56071 YCB-001 12 13
Alistipes_finegoldii_56071 ZDA-001 12 14
Alistipes_finegoldii_56071 XPB-036 13 14
Alistipes_finegoldii_56071 XCB-036 14 16
Alistipes_finegoldii_56071 XEB-064 14 16
Alistipes_finegoldii_56071 XFB-001 14 15
Alistipes_finegoldii_56071 XBA-015 15 16
Alistipes_finegoldii_56071 XDA-556 15 17
Alistipes_finegoldii_56071 XGC-364 15 16
Alistipes_finegoldii_56071 XLA-029 15 16
Alistipes_finegoldii_56071 XFB-029 16 17
Alistipes_finegoldii_56071 XCA-317 17 19
Alistipes_finegoldii_56071 XLB-001 17 18
Alistipes_finegoldii_56071 ZDA-598 17 19
Alistipes_finegoldii_56071 XGC-037 18 20
Alistipes_finegoldii_56071 ZAB-326 18 21
Alistipes_finegoldii_56071 XDA-044 19 21
Alistipes_finegoldii_56071 XIC-064 19 21
Alistipes_finegoldii_56071 XOB-001 19 19
Alistipes_finegoldii_56071 XRB-153 19 21
Alistipes_finegoldii_56071 ZDB-064 19 24
Alistipes_finegoldii_56071 XBA-028 20 21
Alistipes_finegoldii_56071 XQB-348 20 23
Alistipes_finegoldii_56071 YCA-001 20 22
Alistipes_finegoldii_56071 XDA-039 21 23
Alistipes_finegoldii_56071 YAB-001 21 24
Alistipes_finegoldii_56071 XLB-036 22 24
Alistipes_finegoldii_56071 XOB-036 22 22
Alistipes_finegoldii_56071 YFC-064 22 24
Alistipes_finegoldii_56071 ZAB-411 22 26
Alistipes_finegoldii_56071 XCB-258 23 25
Alistipes_finegoldii_56071 XBA-001 24 26
Alistipes_finegoldii_56071 XQA-133 24 24
Alistipes_finegoldii_56071 ZDB-001 24 29
Alistipes_finegoldii_56071 XBA-024 25 26
Alistipes_finegoldii_56071 ZDA-065 26 29
Alistipes_finegoldii_56071 ZDB-261 26 30
Alistipes_finegoldii_56071 XLB-029 28 30
Alistipes_finegoldii_56071 XQA-064 30 31
Alistipes_finegoldii_56071 ZDA-324 31 33
Alistipes_finegoldii_56071 XOB-129 34 34
Alistipes_finegoldii_56071 XCA-036 35 39
Alistipes_finegoldii_56071 XLB-172 35 36
Alistipes_finegoldii_56071 XDA-057 37 39
Alistipes_finegoldii_56071 XGC-001 39 42
Alistipes_finegoldii_56071 XCB-029 43 47
Alistipes_finegoldii_56071 ZDB-596 43 48
Alistipes_finegoldii_56071 XDA-706 44 47
Alistipes_finegoldii_56071 XGC-029 44 47
Alistipes_finegoldii_56071 XQA-001 47 48
Alistipes_finegoldii_56071 ZDB-324 50 56
Alistipes_finegoldii_56071 XOB-064 51 52
Alistipes_finegoldii_56071 YCB-064 53 55
Alistipes_finegoldii_56071 XQA-029 65 66
Alistipes_finegoldii_56071 XCB-310 66 70
Alistipes_finegoldii_56071 ZAB-256 68 76
Alistipes_finegoldii_56071 YDB-006 78 83
Alistipes_finegoldii_56071 XBA-029 96 98
Alistipes_finegoldii_56071 ZDA-413 108 112
Alistipes_finegoldii_56071 XDA-064 109 116
Alistipes_finegoldii_56071 XGC-252 116 120
Alistipes_finegoldii_56071 XDA-330 121 128
Alistipes_finegoldii_56071 XDA-268 134 141
Alistipes_finegoldii_56071 XPB-139 181 189
Alistipes_indistinctus_62207 XCB-029 3 4
Alistipes_indistinctus_62207 XCA-036 4 5
Alistipes_indistinctus_62207 XCB-310 4 5
Alistipes_indistinctus_62207 XFB-029 4 5
Alistipes_indistinctus_62207 XQA-029 4 5
Alistipes_indistinctus_62207 YBC-043 4 5
Alistipes_indistinctus_62207 YBC-435 4 5
Alistipes_indistinctus_62207 XCA-029 5 6
Alistipes_indistinctus_62207 XDA-023 5 5
Alistipes_indistinctus_62207 XDA-026 5 6
Alistipes_indistinctus_62207 XFB-001 5 6
Alistipes_indistinctus_62207 XIB-259 5 5
Alistipes_indistinctus_62207 XIC-036 6 6
Alistipes_indistinctus_62207 XLA-029 6 7
Alistipes_indistinctus_62207 YBC-260 6 7
Alistipes_indistinctus_62207 XCA-258 7 7
Alistipes_indistinctus_62207 XIC-029 7 8
Alistipes_indistinctus_62207 YDB-006 7 8
Alistipes_indistinctus_62207 XHA-262 9 10
Alistipes_indistinctus_62207 XDA-025 10 11
Alistipes_indistinctus_62207 YAC-064 10 11
Alistipes_indistinctus_62207 XDA-001 11 12
Alistipes_indistinctus_62207 XDA-029 11 12
Alistipes_indistinctus_62207 XIB-277 11 11
Alistipes_indistinctus_62207 XOB-064 13 13
Alistipes_indistinctus_62207 XIC-064 21 21
Alistipes_indistinctus_62207 XHA-321 47 49
Alistipes_onderdonkii_55464 XPB-063 0 2
Alistipes_onderdonkii_55464 ZAA-002 0 2
Alistipes_onderdonkii_55464 XCB-001 1 4
Alistipes_onderdonkii_55464 XHB-064 1 4
Alistipes_onderdonkii_55464 XPB-028 1 3
Alistipes_onderdonkii_55464 XFA-008 2 4
Alistipes_onderdonkii_55464 XFA-025 2 4
Alistipes_onderdonkii_55464 XFA-026 2 4
Alistipes_onderdonkii_55464 XNA-029 2 4
Alistipes_onderdonkii_55464 YEC-005 2 4
Alistipes_onderdonkii_55464 ZCA-323 2 4
Alistipes_onderdonkii_55464 XCA-008 3 4
Alistipes_onderdonkii_55464 XCA-015 3 5
Alistipes_onderdonkii_55464 XCA-026 3 5
Alistipes_onderdonkii_55464 XCB-036 3 5
Alistipes_onderdonkii_55464 XCB-064 3 5
Alistipes_onderdonkii_55464 XCB-258 3 4
Alistipes_onderdonkii_55464 XFA-022 3 5
Alistipes_onderdonkii_55464 XFB-036 3 6
Alistipes_onderdonkii_55464 XGA-035 3 5
Alistipes_onderdonkii_55464 XIC-036 3 5
Alistipes_onderdonkii_55464 XIC-057 3 5
Alistipes_onderdonkii_55464 XNA-001 3 5
Alistipes_onderdonkii_55464 XQA-009 3 4
Alistipes_onderdonkii_55464 XQA-039 3 5
Alistipes_onderdonkii_55464 XQA-455 3 4
Alistipes_onderdonkii_55464 YBA-435 3 5
Alistipes_onderdonkii_55464 ZAC-709 3 5
Alistipes_onderdonkii_55464 ZCA-001 3 5
Alistipes_onderdonkii_55464 XCA-022 4 6
Alistipes_onderdonkii_55464 XFA-024 4 6
Alistipes_onderdonkii_55464 XFA-027 4 6
Alistipes_onderdonkii_55464 XFA-028 4 6
Alistipes_onderdonkii_55464 XHA-410 4 7
Alistipes_onderdonkii_55464 XLA-023 4 6
Alistipes_onderdonkii_55464 XLA-031 4 6
Alistipes_onderdonkii_55464 XLB-001 4 6
Alistipes_onderdonkii_55464 XLB-172 4 6
Alistipes_onderdonkii_55464 XPA-009 4 6
Alistipes_onderdonkii_55464 XUA-029 4 6
Alistipes_onderdonkii_55464 XVB-310 4 5
Alistipes_onderdonkii_55464 YBB-360 4 7
Alistipes_onderdonkii_55464 XCA-036 5 8
Alistipes_onderdonkii_55464 XCA-039 5 7
Alistipes_onderdonkii_55464 XHB-036 5 9
Alistipes_onderdonkii_55464 XLA-026 5 7
Alistipes_onderdonkii_55464 XOB-028 5 7
Alistipes_onderdonkii_55464 XPA-031 5 7
Alistipes_onderdonkii_55464 XQA-022 5 7
Alistipes_onderdonkii_55464 XQA-043 5 7
Alistipes_onderdonkii_55464 XQA-050 5 7
Alistipes_onderdonkii_55464 ZCB-261 5 7
Alistipes_onderdonkii_55464 XAA-623 6 8
Alistipes_onderdonkii_55464 XCA-050 6 8
Alistipes_onderdonkii_55464 XFB-242 6 8
Alistipes_onderdonkii_55464 XGA-026 6 9
Alistipes_onderdonkii_55464 XGA-037 6 8
Alistipes_onderdonkii_55464 XIC-029 6 8
Alistipes_onderdonkii_55464 XLB-029 6 9
Alistipes_onderdonkii_55464 XQA-040 6 9
Alistipes_onderdonkii_55464 XUA-022 6 8
Alistipes_onderdonkii_55464 XUA-057 6 9
Alistipes_onderdonkii_55464 ZCB-001 6 9
Alistipes_onderdonkii_55464 XEB-001 7 10
Alistipes_onderdonkii_55464 XFB-064 7 12
Alistipes_onderdonkii_55464 XIB-277 7 8
Alistipes_onderdonkii_55464 XLA-043 7 10
Alistipes_onderdonkii_55464 XQA-244 7 9
Alistipes_onderdonkii_55464 XUA-008 7 10
Alistipes_onderdonkii_55464 XUA-043 7 10
Alistipes_onderdonkii_55464 ZCB-064 7 10
Alistipes_onderdonkii_55464 XCA-040 8 11
Alistipes_onderdonkii_55464 XCA-409 8 11
Alistipes_onderdonkii_55464 XFB-029 8 14
Alistipes_onderdonkii_55464 XGA-027 8 12
Alistipes_onderdonkii_55464 XGC-064 8 11
Alistipes_onderdonkii_55464 XPA-030 8 11
Alistipes_onderdonkii_55464 XUA-623 8 12
Alistipes_onderdonkii_55464 XVB-027 8 9
Alistipes_onderdonkii_55464 YFC-064 8 11
Alistipes_onderdonkii_55464 ZAC-263 8 11
Alistipes_onderdonkii_55464 XEB-029 9 14
Alistipes_onderdonkii_55464 XQA-532 9 12
Alistipes_onderdonkii_55464 XUA-050 9 13
Alistipes_onderdonkii_55464 XUA-221 9 13
Alistipes_onderdonkii_55464 YBC-043 9 10
Alistipes_onderdonkii_55464 YDB-006 9 12
Alistipes_onderdonkii_55464 XCA-044 10 13
Alistipes_onderdonkii_55464 XGA-023 10 14
Alistipes_onderdonkii_55464 XHA-036 10 15
Alistipes_onderdonkii_55464 XIC-198 10 13
Alistipes_onderdonkii_55464 XUA-039 10 14
Alistipes_onderdonkii_55464 XUA-040 10 13
Alistipes_onderdonkii_55464 YBA-043 10 15
Alistipes_onderdonkii_55464 ZCB-323 10 12
Alistipes_onderdonkii_55464 XDA-057 11 12
Alistipes_onderdonkii_55464 XFA-001 11 16
Alistipes_onderdonkii_55464 XGA-040 11 14
Alistipes_onderdonkii_55464 ZDA-260 11 15
Alistipes_onderdonkii_55464 XCA-001 12 16
Alistipes_onderdonkii_55464 XCB-310 12 15
Alistipes_onderdonkii_55464 XEB-036 12 17
Alistipes_onderdonkii_55464 XQA-001 12 15
Alistipes_onderdonkii_55464 XUA-318 12 16
Alistipes_onderdonkii_55464 XUA-397 12 17
Alistipes_onderdonkii_55464 XUA-507 12 17
Alistipes_onderdonkii_55464 YBC-360 12 13
Alistipes_onderdonkii_55464 ZEA-064 12 17
Alistipes_onderdonkii_55464 XCA-805 13 17
Alistipes_onderdonkii_55464 YBA-360 13 18
Alistipes_onderdonkii_55464 ZDA-503 13 18
Alistipes_onderdonkii_55464 XFA-029 14 19
Alistipes_onderdonkii_55464 XCA-604 15 19
Alistipes_onderdonkii_55464 XGC-037 15 19
Alistipes_onderdonkii_55464 XVB-001 15 16
Alistipes_onderdonkii_55464 YBB-435 16 21
Alistipes_onderdonkii_55464 ZDA-598 16 21
Alistipes_onderdonkii_55464 XAA-652 17 20
Alistipes_onderdonkii_55464 XCA-029 17 23
Alistipes_onderdonkii_55464 XCB-029 17 21
Alistipes_onderdonkii_55464 XFB-313 17 23
Alistipes_onderdonkii_55464 XGA-025 17 22
Alistipes_onderdonkii_55464 XGB-365 17 23
Alistipes_onderdonkii_55464 XHA-003 17 23
Alistipes_onderdonkii_55464 XUA-015 17 23
Alistipes_onderdonkii_55464 XGA-038 18 24
Alistipes_onderdonkii_55464 XLB-036 18 22
Alistipes_onderdonkii_55464 ZAC-326 18 24
Alistipes_onderdonkii_55464 ZDA-001 18 25
Alistipes_onderdonkii_55464 ZEC-064 18 23
Alistipes_onderdonkii_55464 XGC-364 19 23
Alistipes_onderdonkii_55464 XHA-064 19 25
Alistipes_onderdonkii_55464 YBB-029 19 25
Alistipes_onderdonkii_55464 XGA-022 20 26
Alistipes_onderdonkii_55464 XGA-030 20 25
Alistipes_onderdonkii_55464 YBA-004 20 28
Alistipes_onderdonkii_55464 ZDB-411 20 22
Alistipes_onderdonkii_55464 XAA-014 21 27
Alistipes_onderdonkii_55464 XDA-064 21 23
Alistipes_onderdonkii_55464 YBA-260 21 26
Alistipes_onderdonkii_55464 XEB-064 22 29
Alistipes_onderdonkii_55464 XGC-428 23 28
Alistipes_onderdonkii_55464 ZEA-001 23 30
Alistipes_onderdonkii_55464 ZEC-001 23 28
Alistipes_onderdonkii_55464 XAA-026 24 29
Alistipes_onderdonkii_55464 XCA-695 24 30
Alistipes_onderdonkii_55464 XVB-036 24 26
Alistipes_onderdonkii_55464 ZDA-065 24 33
Alistipes_onderdonkii_55464 XIB-259 25 27
Alistipes_onderdonkii_55464 XAA-024 26 32
Alistipes_onderdonkii_55464 XOB-001 26 31
Alistipes_onderdonkii_55464 XVB-064 26 28
Alistipes_onderdonkii_55464 XEA-038 27 35
Alistipes_onderdonkii_55464 XGA-028 27 34
Alistipes_onderdonkii_55464 ZDB-064 27 30
Alistipes_onderdonkii_55464 XGC-029 28 34
Alistipes_onderdonkii_55464 XLA-029 28 34
Alistipes_onderdonkii_55464 YBC-001 28 29
Alistipes_onderdonkii_55464 XCA-064 29 37
Alistipes_onderdonkii_55464 XEA-039 29 38
Alistipes_onderdonkii_55464 XEA-040 31 40
Alistipes_onderdonkii_55464 XEA-390 31 41
Alistipes_onderdonkii_55464 XFB-001 31 43
Alistipes_onderdonkii_55464 XGA-024 31 40
Alistipes_onderdonkii_55464 XAA-021 32 38
Alistipes_onderdonkii_55464 XEA-043 32 41
Alistipes_onderdonkii_55464 XGA-428 32 40
Alistipes_onderdonkii_55464 XAA-010 33 39
Alistipes_onderdonkii_55464 YEB-002 33 39
Alistipes_onderdonkii_55464 XCA-258 34 40
Alistipes_onderdonkii_55464 ZDA-324 34 43
Alistipes_onderdonkii_55464 XDA-706 35 37
Alistipes_onderdonkii_55464 XGA-057 36 45
Alistipes_onderdonkii_55464 XPA-036 36 45
Alistipes_onderdonkii_55464 YBB-050 36 46
Alistipes_onderdonkii_55464 XAA-022 37 45
Alistipes_onderdonkii_55464 XHA-029 37 46
Alistipes_onderdonkii_55464 XDA-330 38 40
Alistipes_onderdonkii_55464 XGA-039 38 47
Alistipes_onderdonkii_55464 XOB-129 38 44
Alistipes_onderdonkii_55464 ZDB-001 38 41
Alistipes_onderdonkii_55464 XAA-027 39 46
Alistipes_onderdonkii_55464 XGB-428 39 49
Alistipes_onderdonkii_55464 XQA-064 39 45
Alistipes_onderdonkii_55464 YEB-001 39 46
Alistipes_onderdonkii_55464 XLA-148 40 49
Alistipes_onderdonkii_55464 XVB-129 42 45
Alistipes_onderdonkii_55464 XGA-364 43 54
