sample1 sample2 subject1 subject2 hh1 hh2 species shared
XHA-003 XHC-001 XHA XHC XH XH Anaerostipes_hadrus_55206 FALSE
XKA-001 XKB-001 XKA XKB XK XK Anaerostipes_hadrus_55206 FALSE
XLA-001 XLB-001 XLA XLB XL XL Anaerostipes_hadrus_55206 FALSE
XMA-001 XMB-001 XMA XMB XM XM Anaerostipes_hadrus_55206 TRUE
XNA-001 XNB-001 XNA XNB XN XN Anaerostipes_hadrus_55206 FALSE
XPA-002 XPB-008 XPA XPB XP XP Anaerostipes_hadrus_55206 TRUE
XQA-001 XQB-001 XQA XQB XQ XQ Anaerostipes_hadrus_55206 FALSE
XSA-001 XSB-001 XSA XSB XS XS Anaerostipes_hadrus_55206 FALSE
XTA-001 XTB-001 XTA XTB XT XT Anaerostipes_hadrus_55206 FALSE
XUA-001 XUB-001 XUA XUB XU XU Anaerostipes_hadrus_55206 FALSE
XVA-001 XVB-001 XVA XVB XV XV Anaerostipes_hadrus_55206 TRUE
YEA-004 YEB-001 YEA YEB YE YE Anaerostipes_hadrus_55206 TRUE
ZEA-001 ZEB-001 ZEA ZEB ZE ZE Anaerostipes_hadrus_55206 FALSE
ZEA-001 ZEC-001 ZEA ZEC ZE ZE Anaerostipes_hadrus_55206 FALSE
ZEB-001 ZEC-001 ZEB ZEC ZE ZE Anaerostipes_hadrus_55206 FALSE
XTA-001 XTB-001 XTA XTB XT XT Bacteroidales_bacterium_58650 FALSE
ZCA-001 ZCB-001 ZCA ZCB ZC ZC Bacteroidales_bacterium_58650 FALSE
ZEA-001 ZEC-001 ZEA ZEC ZE ZE Bacteroidales_bacterium_58650 FALSE
XCA-001 XCB-001 XCA XCB XC XC Bacteroides_caccae_53434 TRUE
XDA-001 XDB-001 XDA XDB XD XD Bacteroides_caccae_53434 FALSE
XGB-001 XGC-001 XGB XGC XG XG Bacteroides_caccae_53434 TRUE
XHA-003 XHC-001 XHA XHC XH XH Bacteroides_caccae_53434 FALSE
XPA-002 XPB-008 XPA XPB XP XP Bacteroides_caccae_53434 FALSE
XRA-001 XRB-002 XRA XRB XR XR Bacteroides_caccae_53434 FALSE
YAB-001 YAC-001 YAB YAC YA YA Bacteroides_caccae_53434 FALSE
YCA-001 YCB-001 YCA YCB YC YC Bacteroides_caccae_53434 TRUE
YEA-004 YEB-001 YEA YEB YE YE Bacteroides_caccae_53434 FALSE
ZAA-002 ZAC-263 ZAA ZAC ZA ZA Bacteroides_caccae_53434 TRUE
ZDA-001 ZDB-001 ZDA ZDB ZD ZD Bacteroides_caccae_53434 TRUE
ZEA-001 ZEC-001 ZEA ZEC ZE ZE Bacteroides_caccae_53434 FALSE
XFA-001 XFB-001 XFA XFB XF XF Bacteroides_cellulosilyticus_58046 FALSE
XGA-001 XGC-001 XGA XGC XG XG Bacteroides_cellulosilyticus_58046 TRUE
XPA-002 XPB-008 XPA XPB XP XP Bacteroides_cellulosilyticus_58046 FALSE
YBA-004 YBC-001 YBA YBC YB YB Bacteroides_cellulosilyticus_58046 TRUE
ZEA-001 ZEC-001 ZEA ZEC ZE ZE Bacteroides_cellulosilyticus_58046 FALSE
XMA-001 XMB-001 XMA XMB XM XM Bacteroides_clarus_62282 FALSE
XHA-003 XHC-001 XHA XHC XH XH Bacteroides_eggerthii_54457 FALSE
ZDA-001 ZDB-001 ZDA ZDB ZD ZD Bacteroides_eggerthii_54457 FALSE
XBA-001 XBB-001 XBA XBB XB XB Bacteroides_faecis_58503 TRUE
XCA-001 XCB-001 XCA XCB XC XC Bacteroides_faecis_58503 TRUE
YBA-004 YBC-001 YBA YBC YB YB Bacteroides_faecis_58503 TRUE
XGA-001 XGB-001 XGA XGB XG XG Bacteroides_finegoldii_57739 FALSE
XGA-001 XGC-001 XGA XGC XG XG Bacteroides_finegoldii_57739 FALSE
XGB-001 XGC-001 XGB XGC XG XG Bacteroides_finegoldii_57739 TRUE
XNA-001 XNB-001 XNA XNB XN XN Bacteroides_finegoldii_57739 TRUE
XQA-001 XQB-001 XQA XQB XQ XQ Bacteroides_finegoldii_57739 TRUE
XAA-002 XAD-003 XAA XAD XA XA Bacteroides_fragilis_54507 FALSE
XDA-001 XDB-001 XDA XDB XD XD Bacteroides_fragilis_54507 FALSE
ZEA-001 ZEB-001 ZEA ZEB ZE ZE Bacteroides_fragilis_54507 FALSE
XCA-001 XCB-001 XCA XCB XC XC Bacteroides_massiliensis_44749 FALSE
XEA-001 XEB-001 XEA XEB XE XE Bacteroides_massiliensis_44749 FALSE
XHA-003 XHB-001 XHA XHB XH XH Bacteroides_massiliensis_44749 FALSE
XHA-003 XHC-001 XHA XHC XH XH Bacteroides_massiliensis_44749 FALSE
XHB-001 XHC-001 XHB XHC XH XH Bacteroides_massiliensis_44749 FALSE
XIB-002 XIC-008 XIB XIC XI XI Bacteroides_massiliensis_44749 FALSE
XLA-001 XLB-001 XLA XLB XL XL Bacteroides_massiliensis_44749 TRUE
XNA-001 XNB-001 XNA XNB XN XN Bacteroides_massiliensis_44749 TRUE
XQA-001 XQB-001 XQA XQB XQ XQ Bacteroides_massiliensis_44749 TRUE
XBA-001 XBB-001 XBA XBB XB XB Bacteroides_ovatus_58035 TRUE
XCA-001 XCB-001 XCA XCB XC XC Bacteroides_ovatus_58035 FALSE
XGA-001 XGB-001 XGA XGB XG XG Bacteroides_ovatus_58035 TRUE
XGA-001 XGC-001 XGA XGC XG XG Bacteroides_ovatus_58035 TRUE
XGB-001 XGC-001 XGB XGC XG XG Bacteroides_ovatus_58035 TRUE
XNA-001 XNB-001 XNA XNB XN XN Bacteroides_ovatus_58035 FALSE
XQA-001 XQB-001 XQA XQB XQ XQ Bacteroides_ovatus_58035 FALSE
XUA-001 XUB-001 XUA XUB XU XU Bacteroides_ovatus_58035 FALSE
XVA-001 XVB-001 XVA XVB XV XV Bacteroides_ovatus_58035 FALSE
YBB-029 YBC-001 YBB YBC YB YB Bacteroides_ovatus_58035 FALSE
ZCA-001 ZCB-001 ZCA ZCB ZC ZC Bacteroides_ovatus_58035 FALSE
XIA-002 XIB-002 XIA XIB XI XI Bacteroides_plebeius_61623 TRUE
XCA-001 XCB-001 XCA XCB XC XC Bacteroides_stercoris_56735 TRUE
XHA-003 XHC-001 XHA XHC XH XH Bacteroides_stercoris_56735 FALSE
XIA-002 XIB-002 XIA XIB XI XI Bacteroides_stercoris_56735 FALSE
XIA-002 XIC-008 XIA XIC XI XI Bacteroides_stercoris_56735 FALSE
XIB-002 XIC-008 XIB XIC XI XI Bacteroides_stercoris_56735 FALSE
XMA-001 XMB-001 XMA XMB XM XM Bacteroides_stercoris_56735 FALSE
XNA-001 XNB-001 XNA XNB XN XN Bacteroides_stercoris_56735 TRUE
XQA-001 XQB-001 XQA XQB XQ XQ Bacteroides_stercoris_56735 TRUE
XUA-001 XUB-001 XUA XUB XU XU Bacteroides_stercoris_56735 FALSE
YBA-004 YBB-029 YBA YBB YB YB Bacteroides_stercoris_56735 FALSE
YEA-004 YEC-005 YEA YEC YE YE Bacteroides_stercoris_56735 FALSE
ZEA-001 ZEB-001 ZEA ZEB ZE ZE Bacteroides_stercoris_56735 FALSE
XFA-001 XFB-001 XFA XFB XF XF Bacteroides_thetaiotaomicron_56941 FALSE
XGA-001 XGB-001 XGA XGB XG XG Bacteroides_thetaiotaomicron_56941 FALSE
XGA-001 XGC-001 XGA XGC XG XG Bacteroides_thetaiotaomicron_56941 FALSE
XGB-001 XGC-001 XGB XGC XG XG Bacteroides_thetaiotaomicron_56941 FALSE
XMA-001 XMB-001 XMA XMB XM XM Bacteroides_thetaiotaomicron_56941 FALSE
XNA-001 XNB-001 XNA XNB XN XN Bacteroides_thetaiotaomicron_56941 FALSE
XPA-002 XPB-008 XPA XPB XP XP Bacteroides_thetaiotaomicron_56941 FALSE
XRA-001 XRB-002 XRA XRB XR XR Bacteroides_thetaiotaomicron_56941 FALSE
XUA-001 XUB-001 XUA XUB XU XU Bacteroides_thetaiotaomicron_56941 FALSE
YCA-001 YCB-001 YCA YCB YC YC Bacteroides_thetaiotaomicron_56941 TRUE
XAA-002 XAC-002 XAA XAC XA XA Bacteroides_uniformis_57318 FALSE
XBA-001 XBB-001 XBA XBB XB XB Bacteroides_uniformis_57318 FALSE
XCA-001 XCB-001 XCA XCB XC XC Bacteroides_uniformis_57318 FALSE
XDA-001 XDB-001 XDA XDB XD XD Bacteroides_uniformis_57318 FALSE
XFA-001 XFB-001 XFA XFB XF XF Bacteroides_uniformis_57318 TRUE
XGA-001 XGB-001 XGA XGB XG XG Bacteroides_uniformis_57318 FALSE
XGA-001 XGC-001 XGA XGC XG XG Bacteroides_uniformis_57318 FALSE
XGB-001 XGC-001 XGB XGC XG XG Bacteroides_uniformis_57318 TRUE
XIA-002 XIC-008 XIA XIC XI XI Bacteroides_uniformis_57318 FALSE
XLA-001 XLB-001 XLA XLB XL XL Bacteroides_uniformis_57318 TRUE
XMA-001 XMB-001 XMA XMB XM XM Bacteroides_uniformis_57318 FALSE
XPA-002 XPB-008 XPA XPB XP XP Bacteroides_uniformis_57318 FALSE
XQA-001 XQB-001 XQA XQB XQ XQ Bacteroides_uniformis_57318 FALSE
XRA-001 XRB-002 XRA XRB XR XR Bacteroides_uniformis_57318 FALSE
XUA-001 XUB-001 XUA XUB XU XU Bacteroides_uniformis_57318 FALSE
YBA-004 YBB-029 YBA YBB YB YB Bacteroides_uniformis_57318 TRUE
YBA-004 YBC-001 YBA YBC YB YB Bacteroides_uniformis_57318 TRUE
YBB-029 YBC-001 YBB YBC YB YB Bacteroides_uniformis_57318 TRUE
YEB-001 YEC-005 YEB YEC YE YE Bacteroides_uniformis_57318 FALSE
ZAA-002 ZAB-002 ZAA ZAB ZA ZA Bacteroides_uniformis_57318 FALSE
ZCA-001 ZCB-001 ZCA ZCB ZC ZC Bacteroides_uniformis_57318 TRUE
ZDA-001 ZDB-001 ZDA ZDB ZD ZD Bacteroides_uniformis_57318 FALSE
ZEA-001 ZEB-001 ZEA ZEB ZE ZE Bacteroides_uniformis_57318 FALSE
ZEA-001 ZEC-001 ZEA ZEC ZE ZE Bacteroides_uniformis_57318 FALSE
ZEB-001 ZEC-001 ZEB ZEC ZE ZE Bacteroides_uniformis_57318 FALSE
XAA-002 XAC-002 XAA XAC XA XA Bacteroides_vulgatus_57955 FALSE
XAA-002 XAD-003 XAA XAD XA XA Bacteroides_vulgatus_57955 FALSE
XAC-002 XAD-003 XAC XAD XA XA Bacteroides_vulgatus_57955 FALSE
XBA-001 XBB-001 XBA XBB XB XB Bacteroides_vulgatus_57955 TRUE
XCA-001 XCB-001 XCA XCB XC XC Bacteroides_vulgatus_57955 TRUE
XDA-001 XDB-001 XDA XDB XD XD Bacteroides_vulgatus_57955 FALSE
XEA-001 XEB-001 XEA XEB XE XE Bacteroides_vulgatus_57955 FALSE
XFA-001 XFB-001 XFA XFB XF XF Bacteroides_vulgatus_57955 FALSE
XGA-001 XGB-001 XGA XGB XG XG Bacteroides_vulgatus_57955 TRUE
XGA-001 XGC-001 XGA XGC XG XG Bacteroides_vulgatus_57955 TRUE
XGB-001 XGC-001 XGB XGC XG XG Bacteroides_vulgatus_57955 TRUE
XHA-003 XHB-001 XHA XHB XH XH Bacteroides_vulgatus_57955 FALSE
XHA-003 XHC-001 XHA XHC XH XH Bacteroides_vulgatus_57955 FALSE
XHB-001 XHC-001 XHB XHC XH XH Bacteroides_vulgatus_57955 TRUE
XIA-002 XIB-002 XIA XIB XI XI Bacteroides_vulgatus_57955 FALSE
XIA-002 XIC-008 XIA XIC XI XI Bacteroides_vulgatus_57955 FALSE
XIB-002 XIC-008 XIB XIC XI XI Bacteroides_vulgatus_57955 FALSE
XKA-001 XKB-001 XKA XKB XK XK Bacteroides_vulgatus_57955 TRUE
XLA-001 XLB-001 XLA XLB XL XL Bacteroides_vulgatus_57955 FALSE
XMA-001 XMB-001 XMA XMB XM XM Bacteroides_vulgatus_57955 FALSE
XNA-001 XNB-001 XNA XNB XN XN Bacteroides_vulgatus_57955 TRUE
XOA-001 XOB-001 XOA XOB XO XO Bacteroides_vulgatus_57955 TRUE
XPA-002 XPB-008 XPA XPB XP XP Bacteroides_vulgatus_57955 FALSE
XQA-001 XQB-001 XQA XQB XQ XQ Bacteroides_vulgatus_57955 TRUE
XRA-001 XRB-002 XRA XRB XR XR Bacteroides_vulgatus_57955 FALSE
XSA-001 XSB-001 XSA XSB XS XS Bacteroides_vulgatus_57955 TRUE
XTA-001 XTB-001 XTA XTB XT XT Bacteroides_vulgatus_57955 FALSE
XUA-001 XUB-001 XUA XUB XU XU Bacteroides_vulgatus_57955 FALSE
XVA-001 XVB-001 XVA XVB XV XV Bacteroides_vulgatus_57955 TRUE
YAB-001 YAD-001 YAB YAD YA YA Bacteroides_vulgatus_57955 FALSE
YBA-004 YBB-029 YBA YBB YB YB Bacteroides_vulgatus_57955 FALSE
YBA-004 YBC-001 YBA YBC YB YB Bacteroides_vulgatus_57955 FALSE
YBB-029 YBC-001 YBB YBC YB YB Bacteroides_vulgatus_57955 FALSE
YEA-004 YEB-001 YEA YEB YE YE Bacteroides_vulgatus_57955 FALSE
YEA-004 YEC-005 YEA YEC YE YE Bacteroides_vulgatus_57955 FALSE
YEB-001 YEC-005 YEB YEC YE YE Bacteroides_vulgatus_57955 FALSE
YFA-002 YFC-064 YFA YFC YF YF Bacteroides_vulgatus_57955 FALSE
ZAA-002 ZAB-002 ZAA ZAB ZA ZA Bacteroides_vulgatus_57955 FALSE
ZAA-002 ZAC-263 ZAA ZAC ZA ZA Bacteroides_vulgatus_57955 FALSE
ZAB-002 ZAC-263 ZAB ZAC ZA ZA Bacteroides_vulgatus_57955 FALSE
ZCA-001 ZCB-001 ZCA ZCB ZC ZC Bacteroides_vulgatus_57955 FALSE
ZDA-001 ZDB-001 ZDA ZDB ZD ZD Bacteroides_vulgatus_57955 TRUE
ZEA-001 ZEB-001 ZEA ZEB ZE ZE Bacteroides_vulgatus_57955 FALSE
ZEA-001 ZEC-001 ZEA ZEC ZE ZE Bacteroides_vulgatus_57955 FALSE
ZEB-001 ZEC-001 ZEB ZEC ZE ZE Bacteroides_vulgatus_57955 FALSE
YBA-004 YBB-029 YBA YBB YB YB Bacteroides_xylanisolvens_57185 FALSE
YBA-004 YBC-001 YBA YBC YB YB Bacteroides_xylanisolvens_57185 FALSE
YBB-029 YBC-001 YBB YBC YB YB Bacteroides_xylanisolvens_57185 FALSE
ZDA-001 ZDB-001 ZDA ZDB ZD ZD Bacteroides_xylanisolvens_57185 FALSE
XEA-001 XEB-001 XEA XEB XE XE Barnesiella_intestinihominis_62208 FALSE
XFA-001 XFB-001 XFA XFB XF XF Barnesiella_intestinihominis_62208 FALSE
XPA-002 XPB-008 XPA XPB XP XP Barnesiella_intestinihominis_62208 FALSE
YAB-001 YAC-001 YAB YAC YA YA Barnesiella_intestinihominis_62208 TRUE
YBA-004 YBB-029 YBA YBB YB YB Barnesiella_intestinihominis_62208 FALSE
ZAA-002 ZAB-002 ZAA ZAB ZA ZA Barnesiella_intestinihominis_62208 FALSE
ZCA-001 ZCB-001 ZCA ZCB ZC ZC Barnesiella_intestinihominis_62208 TRUE
XQA-001 XQB-001 XQA XQB XQ XQ Bifidobacterium_adolescentis_56815 TRUE
XSA-001 XSB-001 XSA XSB XS XS Bifidobacterium_adolescentis_56815 FALSE
YAB-001 YAC-001 YAB YAC YA YA Bifidobacterium_adolescentis_56815 FALSE
YAB-001 YAD-001 YAB YAD YA YA Bifidobacterium_adolescentis_56815 FALSE
YAC-001 YAD-001 YAC YAD YA YA Bifidobacterium_adolescentis_56815 TRUE
ZCA-001 ZCB-001 ZCA ZCB ZC ZC Bifidobacterium_adolescentis_56815 TRUE
XLA-001 XLB-001 XLA XLB XL XL Bifidobacterium_bifidum_55065 TRUE
XSA-001 XSB-001 XSA XSB XS XS Bifidobacterium_bifidum_55065 FALSE
XBA-001 XBB-001 XBA XBB XB XB Bifidobacterium_longum_57796 TRUE
XIA-002 XIB-002 XIA XIB XI XI Bifidobacterium_longum_57796 TRUE
XLA-001 XLB-001 XLA XLB XL XL Bifidobacterium_longum_57796 TRUE
XNA-001 XNB-001 XNA XNB XN XN Bifidobacterium_longum_57796 FALSE
XPA-002 XPB-008 XPA XPB XP XP Bifidobacterium_longum_57796 FALSE
XQA-001 XQB-001 XQA XQB XQ XQ Bifidobacterium_longum_57796 FALSE
XSA-001 XSB-001 XSA XSB XS XS Bifidobacterium_longum_57796 TRUE
XUA-001 XUB-001 XUA XUB XU XU Bifidobacterium_longum_57796 FALSE
XVA-001 XVB-001 XVA XVB XV XV Bifidobacterium_longum_57796 FALSE
YAB-001 YAC-001 YAB YAC YA YA Bifidobacterium_longum_57796 FALSE
YEA-004 YEB-001 YEA YEB YE YE Bifidobacterium_longum_57796 FALSE
XBA-001 XBB-001 XBA XBB XB XB Bilophila_wadsworthia_57364 TRUE
XKA-001 XKB-001 XKA XKB XK XK Bilophila_wadsworthia_57364 TRUE
XQA-001 XQB-001 XQA XQB XQ XQ Bilophila_wadsworthia_57364 FALSE
XAA-002 XAD-003 XAA XAD XA XA Blautia_wexlerae_56130 FALSE
XBA-001 XBB-001 XBA XBB XB XB Blautia_wexlerae_56130 FALSE
XIA-002 XIB-002 XIA XIB XI XI Blautia_wexlerae_56130 TRUE
XIA-002 XIC-008 XIA XIC XI XI Blautia_wexlerae_56130 TRUE
XIB-002 XIC-008 XIB XIC XI XI Blautia_wexlerae_56130 FALSE
XKA-001 XKB-001 XKA XKB XK XK Blautia_wexlerae_56130 TRUE
XLA-001 XLB-001 XLA XLB XL XL Blautia_wexlerae_56130 TRUE
XQA-001 XQB-001 XQA XQB XQ XQ Blautia_wexlerae_56130 FALSE
XRA-001 XRB-002 XRA XRB XR XR Blautia_wexlerae_56130 FALSE
XSA-001 XSB-001 XSA XSB XS XS Blautia_wexlerae_56130 FALSE
XUA-001 XUB-001 XUA XUB XU XU Blautia_wexlerae_56130 FALSE
XVA-001 XVB-001 XVA XVB XV XV Blautia_wexlerae_56130 FALSE
YAA-001 YAB-001 YAA YAB YA YA Blautia_wexlerae_56130 FALSE
YBA-004 YBC-001 YBA YBC YB YB Blautia_wexlerae_56130 FALSE
YCA-001 YCB-001 YCA YCB YC YC Blautia_wexlerae_56130 FALSE
ZAA-002 ZAB-002 ZAA ZAB ZA ZA Blautia_wexlerae_56130 FALSE
ZCA-001 ZCB-001 ZCA ZCB ZC ZC Blautia_wexlerae_56130 FALSE
ZEA-001 ZEB-001 ZEA ZEB ZE ZE Blautia_wexlerae_56130 FALSE
XFA-001 XFB-001 XFA XFB XF XF Burkholderiales_bacterium_56577 FALSE
XLA-001 XLB-001 XLA XLB XL XL Burkholderiales_bacterium_56577 TRUE
XNA-001 XNB-001 XNA XNB XN XN Burkholderiales_bacterium_56577 FALSE
XSA-001 XSB-001 XSA XSB XS XS Burkholderiales_bacterium_56577 TRUE
XUA-001 XUB-001 XUA XUB XU XU Burkholderiales_bacterium_56577 FALSE
YBA-004 YBB-029 YBA YBB YB YB Burkholderiales_bacterium_56577 FALSE
YBA-004 YBC-001 YBA YBC YB YB Burkholderiales_bacterium_56577 FALSE
YBB-029 YBC-001 YBB YBC YB YB Burkholderiales_bacterium_56577 TRUE
XIA-002 XIB-002 XIA XIB XI XI Catenibacterium_mitsuokai_61547 TRUE
XIA-002 XIC-008 XIA XIC XI XI Catenibacterium_mitsuokai_61547 FALSE
XIB-002 XIC-008 XIB XIC XI XI Catenibacterium_mitsuokai_61547 FALSE
YAC-001 YAD-001 YAC YAD YA YA Catenibacterium_mitsuokai_61547 FALSE
XBA-001 XBB-001 XBA XBB XB XB Clostridiales_bacterium_56470 FALSE
XBA-001 XBB-001 XBA XBB XB XB Clostridiales_bacterium_61057 FALSE
XFA-001 XFB-001 XFA XFB XF XF Clostridiales_bacterium_61057 FALSE
XJA-001 XJB-001 XJA XJB XJ XJ Clostridiales_bacterium_61057 FALSE
XQA-001 XQB-001 XQA XQB XQ XQ Clostridiales_bacterium_61057 FALSE
XSA-001 XSB-001 XSA XSB XS XS Clostridiales_bacterium_61057 FALSE
XUA-001 XUB-001 XUA XUB XU XU Clostridiales_bacterium_61057 FALSE
XVA-001 XVB-001 XVA XVB XV XV Clostridiales_bacterium_61057 FALSE
XTA-001 XTB-001 XTA XTB XT XT Clostridium_sp_61482 FALSE
XFA-001 XFB-001 XFA XFB XF XF Coprococcus_comes_61587 FALSE
XGA-001 XGC-001 XGA XGC XG XG Coprococcus_comes_61587 FALSE
XIA-002 XIC-008 XIA XIC XI XI Coprococcus_comes_61587 TRUE
XVA-001 XVB-001 XVA XVB XV XV Coprococcus_comes_61587 FALSE
ZEA-001 ZEB-001 ZEA ZEB ZE ZE Coprococcus_comes_61587 FALSE
XEA-001 XEB-001 XEA XEB XE XE Coprococcus_eutactus_61480 TRUE
XFA-001 XFB-001 XFA XFB XF XF Coprococcus_eutactus_61480 TRUE
YAC-001 YAD-001 YAC YAD YA YA Coprococcus_sp_62244 FALSE
ZCA-001 ZCB-001 ZCA ZCB ZC ZC Coprococcus_sp_62244 TRUE
XHA-003 XHC-001 XHA XHC XH XH Desulfovibrio_piger_61475 FALSE
XOA-001 XOB-001 XOA XOB XO XO Dialister_invisus_61905 FALSE
XQA-001 XQB-001 XQA XQB XQ XQ Dialister_invisus_61905 TRUE
XDA-001 XDB-001 XDA XDB XD XD Dorea_longicatena_61473 FALSE
XGA-001 XGC-001 XGA XGC XG XG Dorea_longicatena_61473 FALSE
YEB-001 YEC-005 YEB YEC YE YE Dorea_longicatena_61473 FALSE
XBA-001 XBB-001 XBA XBB XB XB Eubacterium_eligens_61678 FALSE
XCA-001 XCB-001 XCA XCB XC XC Eubacterium_eligens_61678 TRUE
XDA-001 XDB-001 XDA XDB XD XD Eubacterium_eligens_61678 TRUE
XEA-001 XEB-001 XEA XEB XE XE Eubacterium_eligens_61678 FALSE
XFA-001 XFB-001 XFA XFB XF XF Eubacterium_eligens_61678 FALSE
XGA-001 XGC-001 XGA XGC XG XG Eubacterium_eligens_61678 FALSE
XHA-003 XHB-001 XHA XHB XH XH Eubacterium_eligens_61678 FALSE
XHA-003 XHC-001 XHA XHC XH XH Eubacterium_eligens_61678 FALSE
XHB-001 XHC-001 XHB XHC XH XH Eubacterium_eligens_61678 FALSE
XMA-001 XMB-001 XMA XMB XM XM Eubacterium_eligens_61678 TRUE
XOA-001 XOB-001 XOA XOB XO XO Eubacterium_eligens_61678 FALSE
XPA-002 XPB-008 XPA XPB XP XP Eubacterium_eligens_61678 FALSE
XQA-001 XQB-001 XQA XQB XQ XQ Eubacterium_eligens_61678 TRUE
XRA-001 XRB-002 XRA XRB XR XR Eubacterium_eligens_61678 FALSE
XTA-001 XTB-001 XTA XTB XT XT Eubacterium_eligens_61678 FALSE
XVA-001 XVB-001 XVA XVB XV XV Eubacterium_eligens_61678 FALSE
YAC-001 YAD-001 YAC YAD YA YA Eubacterium_eligens_61678 FALSE
