sample1 sample2 subject1 subject2 hh1 hh2 keyTimepoint species shared
XGB-029 XGC-029 XGB XGC XG XG pre-abx Alistipes_onderdonkii_55464 FALSE
XGB-036 XGC-037 XGB XGC XG XG post-abx Alistipes_onderdonkii_55464 FALSE
XGB-064 XGC-064 XGB XGC XG XG final Alistipes_onderdonkii_55464 FALSE
XHA-036 XHB-036 XHA XHB XH XH post-abx Alistipes_onderdonkii_55464 FALSE
XLA-029 XLB-029 XLA XLB XL XL pre-abx Alistipes_onderdonkii_55464 TRUE
XCA-001 XCB-001 XCA XCB XC XC initial Alistipes_putredinis_61533 FALSE
XCA-029 XCB-029 XCA XCB XC XC pre-abx Alistipes_putredinis_61533 FALSE
XDA-001 XDB-001 XDA XDB XD XD initial Alistipes_putredinis_61533 FALSE
XDA-029 XDB-029 XDA XDB XD XD pre-abx Alistipes_putredinis_61533 FALSE
XEA-001 XEB-001 XEA XEB XE XE initial Alistipes_putredinis_61533 FALSE
XFA-001 XFB-001 XFA XFB XF XF initial Alistipes_putredinis_61533 TRUE
XFA-029 XFB-029 XFA XFB XF XF pre-abx Alistipes_putredinis_61533 TRUE
XFA-064 XFB-064 XFA XFB XF XF final Alistipes_putredinis_61533 TRUE
XGA-001 XGB-001 XGA XGB XG XG initial Alistipes_putredinis_61533 TRUE
XGA-001 XGC-001 XGA XGC XG XG initial Alistipes_putredinis_61533 FALSE
XGA-029 XGB-029 XGA XGB XG XG pre-abx Alistipes_putredinis_61533 TRUE
XGA-029 XGC-029 XGA XGC XG XG pre-abx Alistipes_putredinis_61533 FALSE
XGA-064 XGB-064 XGA XGB XG XG final Alistipes_putredinis_61533 TRUE
XGA-064 XGC-064 XGA XGC XG XG final Alistipes_putredinis_61533 FALSE
XGB-001 XGC-001 XGB XGC XG XG initial Alistipes_putredinis_61533 FALSE
XGB-029 XGC-029 XGB XGC XG XG pre-abx Alistipes_putredinis_61533 FALSE
XGB-036 XGC-037 XGB XGC XG XG post-abx Alistipes_putredinis_61533 FALSE
XGB-064 XGC-064 XGB XGC XG XG final Alistipes_putredinis_61533 FALSE
XIA-002 XIB-002 XIA XIB XI XI initial Alistipes_putredinis_61533 TRUE
XIA-002 XIC-008 XIA XIC XI XI initial Alistipes_putredinis_61533 FALSE
XIA-029 XIB-029 XIA XIB XI XI pre-abx Alistipes_putredinis_61533 TRUE
XIA-029 XIC-029 XIA XIC XI XI pre-abx Alistipes_putredinis_61533 FALSE
XIA-064 XIB-064 XIA XIB XI XI final Alistipes_putredinis_61533 TRUE
XIA-064 XIC-064 XIA XIC XI XI final Alistipes_putredinis_61533 FALSE
XIB-002 XIC-008 XIB XIC XI XI initial Alistipes_putredinis_61533 FALSE
XIB-029 XIC-029 XIB XIC XI XI pre-abx Alistipes_putredinis_61533 FALSE
XIB-036 XIC-036 XIB XIC XI XI post-abx Alistipes_putredinis_61533 FALSE
XIB-064 XIC-064 XIB XIC XI XI final Alistipes_putredinis_61533 FALSE
XLA-001 XLB-001 XLA XLB XL XL initial Alistipes_putredinis_61533 FALSE
XLA-029 XLB-029 XLA XLB XL XL pre-abx Alistipes_putredinis_61533 FALSE
XPA-002 XPB-008 XPA XPB XP XP initial Alistipes_putredinis_61533 FALSE
XPA-029 XPB-028 XPA XPB XP XP pre-abx Alistipes_putredinis_61533 FALSE
XPA-036 XPB-036 XPA XPB XP XP post-abx Alistipes_putredinis_61533 FALSE
XPA-072 XPB-063 XPA XPB XP XP final Alistipes_putredinis_61533 FALSE
XQA-001 XQB-001 XQA XQB XQ XQ initial Alistipes_putredinis_61533 FALSE
XQA-029 XQB-029 XQA XQB XQ XQ pre-abx Alistipes_putredinis_61533 FALSE
XQA-064 XQB-064 XQA XQB XQ XQ final Alistipes_putredinis_61533 FALSE
XUA-001 XUB-001 XUA XUB XU XU initial Alistipes_putredinis_61533 FALSE
XUA-029 XUB-029 XUA XUB XU XU pre-abx Alistipes_putredinis_61533 FALSE
XCA-001 XCB-001 XCA XCB XC XC initial Alistipes_shahii_62199 FALSE
XCA-029 XCB-029 XCA XCB XC XC pre-abx Alistipes_shahii_62199 FALSE
XDA-001 XDB-001 XDA XDB XD XD initial Alistipes_shahii_62199 FALSE
XDA-029 XDB-029 XDA XDB XD XD pre-abx Alistipes_shahii_62199 FALSE
XFA-001 XFB-001 XFA XFB XF XF initial Alistipes_shahii_62199 FALSE
XIA-002 XIC-008 XIA XIC XI XI initial Alistipes_shahii_62199 FALSE
XIA-029 XIC-029 XIA XIC XI XI pre-abx Alistipes_shahii_62199 FALSE
XIB-036 XIC-036 XIB XIC XI XI post-abx Alistipes_shahii_62199 FALSE
XIB-064 XIC-064 XIB XIC XI XI final Alistipes_shahii_62199 FALSE
XNA-001 XNB-001 XNA XNB XN XN initial Alistipes_shahii_62199 FALSE
XNA-029 XNB-029 XNA XNB XN XN pre-abx Alistipes_shahii_62199 FALSE
XTA-001 XTB-001 XTA XTB XT XT initial Alistipes_shahii_62199 FALSE
XUA-001 XUB-001 XUA XUB XU XU initial Alistipes_shahii_62199 FALSE
XAC-029 XAD-029 XAC XAD XA XA pre-abx Anaerostipes_hadrus_55206 FALSE
XBA-001 XBB-001 XBA XBB XB XB initial Anaerostipes_hadrus_55206 FALSE
XCA-029 XCB-029 XCA XCB XC XC pre-abx Anaerostipes_hadrus_55206 FALSE
XDA-064 XDB-064 XDA XDB XD XD final Anaerostipes_hadrus_55206 FALSE
XEA-029 XEB-029 XEA XEB XE XE pre-abx Anaerostipes_hadrus_55206 FALSE
XGA-036 XGB-036 XGA XGB XG XG post-abx Anaerostipes_hadrus_55206 FALSE
XGA-064 XGB-064 XGA XGB XG XG final Anaerostipes_hadrus_55206 FALSE
XGA-064 XGC-064 XGA XGC XG XG final Anaerostipes_hadrus_55206 FALSE
XGB-064 XGC-064 XGB XGC XG XG final Anaerostipes_hadrus_55206 TRUE
XHA-003 XHC-001 XHA XHC XH XH initial Anaerostipes_hadrus_55206 FALSE
XIA-029 XIC-029 XIA XIC XI XI pre-abx Anaerostipes_hadrus_55206 FALSE
XKA-001 XKB-001 XKA XKB XK XK initial Anaerostipes_hadrus_55206 FALSE
XKA-064 XKB-064 XKA XKB XK XK final Anaerostipes_hadrus_55206 FALSE
XLA-001 XLB-001 XLA XLB XL XL initial Anaerostipes_hadrus_55206 FALSE
XLA-064 XLB-064 XLA XLB XL XL final Anaerostipes_hadrus_55206 FALSE
XMA-001 XMB-001 XMA XMB XM XM initial Anaerostipes_hadrus_55206 TRUE
XMA-029 XMB-029 XMA XMB XM XM pre-abx Anaerostipes_hadrus_55206 TRUE
XMA-036 XMB-036 XMA XMB XM XM post-abx Anaerostipes_hadrus_55206 TRUE
XMA-064 XMB-064 XMA XMB XM XM final Anaerostipes_hadrus_55206 TRUE
XNA-001 XNB-001 XNA XNB XN XN initial Anaerostipes_hadrus_55206 FALSE
XNA-036 XNB-036 XNA XNB XN XN post-abx Anaerostipes_hadrus_55206 FALSE
XNA-064 XNB-064 XNA XNB XN XN final Anaerostipes_hadrus_55206 FALSE
XOA-029 XOB-028 XOA XOB XO XO pre-abx Anaerostipes_hadrus_55206 FALSE
XOA-036 XOB-036 XOA XOB XO XO post-abx Anaerostipes_hadrus_55206 FALSE
XOA-064 XOB-064 XOA XOB XO XO final Anaerostipes_hadrus_55206 FALSE
XPA-002 XPB-008 XPA XPB XP XP initial Anaerostipes_hadrus_55206 TRUE
XPA-029 XPB-028 XPA XPB XP XP pre-abx Anaerostipes_hadrus_55206 FALSE
XPA-036 XPB-036 XPA XPB XP XP post-abx Anaerostipes_hadrus_55206 FALSE
XPA-072 XPB-063 XPA XPB XP XP final Anaerostipes_hadrus_55206 FALSE
XQA-001 XQB-001 XQA XQB XQ XQ initial Anaerostipes_hadrus_55206 FALSE
XQA-029 XQB-029 XQA XQB XQ XQ pre-abx Anaerostipes_hadrus_55206 FALSE
XQA-036 XQB-036 XQA XQB XQ XQ post-abx Anaerostipes_hadrus_55206 FALSE
XQA-064 XQB-064 XQA XQB XQ XQ final Anaerostipes_hadrus_55206 FALSE
XRA-064 XRB-059 XRA XRB XR XR final Anaerostipes_hadrus_55206 FALSE
XSA-001 XSB-001 XSA XSB XS XS initial Anaerostipes_hadrus_55206 FALSE
XSA-029 XSB-029 XSA XSB XS XS pre-abx Anaerostipes_hadrus_55206 FALSE
XSA-036 XSB-036 XSA XSB XS XS post-abx Anaerostipes_hadrus_55206 FALSE
XSA-064 XSB-064 XSA XSB XS XS final Anaerostipes_hadrus_55206 FALSE
XTA-001 XTB-001 XTA XTB XT XT initial Anaerostipes_hadrus_55206 FALSE
XTA-036 XTB-038 XTA XTB XT XT post-abx Anaerostipes_hadrus_55206 FALSE
XTA-064 XTB-065 XTA XTB XT XT final Anaerostipes_hadrus_55206 FALSE
XUA-001 XUB-001 XUA XUB XU XU initial Anaerostipes_hadrus_55206 FALSE
XUA-029 XUB-029 XUA XUB XU XU pre-abx Anaerostipes_hadrus_55206 FALSE
XUA-036 XUB-036 XUA XUB XU XU post-abx Anaerostipes_hadrus_55206 FALSE
XUA-064 XUB-064 XUA XUB XU XU final Anaerostipes_hadrus_55206 FALSE
XVA-001 XVB-001 XVA XVB XV XV initial Anaerostipes_hadrus_55206 TRUE
XVA-029 XVB-027 XVA XVB XV XV pre-abx Anaerostipes_hadrus_55206 TRUE
XVA-064 XVB-064 XVA XVB XV XV final Anaerostipes_hadrus_55206 TRUE
XCA-029 XCB-029 XCA XCB XC XC pre-abx Bacteroidales_bacterium_58650 TRUE
XEA-029 XEB-029 XEA XEB XE XE pre-abx Bacteroidales_bacterium_58650 FALSE
XIA-029 XIC-029 XIA XIC XI XI pre-abx Bacteroidales_bacterium_58650 FALSE
XIB-064 XIC-064 XIB XIC XI XI final Bacteroidales_bacterium_58650 FALSE
XLA-029 XLB-029 XLA XLB XL XL pre-abx Bacteroidales_bacterium_58650 TRUE
XTA-001 XTB-001 XTA XTB XT XT initial Bacteroidales_bacterium_58650 FALSE
XTA-064 XTB-065 XTA XTB XT XT final Bacteroidales_bacterium_58650 FALSE
XCA-001 XCB-001 XCA XCB XC XC initial Bacteroides_caccae_53434 TRUE
XCA-029 XCB-029 XCA XCB XC XC pre-abx Bacteroides_caccae_53434 TRUE
XCA-036 XCB-036 XCA XCB XC XC post-abx Bacteroides_caccae_53434 TRUE
XCA-064 XCB-064 XCA XCB XC XC final Bacteroides_caccae_53434 TRUE
XDA-001 XDB-001 XDA XDB XD XD initial Bacteroides_caccae_53434 FALSE
XDA-029 XDB-029 XDA XDB XD XD pre-abx Bacteroides_caccae_53434 FALSE
XFA-029 XFB-029 XFA XFB XF XF pre-abx Bacteroides_caccae_53434 FALSE
XGB-001 XGC-001 XGB XGC XG XG initial Bacteroides_caccae_53434 TRUE
XGB-029 XGC-029 XGB XGC XG XG pre-abx Bacteroides_caccae_53434 TRUE
XGB-036 XGC-037 XGB XGC XG XG post-abx Bacteroides_caccae_53434 TRUE
XGB-064 XGC-064 XGB XGC XG XG final Bacteroides_caccae_53434 TRUE
XHA-003 XHC-001 XHA XHC XH XH initial Bacteroides_caccae_53434 FALSE
XHA-029 XHC-029 XHA XHC XH XH pre-abx Bacteroides_caccae_53434 FALSE
XHA-036 XHC-036 XHA XHC XH XH post-abx Bacteroides_caccae_53434 FALSE
XIB-064 XIC-064 XIB XIC XI XI final Bacteroides_caccae_53434 TRUE
XPA-002 XPB-008 XPA XPB XP XP initial Bacteroides_caccae_53434 FALSE
XPA-029 XPB-028 XPA XPB XP XP pre-abx Bacteroides_caccae_53434 FALSE
XPA-036 XPB-036 XPA XPB XP XP post-abx Bacteroides_caccae_53434 FALSE
XRA-001 XRB-002 XRA XRB XR XR initial Bacteroides_caccae_53434 FALSE
XRA-029 XRB-029 XRA XRB XR XR pre-abx Bacteroides_caccae_53434 FALSE
XRA-036 XRB-036 XRA XRB XR XR post-abx Bacteroides_caccae_53434 FALSE
XRA-064 XRB-059 XRA XRB XR XR final Bacteroides_caccae_53434 FALSE
XFA-001 XFB-001 XFA XFB XF XF initial Bacteroides_cellulosilyticus_58046 FALSE
XFA-029 XFB-029 XFA XFB XF XF pre-abx Bacteroides_cellulosilyticus_58046 FALSE
XGA-001 XGC-001 XGA XGC XG XG initial Bacteroides_cellulosilyticus_58046 TRUE
XGA-029 XGC-029 XGA XGC XG XG pre-abx Bacteroides_cellulosilyticus_58046 TRUE
XGA-036 XGC-037 XGA XGC XG XG post-abx Bacteroides_cellulosilyticus_58046 TRUE
XGA-064 XGC-064 XGA XGC XG XG final Bacteroides_cellulosilyticus_58046 TRUE
XPA-002 XPB-008 XPA XPB XP XP initial Bacteroides_cellulosilyticus_58046 FALSE
XPA-029 XPB-028 XPA XPB XP XP pre-abx Bacteroides_cellulosilyticus_58046 FALSE
XPA-036 XPB-036 XPA XPB XP XP post-abx Bacteroides_cellulosilyticus_58046 FALSE
XPA-072 XPB-063 XPA XPB XP XP final Bacteroides_cellulosilyticus_58046 FALSE
XMA-001 XMB-001 XMA XMB XM XM initial Bacteroides_clarus_62282 FALSE
XMA-029 XMB-029 XMA XMB XM XM pre-abx Bacteroides_clarus_62282 FALSE
XMA-064 XMB-064 XMA XMB XM XM final Bacteroides_clarus_62282 FALSE
XHA-003 XHC-001 XHA XHC XH XH initial Bacteroides_eggerthii_54457 FALSE
XHA-029 XHC-029 XHA XHC XH XH pre-abx Bacteroides_eggerthii_54457 FALSE
XBA-001 XBB-001 XBA XBB XB XB initial Bacteroides_faecis_58503 TRUE
XBA-029 XBB-029 XBA XBB XB XB pre-abx Bacteroides_faecis_58503 TRUE
XCA-001 XCB-001 XCA XCB XC XC initial Bacteroides_faecis_58503 TRUE
XCA-029 XCB-029 XCA XCB XC XC pre-abx Bacteroides_faecis_58503 TRUE
XGA-001 XGB-001 XGA XGB XG XG initial Bacteroides_finegoldii_57739 FALSE
XGA-001 XGC-001 XGA XGC XG XG initial Bacteroides_finegoldii_57739 FALSE
XGA-029 XGB-029 XGA XGB XG XG pre-abx Bacteroides_finegoldii_57739 FALSE
XGA-036 XGB-036 XGA XGB XG XG post-abx Bacteroides_finegoldii_57739 FALSE
XGA-064 XGB-064 XGA XGB XG XG final Bacteroides_finegoldii_57739 FALSE
XGB-001 XGC-001 XGB XGC XG XG initial Bacteroides_finegoldii_57739 TRUE
XNA-001 XNB-001 XNA XNB XN XN initial Bacteroides_finegoldii_57739 TRUE
XNA-029 XNB-029 XNA XNB XN XN pre-abx Bacteroides_finegoldii_57739 TRUE
XNA-036 XNB-036 XNA XNB XN XN post-abx Bacteroides_finegoldii_57739 FALSE
XNA-064 XNB-064 XNA XNB XN XN final Bacteroides_finegoldii_57739 FALSE
XQA-001 XQB-001 XQA XQB XQ XQ initial Bacteroides_finegoldii_57739 TRUE
XQA-029 XQB-029 XQA XQB XQ XQ pre-abx Bacteroides_finegoldii_57739 TRUE
XQA-064 XQB-064 XQA XQB XQ XQ final Bacteroides_finegoldii_57739 TRUE
XAA-002 XAD-003 XAA XAD XA XA initial Bacteroides_fragilis_54507 FALSE
XAA-064 XAD-063 XAA XAD XA XA final Bacteroides_fragilis_54507 FALSE
XBA-036 XBB-036 XBA XBB XB XB post-abx Bacteroides_fragilis_54507 TRUE
XDA-001 XDB-001 XDA XDB XD XD initial Bacteroides_fragilis_54507 FALSE
XDA-029 XDB-029 XDA XDB XD XD pre-abx Bacteroides_fragilis_54507 FALSE
XDA-036 XDB-036 XDA XDB XD XD post-abx Bacteroides_fragilis_54507 FALSE
XDA-064 XDB-064 XDA XDB XD XD final Bacteroides_fragilis_54507 FALSE
XLA-029 XLB-029 XLA XLB XL XL pre-abx Bacteroides_fragilis_54507 TRUE
XSA-029 XSB-029 XSA XSB XS XS pre-abx Bacteroides_fragilis_54507 TRUE
XCA-001 XCB-001 XCA XCB XC XC initial Bacteroides_massiliensis_44749 FALSE
XCA-064 XCB-064 XCA XCB XC XC final Bacteroides_massiliensis_44749 FALSE
XEA-001 XEB-001 XEA XEB XE XE initial Bacteroides_massiliensis_44749 FALSE
XEA-029 XEB-029 XEA XEB XE XE pre-abx Bacteroides_massiliensis_44749 FALSE
XHA-003 XHB-001 XHA XHB XH XH initial Bacteroides_massiliensis_44749 FALSE
XHA-003 XHC-001 XHA XHC XH XH initial Bacteroides_massiliensis_44749 FALSE
XHA-029 XHB-029 XHA XHB XH XH pre-abx Bacteroides_massiliensis_44749 FALSE
XHA-029 XHC-029 XHA XHC XH XH pre-abx Bacteroides_massiliensis_44749 FALSE
XHA-036 XHB-036 XHA XHB XH XH post-abx Bacteroides_massiliensis_44749 FALSE
XHA-036 XHC-036 XHA XHC XH XH post-abx Bacteroides_massiliensis_44749 FALSE
XHA-064 XHB-064 XHA XHB XH XH final Bacteroides_massiliensis_44749 FALSE
XHA-064 XHC-064 XHA XHC XH XH final Bacteroides_massiliensis_44749 FALSE
XHB-001 XHC-001 XHB XHC XH XH initial Bacteroides_massiliensis_44749 FALSE
XHB-029 XHC-029 XHB XHC XH XH pre-abx Bacteroides_massiliensis_44749 FALSE
XHB-036 XHC-036 XHB XHC XH XH post-abx Bacteroides_massiliensis_44749 FALSE
XHB-064 XHC-064 XHB XHC XH XH final Bacteroides_massiliensis_44749 FALSE
XIB-002 XIC-008 XIB XIC XI XI initial Bacteroides_massiliensis_44749 FALSE
XIB-029 XIC-029 XIB XIC XI XI pre-abx Bacteroides_massiliensis_44749 FALSE
XIB-036 XIC-036 XIB XIC XI XI post-abx Bacteroides_massiliensis_44749 FALSE
XIB-064 XIC-064 XIB XIC XI XI final Bacteroides_massiliensis_44749 FALSE
XLA-001 XLB-001 XLA XLB XL XL initial Bacteroides_massiliensis_44749 TRUE
XLA-029 XLB-029 XLA XLB XL XL pre-abx Bacteroides_massiliensis_44749 TRUE
XLA-036 XLB-036 XLA XLB XL XL post-abx Bacteroides_massiliensis_44749 TRUE
XLA-064 XLB-064 XLA XLB XL XL final Bacteroides_massiliensis_44749 TRUE
XNA-001 XNB-001 XNA XNB XN XN initial Bacteroides_massiliensis_44749 TRUE
XNA-029 XNB-029 XNA XNB XN XN pre-abx Bacteroides_massiliensis_44749 TRUE
XNA-064 XNB-064 XNA XNB XN XN final Bacteroides_massiliensis_44749 TRUE
XQA-001 XQB-001 XQA XQB XQ XQ initial Bacteroides_massiliensis_44749 TRUE
XQA-029 XQB-029 XQA XQB XQ XQ pre-abx Bacteroides_massiliensis_44749 TRUE
XQA-064 XQB-064 XQA XQB XQ XQ final Bacteroides_massiliensis_44749 TRUE
XVA-064 XVB-064 XVA XVB XV XV final Bacteroides_nordii_55557 TRUE
XBA-001 XBB-001 XBA XBB XB XB initial Bacteroides_ovatus_58035 TRUE
XCA-001 XCB-001 XCA XCB XC XC initial Bacteroides_ovatus_58035 FALSE
XCA-029 XCB-029 XCA XCB XC XC pre-abx Bacteroides_ovatus_58035 FALSE
XDA-036 XDB-036 XDA XDB XD XD post-abx Bacteroides_ovatus_58035 FALSE
XDA-064 XDB-064 XDA XDB XD XD final Bacteroides_ovatus_58035 TRUE
XEA-036 XEB-036 XEA XEB XE XE post-abx Bacteroides_ovatus_58035 FALSE
XEA-064 XEB-064 XEA XEB XE XE final Bacteroides_ovatus_58035 FALSE
XGA-001 XGB-001 XGA XGB XG XG initial Bacteroides_ovatus_58035 TRUE
XGA-001 XGC-001 XGA XGC XG XG initial Bacteroides_ovatus_58035 TRUE
XGA-029 XGB-029 XGA XGB XG XG pre-abx Bacteroides_ovatus_58035 TRUE
XGA-029 XGC-029 XGA XGC XG XG pre-abx Bacteroides_ovatus_58035 TRUE
XGA-036 XGB-036 XGA XGB XG XG post-abx Bacteroides_ovatus_58035 TRUE
XGA-036 XGC-037 XGA XGC XG XG post-abx Bacteroides_ovatus_58035 TRUE
XGA-064 XGB-064 XGA XGB XG XG final Bacteroides_ovatus_58035 TRUE
XGA-064 XGC-064 XGA XGC XG XG final Bacteroides_ovatus_58035 TRUE
XGB-001 XGC-001 XGB XGC XG XG initial Bacteroides_ovatus_58035 TRUE
XGB-029 XGC-029 XGB XGC XG XG pre-abx Bacteroides_ovatus_58035 TRUE
XGB-036 XGC-037 XGB XGC XG XG post-abx Bacteroides_ovatus_58035 TRUE
XGB-064 XGC-064 XGB XGC XG XG final Bacteroides_ovatus_58035 TRUE
XIA-064 XIC-064 XIA XIC XI XI final Bacteroides_ovatus_58035 FALSE
XLA-029 XLB-029 XLA XLB XL XL pre-abx Bacteroides_ovatus_58035 TRUE
XLA-036 XLB-036 XLA XLB XL XL post-abx Bacteroides_ovatus_58035 TRUE
XLA-064 XLB-064 XLA XLB XL XL final Bacteroides_ovatus_58035 TRUE
XNA-001 XNB-001 XNA XNB XN XN initial Bacteroides_ovatus_58035 FALSE
XNA-029 XNB-029 XNA XNB XN XN pre-abx Bacteroides_ovatus_58035 FALSE
XNA-036 XNB-036 XNA XNB XN XN post-abx Bacteroides_ovatus_58035 TRUE
XNA-064 XNB-064 XNA XNB XN XN final Bacteroides_ovatus_58035 FALSE
XQA-001 XQB-001 XQA XQB XQ XQ initial Bacteroides_ovatus_58035 FALSE
XQA-029 XQB-029 XQA XQB XQ XQ pre-abx Bacteroides_ovatus_58035 FALSE
XQA-036 XQB-036 XQA XQB XQ XQ post-abx Bacteroides_ovatus_58035 FALSE
XQA-064 XQB-064 XQA XQB XQ XQ final Bacteroides_ovatus_58035 FALSE
XUA-001 XUB-001 XUA XUB XU XU initial Bacteroides_ovatus_58035 FALSE
XUA-029 XUB-029 XUA XUB XU XU pre-abx Bacteroides_ovatus_58035 FALSE
XUA-036 XUB-036 XUA XUB XU XU post-abx Bacteroides_ovatus_58035 FALSE
XUA-064 XUB-064 XUA XUB XU XU final Bacteroides_ovatus_58035 FALSE
XVA-001 XVB-001 XVA XVB XV XV initial Bacteroides_ovatus_58035 FALSE
XVA-029 XVB-027 XVA XVB XV XV pre-abx Bacteroides_ovatus_58035 FALSE
XVA-036 XVB-036 XVA XVB XV XV post-abx Bacteroides_ovatus_58035 FALSE
XVA-064 XVB-064 XVA XVB XV XV final Bacteroides_ovatus_58035 FALSE
XIA-002 XIB-002 XIA XIB XI XI initial Bacteroides_plebeius_61623 TRUE
XIA-029 XIB-029 XIA XIB XI XI pre-abx Bacteroides_plebeius_61623 TRUE
XIA-036 XIB-036 XIA XIB XI XI post-abx Bacteroides_plebeius_61623 TRUE
XIA-036 XIC-036 XIA XIC XI XI post-abx Bacteroides_plebeius_61623 FALSE
XIA-064 XIB-064 XIA XIB XI XI final Bacteroides_plebeius_61623 TRUE
XIB-036 XIC-036 XIB XIC XI XI post-abx Bacteroides_plebeius_61623 FALSE
XCA-001 XCB-001 XCA XCB XC XC initial Bacteroides_stercoris_56735 TRUE
XCA-029 XCB-029 XCA XCB XC XC pre-abx Bacteroides_stercoris_56735 FALSE
XCA-036 XCB-036 XCA XCB XC XC post-abx Bacteroides_stercoris_56735 TRUE
XCA-064 XCB-064 XCA XCB XC XC final Bacteroides_stercoris_56735 FALSE
XHA-003 XHC-001 XHA XHC XH XH initial Bacteroides_stercoris_56735 FALSE
XHA-029 XHC-029 XHA XHC XH XH pre-abx Bacteroides_stercoris_56735 FALSE
XHA-036 XHC-036 XHA XHC XH XH post-abx Bacteroides_stercoris_56735 FALSE
XHA-064 XHC-064 XHA XHC XH XH final Bacteroides_stercoris_56735 FALSE
XIA-002 XIB-002 XIA XIB XI XI initial Bacteroides_stercoris_56735 FALSE
XIA-002 XIC-008 XIA XIC XI XI initial Bacteroides_stercoris_56735 FALSE
XIA-029 XIB-029 XIA XIB XI XI pre-abx Bacteroides_stercoris_56735 FALSE
XIA-029 XIC-029 XIA XIC XI XI pre-abx Bacteroides_stercoris_56735 FALSE
XIA-036 XIB-036 XIA XIB XI XI post-abx Bacteroides_stercoris_56735 FALSE
XIA-036 XIC-036 XIA XIC XI XI post-abx Bacteroides_stercoris_56735 FALSE
XIA-064 XIB-064 XIA XIB XI XI final Bacteroides_stercoris_56735 FALSE
XIA-064 XIC-064 XIA XIC XI XI final Bacteroides_stercoris_56735 FALSE
XIB-002 XIC-008 XIB XIC XI XI initial Bacteroides_stercoris_56735 FALSE
XIB-029 XIC-029 XIB XIC XI XI pre-abx Bacteroides_stercoris_56735 FALSE
XIB-036 XIC-036 XIB XIC XI XI post-abx Bacteroides_stercoris_56735 FALSE
XIB-064 XIC-064 XIB XIC XI XI final Bacteroides_stercoris_56735 FALSE
XKA-064 XKB-064 XKA XKB XK XK final Bacteroides_stercoris_56735 TRUE
XMA-001 XMB-001 XMA XMB XM XM initial Bacteroides_stercoris_56735 FALSE
XMA-029 XMB-029 XMA XMB XM XM pre-abx Bacteroides_stercoris_56735 FALSE
XMA-064 XMB-064 XMA XMB XM XM final Bacteroides_stercoris_56735 FALSE
XNA-001 XNB-001 XNA XNB XN XN initial Bacteroides_stercoris_56735 TRUE
XNA-029 XNB-029 XNA XNB XN XN pre-abx Bacteroides_stercoris_56735 TRUE
XNA-064 XNB-064 XNA XNB XN XN final Bacteroides_stercoris_56735 TRUE
XQA-001 XQB-001 XQA XQB XQ XQ initial Bacteroides_stercoris_56735 TRUE
XQA-029 XQB-029 XQA XQB XQ XQ pre-abx Bacteroides_stercoris_56735 FALSE
