species sample1 sample2 subject1 subject2 hh1 hh2 keyTimepoint sharedStrainFishing
Alistipes_shahii_62199 ZEA-001 ZEC-001 ZEA ZEC ZE ZE initial FALSE
Anaerostipes_hadrus_55206 XAA-002 XAD-003 XAA XAD XA XA initial FALSE
Anaerostipes_hadrus_55206 XAC-029 XAD-029 XAC XAD XA XA pre-abx FALSE
Anaerostipes_hadrus_55206 XBA-001 XBB-001 XBA XBB XB XB initial FALSE
Anaerostipes_hadrus_55206 XBA-029 XBB-029 XBA XBB XB XB pre-abx FALSE
Anaerostipes_hadrus_55206 XEA-029 XEB-029 XEA XEB XE XE pre-abx FALSE
Anaerostipes_hadrus_55206 XFA-001 XFB-001 XFA XFB XF XF initial FALSE
Anaerostipes_hadrus_55206 XFA-064 XFB-064 XFA XFB XF XF final FALSE
Anaerostipes_hadrus_55206 XHA-003 XHC-001 XHA XHC XH XH initial FALSE
Anaerostipes_hadrus_55206 XKA-001 XKB-001 XKA XKB XK XK initial FALSE
Anaerostipes_hadrus_55206 XKA-029 XKB-029 XKA XKB XK XK pre-abx FALSE
Anaerostipes_hadrus_55206 XKA-064 XKB-064 XKA XKB XK XK final FALSE
Anaerostipes_hadrus_55206 XLA-001 XLB-001 XLA XLB XL XL initial FALSE
Anaerostipes_hadrus_55206 XLA-064 XLB-064 XLA XLB XL XL final FALSE
Anaerostipes_hadrus_55206 XOA-029 XOB-028 XOA XOB XO XO initial FALSE
Anaerostipes_hadrus_55206 XOA-029 XOB-028 XOA XOB XO XO pre-abx FALSE
Anaerostipes_hadrus_55206 XOA-036 XOB-036 XOA XOB XO XO post-abx FALSE
Anaerostipes_hadrus_55206 XOA-064 XOB-064 XOA XOB XO XO final FALSE
Anaerostipes_hadrus_55206 XPA-002 XPB-008 XPA XPB XP XP initial FALSE
Anaerostipes_hadrus_55206 XPA-029 XPB-028 XPA XPB XP XP pre-abx FALSE
Anaerostipes_hadrus_55206 XPA-036 XPB-036 XPA XPB XP XP post-abx FALSE
Anaerostipes_hadrus_55206 XPA-072 XPB-063 XPA XPB XP XP final FALSE
Anaerostipes_hadrus_55206 XQA-001 XQB-001 XQA XQB XQ XQ initial FALSE
Anaerostipes_hadrus_55206 XQA-029 XQB-029 XQA XQB XQ XQ pre-abx FALSE
Anaerostipes_hadrus_55206 XQA-036 XQB-036 XQA XQB XQ XQ post-abx FALSE
Anaerostipes_hadrus_55206 XQA-064 XQB-064 XQA XQB XQ XQ final FALSE
Anaerostipes_hadrus_55206 XRA-064 XRB-059 XRA XRB XR XR final FALSE
Anaerostipes_hadrus_55206 XSA-001 XSB-001 XSA XSB XS XS initial FALSE
Anaerostipes_hadrus_55206 XSA-029 XSB-029 XSA XSB XS XS pre-abx FALSE
Anaerostipes_hadrus_55206 XSA-036 XSB-036 XSA XSB XS XS post-abx FALSE
Anaerostipes_hadrus_55206 XSA-064 XSB-064 XSA XSB XS XS final FALSE
Anaerostipes_hadrus_55206 XTA-001 XTB-001 XTA XTB XT XT initial FALSE
Anaerostipes_hadrus_55206 XTA-029 XTB-028 XTA XTB XT XT initial FALSE
Anaerostipes_hadrus_55206 XTA-036 XTB-038 XTA XTB XT XT post-abx FALSE
Anaerostipes_hadrus_55206 XTA-064 XTB-065 XTA XTB XT XT final FALSE
Anaerostipes_hadrus_55206 XUA-001 XUB-001 XUA XUB XU XU initial FALSE
Anaerostipes_hadrus_55206 XUA-029 XUB-029 XUA XUB XU XU pre-abx FALSE
Anaerostipes_hadrus_55206 XUA-036 XUB-036 XUA XUB XU XU post-abx FALSE
Anaerostipes_hadrus_55206 XUA-064 XUB-064 XUA XUB XU XU final FALSE
Anaerostipes_hadrus_55206 YAB-001 YAC-001 YAB YAC YA YA initial FALSE
Anaerostipes_hadrus_55206 YBA-004 YBC-001 YBA YBC YB YB initial TRUE
Anaerostipes_hadrus_55206 YBB-029 YBC-001 YBB YBC YB YB initial FALSE
Anaerostipes_hadrus_55206 ZDA-001 ZDB-001 ZDA ZDB ZD ZD initial FALSE
Anaerostipes_hadrus_55206 ZEA-001 ZEC-001 ZEA ZEC ZE ZE initial FALSE
Anaerostipes_hadrus_55206 ZEB-001 ZEC-001 ZEB ZEC ZE ZE initial FALSE
Bacteroidales_bacterium_58650 XCA-029 XCB-029 XCA XCB XC XC pre-abx TRUE
Bacteroidales_bacterium_58650 XCA-064 XCB-064 XCA XCB XC XC final TRUE
Bacteroidales_bacterium_58650 XEA-029 XEB-029 XEA XEB XE XE pre-abx FALSE
Bacteroidales_bacterium_58650 XIA-029 XIC-029 XIA XIC XI XI pre-abx FALSE
Bacteroidales_bacterium_58650 XIB-064 XIC-064 XIB XIC XI XI final FALSE
Bacteroidales_bacterium_58650 XLA-029 XLB-029 XLA XLB XL XL pre-abx TRUE
Bacteroidales_bacterium_58650 XLA-064 XLB-064 XLA XLB XL XL final TRUE
Bacteroidales_bacterium_58650 XTA-001 XTB-001 XTA XTB XT XT initial FALSE
Bacteroidales_bacterium_58650 XTA-064 XTB-065 XTA XTB XT XT final FALSE
Bacteroidales_bacterium_58650 YAC-001 YAD-001 YAC YAD YA YA initial FALSE
Bacteroidales_bacterium_58650 ZCA-001 ZCB-001 ZCA ZCB ZC ZC initial FALSE
Bacteroidales_bacterium_58650 ZEA-001 ZEC-001 ZEA ZEC ZE ZE initial FALSE
Bacteroides_caccae_53434 XCA-001 XCB-001 XCA XCB XC XC initial TRUE
Bacteroides_caccae_53434 XCA-029 XCB-029 XCA XCB XC XC pre-abx TRUE
Bacteroides_caccae_53434 XCA-036 XCB-036 XCA XCB XC XC post-abx TRUE
Bacteroides_caccae_53434 XCA-064 XCB-064 XCA XCB XC XC final TRUE
Bacteroides_caccae_53434 XDA-001 XDB-001 XDA XDB XD XD initial FALSE
Bacteroides_caccae_53434 XDA-029 XDB-029 XDA XDB XD XD pre-abx FALSE
Bacteroides_caccae_53434 XFA-001 XFB-001 XFA XFB XF XF initial FALSE
Bacteroides_caccae_53434 XFA-029 XFB-029 XFA XFB XF XF pre-abx FALSE
Bacteroides_caccae_53434 XGB-001 XGC-001 XGB XGC XG XG initial TRUE
Bacteroides_caccae_53434 XGB-029 XGC-029 XGB XGC XG XG pre-abx TRUE
Bacteroides_caccae_53434 XGB-036 XGC-037 XGB XGC XG XG post-abx TRUE
Bacteroides_caccae_53434 XGB-064 XGC-064 XGB XGC XG XG final TRUE
Bacteroides_caccae_53434 XHA-003 XHC-001 XHA XHC XH XH initial FALSE
Bacteroides_caccae_53434 XHA-029 XHB-029 XHA XHB XH XH pre-abx FALSE
Bacteroides_caccae_53434 XHA-029 XHC-029 XHA XHC XH XH pre-abx FALSE
Bacteroides_caccae_53434 XHA-036 XHC-036 XHA XHC XH XH post-abx FALSE
Bacteroides_caccae_53434 XHA-064 XHC-064 XHA XHC XH XH final FALSE
Bacteroides_caccae_53434 XHB-029 XHC-029 XHB XHC XH XH pre-abx FALSE
Bacteroides_caccae_53434 XIB-064 XIC-064 XIB XIC XI XI final TRUE
Bacteroides_caccae_53434 XPA-002 XPB-008 XPA XPB XP XP initial FALSE
Bacteroides_caccae_53434 XPA-029 XPB-028 XPA XPB XP XP initial FALSE
Bacteroides_caccae_53434 XPA-029 XPB-028 XPA XPB XP XP pre-abx FALSE
Bacteroides_caccae_53434 XPA-036 XPB-036 XPA XPB XP XP post-abx FALSE
Bacteroides_caccae_53434 XRA-001 XRB-002 XRA XRB XR XR initial FALSE
Bacteroides_caccae_53434 XRA-029 XRB-029 XRA XRB XR XR pre-abx FALSE
Bacteroides_caccae_53434 XRA-036 XRB-036 XRA XRB XR XR post-abx FALSE
Bacteroides_caccae_53434 XRA-064 XRB-059 XRA XRB XR XR final FALSE
Bacteroides_caccae_53434 XRA-064 XRB-059 XRA XRB XR XR post-abx FALSE
Bacteroides_caccae_53434 YAB-001 YAC-001 YAB YAC YA YA initial FALSE
Bacteroides_caccae_53434 YAB-001 YAD-001 YAB YAD YA YA initial TRUE
Bacteroides_caccae_53434 YAC-001 YAD-001 YAC YAD YA YA initial FALSE
Bacteroides_caccae_53434 YCA-001 YCB-001 YCA YCB YC YC initial TRUE
Bacteroides_caccae_53434 YEA-004 YEB-001 YEA YEB YE YE initial FALSE
Bacteroides_caccae_53434 YEA-004 YEC-005 YEA YEC YE YE initial FALSE
Bacteroides_caccae_53434 YEB-001 YEC-005 YEB YEC YE YE initial FALSE
Bacteroides_caccae_53434 ZAA-002 ZAC-263 ZAA ZAC ZA ZA final TRUE
Bacteroides_caccae_53434 ZAA-002 ZAC-263 ZAA ZAC ZA ZA initial TRUE
Bacteroides_caccae_53434 ZDA-001 ZDB-001 ZDA ZDB ZD ZD initial TRUE
Bacteroides_caccae_53434 ZEA-001 ZEC-001 ZEA ZEC ZE ZE initial FALSE
Bacteroides_cellulosilyticus_58046 XBA-001 XBB-001 XBA XBB XB XB initial FALSE
Bacteroides_cellulosilyticus_58046 XFA-001 XFB-001 XFA XFB XF XF initial FALSE
Bacteroides_cellulosilyticus_58046 XFA-029 XFB-029 XFA XFB XF XF pre-abx FALSE
Bacteroides_cellulosilyticus_58046 XFA-036 XFB-036 XFA XFB XF XF post-abx FALSE
Bacteroides_cellulosilyticus_58046 XFA-064 XFB-064 XFA XFB XF XF final FALSE
Bacteroides_cellulosilyticus_58046 XGA-001 XGC-001 XGA XGC XG XG initial TRUE
Bacteroides_cellulosilyticus_58046 XGA-029 XGC-029 XGA XGC XG XG pre-abx TRUE
Bacteroides_cellulosilyticus_58046 XGA-036 XGC-037 XGA XGC XG XG post-abx TRUE
Bacteroides_cellulosilyticus_58046 XGA-064 XGC-064 XGA XGC XG XG final TRUE
Bacteroides_cellulosilyticus_58046 XPA-002 XPB-008 XPA XPB XP XP initial FALSE
Bacteroides_cellulosilyticus_58046 XPA-029 XPB-028 XPA XPB XP XP initial FALSE
Bacteroides_cellulosilyticus_58046 XPA-029 XPB-028 XPA XPB XP XP pre-abx FALSE
Bacteroides_cellulosilyticus_58046 XPA-036 XPB-036 XPA XPB XP XP post-abx FALSE
Bacteroides_cellulosilyticus_58046 XPA-072 XPB-063 XPA XPB XP XP final FALSE
Bacteroides_cellulosilyticus_58046 YBA-004 YBC-001 YBA YBC YB YB initial TRUE
Bacteroides_cellulosilyticus_58046 ZEA-001 ZEC-001 ZEA ZEC ZE ZE initial FALSE
Bacteroides_clarus_62282 XMA-001 XMB-001 XMA XMB XM XM initial FALSE
Bacteroides_clarus_62282 XMA-029 XMB-029 XMA XMB XM XM pre-abx FALSE
Bacteroides_clarus_62282 XMA-064 XMB-064 XMA XMB XM XM final FALSE
Bacteroides_eggerthii_54457 XHA-003 XHC-001 XHA XHC XH XH initial FALSE
Bacteroides_eggerthii_54457 XHA-029 XHC-029 XHA XHC XH XH pre-abx FALSE
Bacteroides_eggerthii_54457 ZDA-001 ZDB-001 ZDA ZDB ZD ZD initial FALSE
Bacteroides_faecis_58503 XBA-001 XBB-001 XBA XBB XB XB initial TRUE
Bacteroides_faecis_58503 XBA-029 XBB-029 XBA XBB XB XB pre-abx TRUE
Bacteroides_faecis_58503 XCA-001 XCB-001 XCA XCB XC XC initial TRUE
Bacteroides_faecis_58503 XCA-029 XCB-029 XCA XCB XC XC pre-abx TRUE
Bacteroides_faecis_58503 XCA-064 XCB-064 XCA XCB XC XC final TRUE
Bacteroides_faecis_58503 YBA-004 YBC-001 YBA YBC YB YB initial TRUE
Bacteroides_finegoldii_57739 XGA-001 XGB-001 XGA XGB XG XG initial FALSE
Bacteroides_finegoldii_57739 XGA-001 XGC-001 XGA XGC XG XG initial FALSE
Bacteroides_finegoldii_57739 XGA-029 XGB-029 XGA XGB XG XG pre-abx FALSE
Bacteroides_finegoldii_57739 XGA-029 XGC-029 XGA XGC XG XG pre-abx FALSE
Bacteroides_finegoldii_57739 XGA-036 XGB-036 XGA XGB XG XG post-abx FALSE
Bacteroides_finegoldii_57739 XGA-036 XGC-037 XGA XGC XG XG post-abx FALSE
Bacteroides_finegoldii_57739 XGA-064 XGB-064 XGA XGB XG XG final FALSE
Bacteroides_finegoldii_57739 XGA-064 XGC-064 XGA XGC XG XG final FALSE
Bacteroides_finegoldii_57739 XGB-001 XGC-001 XGB XGC XG XG initial TRUE
Bacteroides_finegoldii_57739 XGB-029 XGC-029 XGB XGC XG XG pre-abx TRUE
Bacteroides_finegoldii_57739 XGB-036 XGC-037 XGB XGC XG XG post-abx TRUE
Bacteroides_finegoldii_57739 XGB-064 XGC-064 XGB XGC XG XG final TRUE
Bacteroides_finegoldii_57739 XHA-029 XHB-029 XHA XHB XH XH pre-abx FALSE
Bacteroides_finegoldii_57739 XNA-036 XNB-036 XNA XNB XN XN post-abx TRUE
Bacteroides_finegoldii_57739 XNA-064 XNB-064 XNA XNB XN XN final TRUE
Bacteroides_finegoldii_57739 XQA-001 XQB-001 XQA XQB XQ XQ initial TRUE
Bacteroides_finegoldii_57739 XQA-029 XQB-029 XQA XQB XQ XQ pre-abx TRUE
Bacteroides_finegoldii_57739 XQA-064 XQB-064 XQA XQB XQ XQ final TRUE
Bacteroides_fragilis_54507 XAA-002 XAD-003 XAA XAD XA XA initial FALSE
Bacteroides_fragilis_54507 XAA-064 XAD-063 XAA XAD XA XA final FALSE
Bacteroides_fragilis_54507 XBA-001 XBB-001 XBA XBB XB XB initial TRUE
Bacteroides_fragilis_54507 XBA-029 XBB-029 XBA XBB XB XB pre-abx TRUE
Bacteroides_fragilis_54507 XBA-036 XBB-036 XBA XBB XB XB post-abx TRUE
Bacteroides_fragilis_54507 XBA-064 XBB-066 XBA XBB XB XB final TRUE
Bacteroides_fragilis_54507 XDA-001 XDB-001 XDA XDB XD XD initial FALSE
Bacteroides_fragilis_54507 XDA-029 XDB-029 XDA XDB XD XD pre-abx FALSE
Bacteroides_fragilis_54507 XDA-036 XDB-036 XDA XDB XD XD post-abx FALSE
Bacteroides_fragilis_54507 XDA-064 XDB-064 XDA XDB XD XD final FALSE
Bacteroides_fragilis_54507 XLA-029 XLB-029 XLA XLB XL XL pre-abx TRUE
Bacteroides_fragilis_54507 XSA-029 XSB-029 XSA XSB XS XS pre-abx TRUE
Bacteroides_fragilis_54507 XSA-064 XSB-064 XSA XSB XS XS final TRUE
Bacteroides_fragilis_54507 YCA-001 YCB-001 YCA YCB YC YC initial TRUE
Bacteroides_fragilis_54507 ZEA-001 ZEB-001 ZEA ZEB ZE ZE initial FALSE
Bacteroides_massiliensis_44749 XCA-001 XCB-001 XCA XCB XC XC initial FALSE
Bacteroides_massiliensis_44749 XCA-029 XCB-029 XCA XCB XC XC pre-abx FALSE
Bacteroides_massiliensis_44749 XCA-036 XCB-036 XCA XCB XC XC post-abx FALSE
Bacteroides_massiliensis_44749 XCA-064 XCB-064 XCA XCB XC XC final FALSE
Bacteroides_massiliensis_44749 XEA-001 XEB-001 XEA XEB XE XE initial TRUE
Bacteroides_massiliensis_44749 XEA-029 XEB-029 XEA XEB XE XE pre-abx TRUE
Bacteroides_massiliensis_44749 XHA-003 XHB-001 XHA XHB XH XH initial TRUE
Bacteroides_massiliensis_44749 XHA-003 XHC-001 XHA XHC XH XH initial FALSE
Bacteroides_massiliensis_44749 XHA-029 XHB-029 XHA XHB XH XH pre-abx TRUE
Bacteroides_massiliensis_44749 XHA-029 XHC-029 XHA XHC XH XH pre-abx FALSE
Bacteroides_massiliensis_44749 XHA-036 XHB-036 XHA XHB XH XH post-abx TRUE
