site_id after before
163675 1 0
163681 1 0
163684 1 0.125
163691 1 0.167
163843 1 0.182
163856 1 0.143
163868 1 0.167
163939 1 0.154
163946 1 0.182
163955 1 0.143
163981 1 0.167
164101 1 0.16
164129 1 0.182
164131 1 0.182
164156 1 0.19
164197 1 0.13
164198 1 0.136
164200 1 0.13
164221 1 0.125
164242 1 0.167
164323 0 1
164441 1 0.182
164482 1 0
164508 1 0.167
164533 1 0.167
164549 1 0
164589 1 0.111
164843 1 0
164962 1 0
164986 1 0
165003 1 0.0526
165040 1 0
167300 0.889 0
190343 1 0
190344 1 0
190554 1 0
190922 0.969 0.087
192381 1 0
192384 1 0
192396 1 0
198405 1 0
200443 1 0
200445 1 0
200473 1 0
200535 1 0
200546 1 0
200558 1 0
200614 1 0
200620 1 0
200623 1 0
200627 1 0
200695 1 0
200701 1 0
200703 1 0
200707 1 0
200708 1 0
200775 1 0
200813 1 0
201792 1 0
202060 1 0
202126 1 0
202285 1 0
202522 1 0
203380 0.917 0
203381 0.833 0
209651 0 1
210062 0 1
212595 1 0.0556
212651 1 0
212666 1 0
212774 0 1
212963 1 0
213433 0 1
213459 1 0
213494 0 1
213702 0 1
213731 0 1
213930 1 0
214121 1 0
214187 0 1
214284 0 1
215332 1 0
215483 0 1
215669 0 1
215817 0.111 1
215885 0 1
215932 0 1
216011 0 1
216317 0 1
216330 0 1
216342 0.00862 1
216367 0 1
216414 0 1
216553 0 1
216620 0 1
216782 0 1
217500 1 0.143
217630 1 0.1
217842 1 0.125
217854 1 0.167
217875 1 0.167
217878 1 0.125
218244 0.1 1
218702 1 0.0333
218732 1 0.0312
218903 1 0
219129 1 0
219486 0 1
219522 1 0
219525 1 0
219537 0 1
219570 1 0
219687 1 0.0833
219702 1 0
219714 0 1
219723 1 0
219958 0.074 1
219973 0 1
220005 0 1
220655 1 0.188
225698 1 0
225749 0.87 0
225851 0.875 0
225962 0.955 0
225995 1 0
226001 1 0
226112 1 0
226125 0.833 0
226138 0.833 0
226223 0.882 0
226238 1 0
226248 0.933 0
226304 0.957 0
226471 0.864 0
226541 1 0
226613 0.846 0
227088 0.913 0
227154 1 0
227224 0.857 0
227247 0.889 0
227303 0.87 0
227312 0.889 0
227379 1 0
227421 0.947 0
227477 0.846 0
227541 0.941 0
227556 0.964 0
227572 0.909 0
227581 0.96 0
227588 0.958 0
227644 1 0
227681 1 0
230622 0.92 0
230665 1 0
230803 1 0
230979 1 0
231230 0.972 0
231297 1 0
231333 1 0
240866 1 0.125
252457 1 0
252460 1 0
263052 1 0
263055 1 0
263058 1 0
265468 0 1
265618 0.04 1
265693 0.111 1
265756 0 1
265759 0 1
265769 0 1
275126 0 1
275428 0 0.857
278127 0 1
278134 0 1
278242 0 1
284885 1 0.125
284888 1 0.125
284924 1 0.125
286287 0 1
288919 0 1
289020 1 0.182
289681 1 0.0909
289702 1 0.05
289719 1 0.125
289953 0 1
290888 0 1
291440 0 1
291659 0 0.952
292353 0 1
292418 0 1
292464 0 1
294965 1 0.182
295352 1 0
299404 1 0.0417
299496 1 0.0769
299554 1 0.0769
301185 1 0.1
310375 0 1
319204 1 0
323908 0 1
328409 0.857 0.125
331235 0.0556 1
331245 0 1
331273 0 1
331288 0 1
331347 0 1
332251 1 0
332255 0.963 0
332457 1 0
332920 1 0
333167 1 0
333209 1 0
333409 1 0
333557 1 0
333573 1 0
333650 1 0
333993 1 0
333994 1 0
333997 1 0
334003 1 0
334012 1 0
334063 1 0
334066 1 0
334147 1 0
334714 1 0
334716 1 0
334781 1 0
334833 1 0
335103 1 0
335157 1 0
335657 1 0
336213 0 1
337332 0 1
337335 0 1
337728 1 0
337731 0 1
337944 1 0
338056 1 0
338174 1 0
338370 1 0
338544 1 0
338762 1 0
338801 1 0
338822 1 0
338829 1 0
338844 1 0
338850 1 0
338853 1 0
338858 1 0
338859 1 0
338898 1 0
338925 1 0
339130 1 0.182
339200 1 0.143
339252 1 0.167
339867 1 0.0455
341076 1 0.167
341088 1 0.167
341109 1 0.148
341370 1 0
341373 1 0
341388 1 0
341424 1 0
341454 1 0
341457 1 0
341489 1 0.0909
341505 1 0.0833
341517 1 0.0833
342215 1 0
342216 1 0
342217 1 0
343378 1 0.0625
346208 0 1
348617 0 0.938
349372 0 1
350524 0 1
371642 0 1
371672 0 1
371735 0 1
371762 0 1
372327 1 0
372457 1 0
372508 1 0
372683 1 0
372799 1 0
372829 1 0
373219 1 0
373576 0 1
373582 0 1
373630 0 0.9
373691 0 1
373702 1 0
373895 0 0.895
373938 0.1 1
374018 1 0
374784 1 0
374916 0 1
374958 1 0
374985 1 0
375110 1 0
375563 1 0
375573 1 0
375717 1 0
375747 1 0
375807 1 0
375986 0 1
376010 1 0
376029 1 0
376069 1 0
376306 1 0
376407 1 0
376482 1 0
376576 1 0
376990 0 0.875
376993 0 1
377133 1 0
377185 0 1
377355 0 1
377580 0.0769 1
377928 0 1
378054 0 1
378093 0 1
378401 0 1
378455 0 1
378675 0 1
378840 1 0
378841 1 0
379099 1 0
379926 0 1
379937 0 1
380160 0 1
380161 0 1
380456 0 1
380480 0 1
380591 0 1
380688 0 1
381003 1 0.176
381076 0 1
381376 0 1
381575 0 1
381604 0 1
382263 0 1
382348 1 0.143
382511 0 1
383099 0 1
383281 0 0.909
388374 1 0
394764 0.857 0.0769
394842 0.909 0.182
395498 0.833 0.133
395508 1 0.167
402403 0 1
404387 0 1
404444 0 1
404648 0 1
404651 0 1
404660 0 1
404684 0 1
404696 0.0417 1
404738 0 1
404807 0 1
404822 0 1
404861 0 1
404944 1 0
404996 0 1
405001 0 1
405002 0 1
405029 0 1
405422 0 1
405494 0 1
407305 1 0
407317 1 0
407484 1 0.0769
407584 0 1
407882 0 1
408140 1 0.15
408476 0 1
408578 0 1
408800 0 1
408825 1 0
412051 0 1
412516 0 1
412519 0.013 1
412765 0 1
413386 0 1
413485 0 1
417850 1 0
417910 0 1
417911 0 1
419236 1 0.0769
420623 1 0
420624 1 0
420630 1 0
420834 1 0
420873 1 0
420921 1 0
422300 0 0.889
423123 0 0.857
425999 0 1
426024 0 1
426057 0 1
426076 0 1
426081 0 1
426336 0 0.957
426672 0 1
426852 0 1
426870 0 1
426933 0 1
429270 0 1
429402 0 1
429759 0.0732 1
429831 0.0741 1
430409 0 1
430424 0 1
430463 0 1
430498 0 1
430929 0 1
431237 0 1
431262 0 1
431283 0 1
431338 0 1
431391 0 1
431673 0 1
432356 0.1 1
432357 0 1
432779 0 1
432815 1 0.0588
432816 1 0.0526
432818 1 0.0556
432820 1 0.0556
432821 1 0.0556
432823 1 0.0556
432972 0 1
432975 0 1
435735 0 1
436446 0 1
437153 1 0
437318 1 0.143
437483 1 0.172
438272 0 1
438517 0 1
438524 0 1
443637 1 0
443643 1 0
443647 1 0
449525 1 0.111
450708 0 1
450831 0 1
450840 0 1
450846 0 1
450849 0 1
450850 0 1
450852 0 1
451659 0 1
451713 0 0.857
451740 0 0.833
455519 0 1
455540 0 1
455622 0 1
455738 0 1
455999 0 1
456047 0 1
456288 0 1
458397 0 1
458446 0 1
458486 0 1
458500 0 1
458516 0 1
458757 0 0.818
458772 0 0.909
458775 0 0.909
458877 0 1
458925 0 1
459042 1 0.143
459045 1 0.133
459061 0 1
459065 1 0.133
459069 0 1
459074 1 0.118
459105 1 0.1
459177 0 0.9
459180 0 0.9
459189 0 0.864
459191 0 0.875
459200 0 0.947
459219 0 0.941
459244 0 0.923
459256 0 1
459294 0 1
459324 0 1
459395 0.08 1
459462 0 1
459519 0 1
459585 0 1
459594 0 1
460131 0 1
460248 0 1
461210 0 1
461268 1 0.176
461313 1 0.167
461325 1 0.143
511203 1 0
511206 1 0
511371 0 1
511372 0 1
511488 1 0.133
511571 0.909 0
511880 0 1
511898 0 1
511916 0 1
511934 0 1
511940 0 1
511946 0 1
512174 0 1
512198 1 0.0620000000000001
512279 0 1
512372 0.0714 1
516529 0 1
518014 1 0.143
518213 0 1
518561 0 1
518582 0 1
518696 0 1
518798 0 1
519458 0 1
519750 0 1
520160 0.0196 1
521258 0 1
521520 0 1
521740 0 1
521777 0 1
522016 0 1
522394 0 1
522485 0 1
522487 0 1
522534 0 1
522565 0 1
522867 0 1
523102 0 1
524807 0 0.9
524808 1 0.167
524919 1 0.143
524967 1 0.182
524982 1 0.133
525072 0.077 1
525102 0 1
525162 0 1
525180 0.0590000000000001 1
525189 0 1
525237 0 1
525243 0 1
525301 0 1
525316 0 1
525456 0.0669999999999999 1
525483 0 1
525487 0 1
525524 0 1
525542 0 1
525553 0 1
525563 0 1
525564 0 1
525565 0 1
525566 0 1
525568 0.0714 1
525768 0 1
525780 0 1
525827 0 1
525894 0 1
526074 0 1
526118 0 1
526338 0 1
526515 0 1
526518 0 1
526656 0 1
526664 0 1
526815 0 1
526870 0 0.857
527137 0 1
527197 0 1
527246 0 1
527343 1 0.154
527405 0 1
527414 0 1
527483 0 1
527816 0 1
527817 0 1
527889 0 1
527918 0 1
527983 0 1
528000 0 1
528087 0 0.909
528264 0 1
528315 1 0.143
528402 0 1
528516 0 1
528666 0 1
528783 0 1
528792 0 1
528793 0 0.941
528795 0 0.944
529450 0 1
529465 0 1
529515 0 1
529534 0 1
529600 0 1
529619 0 1
529621 0 1
529624 0 1
529627 0 1
529657 0 1
529684 0 1
529753 0 1
529777 0 1
529795 0 1
529825 0 1
529828 0 1
529837 0 1
529952 0 1
529966 0 1
529967 0 1
530062 0 1
530080 0 1
530096 0 1
530107 0 1
530112 0 1
530122 0 1
530131 1 0.143
530137 1 0.143
530143 1 0.143
530149 1 0.143
530158 1 0.143
530179 1 0
530182 1 0
530347 0 1
531405 1 0.167
531521 0 1
531545 0 1
531617 0 1
531647 0 1
531671 0 1
531701 0 1
531731 0.0385 1
532103 0 1
532211 0 1
532235 0 1
532238 0 1
532256 0 1
533363 0 1
533395 0 1
533396 0 1
533398 0 1
535752 0 0.857
535776 0 1
535782 0 1
535827 0 1
535848 0 1
535851 0 1
535941 0 1
536166 0 1
536217 0 1
536391 0 1
536442 0 1
536682 0 1
536700 0 1
536892 0 1
536898 0 1
537084 0 1
537291 0.0385 1
537306 0 1
537627 0 1
537639 0 1
537663 0 1
537786 0 1
537834 0 1
537852 0 1
538177 0 0.833
538290 0 1
538393 0 1
538428 0 1
538443 0 1
538542 0 1
538960 0.04 1
539507 0 1
539549 0 1
539603 0.0714 1
539648 1 0.2
539693 0 1
540479 0 0.917
540800 0 1
540980 0 1
541349 0 1
541940 0.0435 1
542531 0 1
542549 0 1
542617 0 1
542663 0.03 1
542669 0 1
542684 0 1
542753 0 1
542885 0 1
542909 0 1
542925 0 1
542957 0 1
543067 0 1
543319 0 1
543323 0 1
543422 0 1
543441 0 1
543450 0 1
543518 0 1
543695 1 0.133
543712 1 0.125
543734 1 0.143
543778 0 1
543965 0 1
544109 1 0
544289 0 1
544337 0 1
544361 0 1
545169 1 0.167
545170 1 0
545179 1 0
545365 0 1
545404 0 1
545493 0 1
546221 1 0.192
546822 1 0.091
548685 0 1
549614 0 1
550142 0 1
550148 0 1
550154 0 1
550167 0 1
550936 0 1
550994 0 1
551177 0.0303 1
551183 0 1
551195 0 1
551226 0 1
551268 0 1
551355 0 1
551559 0 1
551622 0 1
551649 0 1
551652 0 1
551685 0 1
551863 0 1
551867 0 1
551982 1 0.182
552241 0 1
552284 0 1
552678 0 1
552837 0 1
553297 0 1
553473 0 1
553948 0 1
554443 0 1
554454 0 1
554550 0 1
554580 0 1
554700 0.00909 1
554736 0 1
555172 0 1
555447 0 1
555570 0 1
555612 0 1
555677 0 1
555847 0 1
555849 0 1
555912 0 1
556078 0 1
556396 0 1
556531 0 1
556607 0 1
557566 0 1
557894 0 1
558037 0 1
558049 0 1
558051 0 1
558062 0.0128 1
558084 0 1
558464 0 1
558602 0 1
558634 0 1
558674 0 1
558699 0 1
558824 0 1
558860 0 1
559051 0 1
559062 0 1
559065 0 1
559130 0 1
559832 1 0.167
562093 1 0.115
563098 0 1
564123 1 0.182
565333 0 0.95
593454 1 0
593479 1 0
593837 0.889 0.133
594649 1 0
601956 1 0
601958 1 0
622623 1 0
624177 1 0
624243 1 0
624284 1 0
624344 1 0
624350 1 0
624353 1 0
624359 1 0
624449 1 0
624455 1 0
624554 1 0
624584 1 0
624612 1 0
624632 1 0
624734 1 0
627918 1 0
627925 1 0
627926 1 0
627928 1 0
627929 1 0
630072 0 1
630255 0 1
631069 0 1
631797 1 0
631803 1 0
631806 1 0
631830 1 0
631843 0.917 0
631848 0.889 0
632622 0.9 0
632625 0.889 0
632634 1 0
632637 1 0
632641 0.909 0
632646 1 0
632649 1 0
632706 1 0
632772 1 0
632775 1 0
632805 1 0
632832 1 0
632848 1 0
632874 1 0
632958 1 0
632979 1 0
633069 1 0
633081 1 0
633172 1 0
633245 1 0
633274 1 0
633285 1 0
633306 1 0
633309 1 0
633363 1 0
633414 1 0
633417 1 0
633499 1 0
633543 1 0
633560 1 0
633576 1 0
633639 1 0
633640 1 0
633664 1 0
633669 1 0
633729 1 0
633783 1 0
633795 1 0
633836 1 0
633919 1 0
634278 1 0
634281 1 0
634401 1 0
634422 1 0
634437 1 0
634482 1 0
634485 1 0
634500 1 0
634563 1 0
634612 1 0
634629 1 0
634680 1 0
634767 1 0
634810 0.889 0
634880 1 0
634906 1 0
634928 1 0
634981 1 0
634984 1 0
635011 1 0
635066 1 0
635095 1 0
635106 1 0
635159 1 0
635162 1 0
635279 1 0
635300 1 0
635303 1 0
635411 1 0
635458 1 0
635588 1 0
635607 1 0
635641 1 0
635645 1 0
636191 1 0
636203 1 0
636210 1 0
636212 1 0
636248 1 0
636257 1 0
636259 1 0
636260 1 0
636314 1 0
636416 1 0
636422 1 0
636570 1 0
636768 0 1
636804 0 1
636845 0 1
636862 0 1
636864 0 1
636954 0 1
636974 0 1
636976 0 1
636988 0 1
637113 0 1
637126 0 1
637234 0 1
637271 0 0.867
637287 0 1
637344 0.0556 1
641109 1 0.167
642882 1 0.167
642891 1 0.143
642901 1 0.0385
643006 1 0.125
643206 0 1
643209 0 1
643290 0 1
643449 0 1
643452 0 1
643512 0 1
643521 0 0.889
643540 0 0.9
643567 0 1
643580 0 1
643607 0 1
643689 0 1
644650 1 0.167
644679 1 0.143
644689 1 0.167
644978 0 1
646207 0 1
646636 0 1
646669 1 0
647344 0 1
647365 0.1 1
647371 0.0833 1
647454 0.032 1
647464 0 1
647470 0 1
647487 0 1
647575 0.0102 1
647590 0 0.92
647595 0 0.846
647598 0 0.846
647657 0 0.875
647742 0 1
647872 0 1
647894 0 1
648048 0 1
648089 0 1
648204 0 1
648241 0 1
648407 0 1
648425 0 1
648481 1 0.2
648650 0 0.929
648653 0 1
648720 0 1
648722 0 1
648733 0 1
648740 0 1
648756 0 1
648961 1 0.154
648976 1 0.188
648977 1 0.15
649003 1 0.2
649132 0 1
649153 0 0.909
649183 0 1
649261 0 0.9412
649502 0 1
649595 0 1
649613 0 1
649655 0 1
649760 0 0.905
649771 0 0.9
649853 0.0455 1
649854 0 1
649856 0 1
649858 0 1
649859 0.154 1
649862 0 1
649865 0 1
650036 0 1
650178 0 1
650242 0 1
650355 0 1
650402 0 1
650456 0 1
650686 0 1
650771 0 0.889
650800 0 0.9
651009 0 1
651259 0 1
651262 0 0.964
651497 0 1
651501 0 1
651502 0 1
651503 0 1
651505 0 1
651566 0 1
651578 0 1
651580 0 1
651833 0.0769 1
652178 0 1
652932 0 1
654089 0 0.909
654114 0 0.857
654136 0 1
654148 0 1
654376 0 1
654382 0 1
654502 0 1
654580 0 1
654822 0 1
655069 0 1
655114 0 1
655139 0 0.917
655159 0 1
655229 0 0.818
655268 0 0.9
655817 0 1
655843 0 1
655882 0 1
656320 0 1
656347 0 1
656362 0 1
656363 0 1
656382 0 1
656399 0 1
656507 0 1
656525 0.0741 1
657684 0 1
657687 0 1
657690 0 1
658253 1 0.2
658255 1 0.2
658260 1 0.2
658397 1 0.133
660763 0 1
660799 0.0156 1
660808 0 1
660814 0 1
660816 0 1
660823 0 1
660835 0 1
661087 0 1
661101 0 0.923
661352 0 1
662996 1 0
663259 0.0125 1
663318 0 1
664973 0 1
665231 0 1
666575 0 1
666962 0 1
670350 0 1
670452 0 1
670473 0 1
670479 0 1
670811 0 1
670814 0 1
670819 0 1
684312 0 1
685107 0 1
686192 1 0.167
687323 0 1
688906 1 0
688928 1 0
689074 1 0
689272 0 1
689317 1 0
689757 1 0
689889 1 0
690409 0 1
690557 0 1
690565 1 0
691424 1 0
691474 1 0
691660 1 0
691783 0 1
692074 0 1
692077 0 1
692196 1 0
692284 0 1
692621 0 1
693099 1 0
693185 1 0
693248 1 0
693578 1 0
693623 1 0
693677 1 0
693779 1 0
693937 1 0
694225 0.0169 1
694234 1 0
694257 1 0
694418 1 0
694478 1 0
694954 1 0
695079 1 0
695106 1 0
695115 1 0
695118 0 1
695145 1 0
695157 1 0
695176 1 0
695632 1 0
695764 1 0
696197 0 1
696499 1 0
696553 1 0
696643 1 0
696650 1 0
696709 1 0
696874 1 0
696884 1 0
696889 1 0
696892 1 0
696910 1 0
696919 1 0
696925 1 0
696981 1 0
696984 1 0
696991 1 0
697000 1 0
697051 1 0
697057 1 0
698157 1 0
698178 1 0
698184 1 0
698230 0.909 0
698267 0.857 0
698443 0.833 0
698917 0.833 0
707480 1 0
707510 1 0
707525 1 0
707537 1 0
707597 1 0
707612 1 0
707615 1 0
707637 1 0
707672 1 0
707693 1 0
707705 1 0
707737 0 1
707750 1 0
707780 1 0
707784 1 0
707791 1 0
707794 1 0
707804 1 0
708067 0 1
708068 1 0
708104 0 1
708224 1 0
708391 1 0
708422 1 0
708428 1 0.118
708476 1 0
708630 0 1
708700 0 1
708917 0 1
708955 0 1
708986 0 1
708990 1 0
708992 0 1
708995 1 0
709005 1 0
709009 1 0
709010 1 0
709014 1 0
709019 1 0
709204 0 1
709208 0 1
709604 0 1
709611 1 0
709616 0.0345 1
709619 0 1
709625 0 1
709688 0 1
709715 0 1
709763 1 0
709797 0 1
709823 0 1
709826 0 1
710091 0 1
710126 1 0
710132 1 0
710139 1 0
710152 0 1
710153 0 1
710160 0 1
710183 0 1
710207 1 0
710216 1 0
710228 1 0
710237 0 1
710249 1 0
710270 0 1
713065 1 0
713091 1 0
713128 1 0
713137 1 0
713170 1 0
713274 0.833 0
713291 0.9 0
713363 0.833 0
713503 0.9 0
713556 0.944 0
713562 1 0
713601 1 0
713679 1 0
713680 1 0
713682 1 0
713697 1 0
713747 1 0
713878 0 1
713883 1 0
713905 1 0
713922 0 1
713977 1 0
714011 0 1
714160 0 1
714163 0 1
714166 0 1
714172 0 1
714175 0 1
715117 1 0
718790 1 0
718872 1 0
719070 0.833 0
720143 0.9286 0
720172 1 0
720209 0.889 0
720282 0.818 0
720321 1 0
720534 0.833 0
720551 0.833 0
720722 0.875 0
720775 1 0
720999 0.857 0
721146 1 0
721163 0.857 0
721211 0.857 0
721334 0.833 0
721505 0.857 0
721508 0.818 0
721562 1 0
721571 1 0
721572 1 0
721579 1 0
721682 0.875 0
721763 1 0
721793 1 0
721808 1 0
722006 1 0
722749 0.944 0
723073 0.889 0
723392 0.917 0
723864 1 0
724062 0.812 0
724776 1 0
725225 0.9 0
725477 0.923 0
725702 1 0
725719 1 0
726088 1 0
726419 0.818 0
728270 0 1
728741 1 0
728891 1 0
729836 1 0
730049 1 0.095
730124 1 0
730165 0.118 1
730187 1 0
730229 1 0
730370 1 0
730427 1 0
730560 1 0
730706 1 0
730799 1 0
730949 1 0
731060 1 0
731166 1 0
731171 1 0
731195 1 0
731242 1 0
731304 1 0
731393 1 0
731395 1 0
731407 1 0
731486 1 0
731597 1 0
731737 1 0
731779 1 0
731868 0 1
732139 1 0
732256 1 0
732337 1 0
732714 1 0.148
732846 1 0
732979 0 1
733053 1 0
733132 0 1
733377 0 1
733485 1 0
733528 1 0
733529 1 0
733530 1 0
733533 1 0
733534 1 0
733572 1 0
733943 1 0
734139 0 0.889
734163 0 1
734174 0 1
734192 0 1
734408 1 0
734522 0 1
734549 0 1
734835 0 1
734883 0 1
734904 0 1
734905 0 1
734913 0 1
735003 0 1
735171 0 1
735234 0 1
735363 0 1
735474 0 1
735501 1 0
735513 1 0
735608 0 1
735663 1 0
735924 1 0
736565 1 0
736672 1 0
736958 1 0
736992 1 0
737052 1 0
737091 1 0
737166 1 0
737208 1 0
737241 1 0.0833
737244 0 1
737248 1 0
737259 1 0
737317 1 0
737334 1 0
737370 1 0
737396 1 0
737418 1 0
737424 1 0
737566 1 0
737653 1 0
737677 1 0
740679 0 1
740680 0 1
740690 0.0909 1
740691 0.0714 1
740692 0.0667 1
740693 0.069 1
740711 0.0741 1
740743 0.0625 1
740836 0 1
770764 0 1
783437 0 0.857
783554 0 1
784101 0 1
784174 0 1
784429 0 1
784504 0 1
785395 0 1
785419 0 1
785656 0 1
785659 0 1
785863 0 1
786049 0 1
786786 0 1
787210 0.0112 1
787231 0 1
787267 0 1
787573 0.0526 1
787906 0 1
788179 0 1
788195 0 1
788271 0 1
788302 0 1
788509 0 1
788537 0 1
788571 0 1
788622 0 1
788663 0 1
788756 0 1
788767 0 1
790204 0 1
790345 0 1
790390 0.0435 1
790393 0.037 1
790419 0 1
790420 0 1
790469 0 0.941
790502 0 1
792859 0 1
793394 0 1
793730 0 1
793736 0 0.9
793773 0 0.833
794195 0 1
795027 0 0.923
795051 0 0.909
795275 0 1
795576 0.0312 1
795636 0 0.909
795672 0.0303 1
795684 0 1
795814 0 1
795972 0 0.917
796026 0 1
796128 0 1
796132 0 0.923
796135 0 0.917
796155 0.0833 1
796656 0 1
816123 0 1
816414 0 1
816450 0 1
816678 0 1
817377 0 0.875
817461 0 1
817904 0 1
817964 0.0333 1
818144 0 1
818177 0 1
818240 0 1
818549 0.167 1
818663 0 0.857
818964 0 1
819019 0 1
819020 0 1
819021 0 1
819144 0 1
819204 0 1
819279 0 1
819372 0 1
819793 0 1
819828 0 1
820015 0 1
820167 0 0.929
820505 0 1
820564 0 1
820574 0 1
822389 0 1
823535 0 1
824223 0 1
824523 0 1
825144 0 1
825168 0 1
825207 0 1
825210 0 1
825405 0 1
825417 0 1
825794 1 0
825815 1 0
825818 1 0
827366 0 1
827649 0 1
827725 0 1
827796 0 1
830784 1 0
831079 0 1
831314 0 1
831586 0 1
831601 0 1
831604 0 1
831613 0 1
831691 0 1
831721 0 1
831798 0 1
831834 0 1
831862 0 1
831935 0 1
831994 0 1
832159 0.125 1
832435 1 0
832456 0 1
832597 0 1
832633 0 1
832758 0 1
832759 0 1
832906 0 1
833035 0 1
833116 0 1
833251 0 1
833308 0 1
833743 0 1
833744 0 1
833982 1 0
833993 0 1
834492 0 1
834724 0 1
834789 0 1
835329 0 1
835481 0 1
836057 0 1
836848 0 1
837257 0.0345 1
837777 1 0
837791 0 1
837831 0 1
838503 1 0
839576 0 1
839599 1 0
839834 0 1
839966 1 0
840008 1 0
840112 0 1
840124 1 0
840132 1 0
842173 0 1
842924 0 1
843865 0 1
845424 0.0455 1
845640 0 0.857
846072 0 1
846075 0 1
846410 0 1
846525 0 1
846760 0 1
847460 0 1
848123 1 0
848587 1 0
848675 1 0
848677 1 0
849332 1 0
849606 0 1
849855 0 1
849967 0 1
852962 0 1
853979 1 0.148
854111 1 0.154
854174 1 0.143
855028 0 1
855554 0 1
856027 0.0769 0.917
863697 1 0
864213 1 0
864423 1 0
864435 1 0
864436 1 0
864437 1 0
864756 0 1
864990 1 0
865047 0 1
865092 0 1
865134 0 1
865296 0 1
865349 0 1
865376 0 1
865422 0 1
865473 1 0
865489 0 1
865896 1 0
866109 1 0
866193 1 0
866421 1 0
866511 1 0
867117 0 1
867360 1 0
867504 0 0.875
867507 0 0.889
868077 0 1
868263 0 1
868337 1 0
868352 1 0
868355 1 0
868358 1 0
868615 0 1
868634 0 1
868639 0 1
868679 0 1
868682 0 1
868877 0 1
868903 0 1
869234 0 1
870330 0 1
