sample	subject	hh	timepoint	species_id	relative_abundance	totalReads	speciesColonizedTransientlyMain	speciesColonizedTransientlyAll	timeOfRecoveryColonizationTurnover	typeOfRecoveryColonizationTurnover	r	K	tstar	closest_t_before_tstar	closest_t_after_star	inferred_tau	inferred_f0	Reason	tstarTimepoint	timepointIndex	timepointIndexTstar	lastUndetectableTimepointIndexBeforeTstar	lastUndetectableTimepointBeforeTstar	lastTimepointBeforeTstar	numTimepointsToReachK	timeIntervalToReachK
XAA-623	XAA	XA	623	Adlercreutzia_equolifaciens_60310	0.00532705158354	16727	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	30	26	25	454	454	1	34
XAA-652	XAA	XA	652	Adlercreutzia_equolifaciens_60310	0.00150376140882	30823	NA	FALSE	555	new species	0.175212	0.00209346	488	454	488	362.307	5.70737e-13	SUCCESS	488	31	26	25	454	454	1	34
XAA-002	XAA	XA	2	Alistipes_onderdonkii_55464	0.151009369371	91663	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	1	30	29	590	590	1	33
XAA-010	XAA	XA	10	Alistipes_onderdonkii_55464	0.104190756242	16442	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	2	30	29	590	590	1	33
XAA-014	XAA	XA	14	Alistipes_onderdonkii_55464	0.0577583695546	19768	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	3	30	29	590	590	1	33
XAA-021	XAA	XA	21	Alistipes_onderdonkii_55464	0.0822700304939	19905	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	4	30	29	590	590	1	33
XAA-022	XAA	XA	22	Alistipes_onderdonkii_55464	0.092388578516	20545	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	5	30	29	590	590	1	33
XAA-023	XAA	XA	23	Alistipes_onderdonkii_55464	0.140745109442	19468	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	6	30	29	590	590	1	33
XAA-024	XAA	XA	24	Alistipes_onderdonkii_55464	0.0986001313367	14804	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	7	30	29	590	590	1	33
XAA-026	XAA	XA	26	Alistipes_onderdonkii_55464	0.0859496992294	14752	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	8	30	29	590	590	1	33
XAA-027	XAA	XA	27	Alistipes_onderdonkii_55464	0.132763436037	14164	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	9	30	29	590	590	1	33
XAA-028	XAA	XA	28	Alistipes_onderdonkii_55464	0.0787667925256	96127	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	10	30	29	590	590	1	33
XAA-029	XAA	XA	29	Alistipes_onderdonkii_55464	0.0255715859487	5790	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	11	30	29	590	590	1	33
XAA-030	XAA	XA	30	Alistipes_onderdonkii_55464	0	3237	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	12	30	29	590	590	1	33
XAA-031	XAA	XA	31	Alistipes_onderdonkii_55464	0	6083	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	13	30	29	590	590	1	33
XAA-034	XAA	XA	34	Alistipes_onderdonkii_55464	0	8298	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	14	30	29	590	590	1	33
XAA-035	XAA	XA	35	Alistipes_onderdonkii_55464	0	12344	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	15	30	29	590	590	1	33
XAA-036	XAA	XA	36	Alistipes_onderdonkii_55464	0.000395657289908	13569	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	16	30	29	590	590	1	33
XAA-037	XAA	XA	37	Alistipes_onderdonkii_55464	0	14327	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	17	30	29	590	590	1	33
XAA-039	XAA	XA	39	Alistipes_onderdonkii_55464	0	69701	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	18	30	29	590	590	1	33
XAA-042	XAA	XA	42	Alistipes_onderdonkii_55464	0	22791	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	19	30	29	590	590	1	33
XAA-050	XAA	XA	50	Alistipes_onderdonkii_55464	0	20946	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	20	30	29	590	590	1	33
XAA-057	XAA	XA	57	Alistipes_onderdonkii_55464	0	14481	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	21	30	29	590	590	1	33
XAA-064	XAA	XA	64	Alistipes_onderdonkii_55464	0	99447	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	22	30	29	590	590	1	33
XAA-225	XAA	XA	225	Alistipes_onderdonkii_55464	0	35380	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	23	30	29	590	590	1	33
XAA-281	XAA	XA	281	Alistipes_onderdonkii_55464	0	66613	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	24	30	29	590	590	1	33
XAA-454	XAA	XA	454	Alistipes_onderdonkii_55464	0	93106	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	25	30	29	590	590	1	33
XAA-488	XAA	XA	488	Alistipes_onderdonkii_55464	0	24645	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	26	30	29	590	590	1	33
XAA-522	XAA	XA	522	Alistipes_onderdonkii_55464	0	20390	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	27	30	29	590	590	1	33
XAA-555	XAA	XA	555	Alistipes_onderdonkii_55464	0	44839	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	28	30	29	590	590	1	33
XAA-590	XAA	XA	590	Alistipes_onderdonkii_55464	0	37390	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	29	30	29	590	590	1	33
XAA-623	XAA	XA	623	Alistipes_onderdonkii_55464	0.0214770001277	16727	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	30	30	29	590	590	1	33
XAA-652	XAA	XA	652	Alistipes_onderdonkii_55464	0.0256338362556	30823	NA	NA	623	new strain	0.223272	0.0255873	623.815	623	652	512.88	4.47885e-13	SUCCESS	623	31	30	29	590	590	1	33
XAA-002	XAA	XA	2	Alistipes_putredinis_61533	0	91663	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	1	30	29	590	590	1	33
XAA-010	XAA	XA	10	Alistipes_putredinis_61533	0	16442	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	2	30	29	590	590	1	33
XAA-014	XAA	XA	14	Alistipes_putredinis_61533	0	19768	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	3	30	29	590	590	1	33
XAA-021	XAA	XA	21	Alistipes_putredinis_61533	0	19905	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	4	30	29	590	590	1	33
XAA-022	XAA	XA	22	Alistipes_putredinis_61533	0	20545	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	5	30	29	590	590	1	33
XAA-023	XAA	XA	23	Alistipes_putredinis_61533	0	19468	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	6	30	29	590	590	1	33
XAA-024	XAA	XA	24	Alistipes_putredinis_61533	0	14804	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	7	30	29	590	590	1	33
XAA-026	XAA	XA	26	Alistipes_putredinis_61533	0	14752	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	8	30	29	590	590	1	33
XAA-027	XAA	XA	27	Alistipes_putredinis_61533	0	14164	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	9	30	29	590	590	1	33
XAA-028	XAA	XA	28	Alistipes_putredinis_61533	0	96127	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	10	30	29	590	590	1	33
XAA-029	XAA	XA	29	Alistipes_putredinis_61533	0	5790	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	11	30	29	590	590	1	33
XAA-030	XAA	XA	30	Alistipes_putredinis_61533	0	3237	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	12	30	29	590	590	1	33
XAA-031	XAA	XA	31	Alistipes_putredinis_61533	0	6083	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	13	30	29	590	590	1	33
XAA-034	XAA	XA	34	Alistipes_putredinis_61533	0	8298	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	14	30	29	590	590	1	33
XAA-035	XAA	XA	35	Alistipes_putredinis_61533	0	12344	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	15	30	29	590	590	1	33
XAA-036	XAA	XA	36	Alistipes_putredinis_61533	0	13569	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	16	30	29	590	590	1	33
XAA-037	XAA	XA	37	Alistipes_putredinis_61533	0	14327	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	17	30	29	590	590	1	33
XAA-039	XAA	XA	39	Alistipes_putredinis_61533	0	69701	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	18	30	29	590	590	1	33
XAA-042	XAA	XA	42	Alistipes_putredinis_61533	0	22791	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	19	30	29	590	590	1	33
XAA-050	XAA	XA	50	Alistipes_putredinis_61533	0	20946	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	20	30	29	590	590	1	33
XAA-057	XAA	XA	57	Alistipes_putredinis_61533	0	14481	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	21	30	29	590	590	1	33
XAA-064	XAA	XA	64	Alistipes_putredinis_61533	0	99447	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	22	30	29	590	590	1	33
XAA-225	XAA	XA	225	Alistipes_putredinis_61533	0	35380	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	23	30	29	590	590	1	33
XAA-281	XAA	XA	281	Alistipes_putredinis_61533	0	66613	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	24	30	29	590	590	1	33
XAA-454	XAA	XA	454	Alistipes_putredinis_61533	0	93106	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	25	30	29	590	590	1	33
XAA-488	XAA	XA	488	Alistipes_putredinis_61533	0	24645	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	26	30	29	590	590	1	33
XAA-522	XAA	XA	522	Alistipes_putredinis_61533	0	20390	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	27	30	29	590	590	1	33
XAA-555	XAA	XA	555	Alistipes_putredinis_61533	0	44839	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	28	30	29	590	590	1	33
XAA-590	XAA	XA	590	Alistipes_putredinis_61533	0	37390	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	29	30	29	590	590	1	33
XAA-623	XAA	XA	623	Alistipes_putredinis_61533	0.102639398962	16727	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	30	30	29	590	590	1	33
XAA-652	XAA	XA	652	Alistipes_putredinis_61533	0.112773028302	30823	NA	FALSE	623	new species	0.270744	0.112528	623.36	623	652	525.695	3.69352e-13	SUCCESS	623	31	30	29	590	590	1	33
XAA-002	XAA	XA	2	Alistipes_shahii_62199	0	91663	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	1	30	29	590	590	1	33
XAA-010	XAA	XA	10	Alistipes_shahii_62199	0	16442	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	2	30	29	590	590	1	33
XAA-014	XAA	XA	14	Alistipes_shahii_62199	0	19768	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	3	30	29	590	590	1	33
XAA-021	XAA	XA	21	Alistipes_shahii_62199	0	19905	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	4	30	29	590	590	1	33
XAA-022	XAA	XA	22	Alistipes_shahii_62199	2.70164167378e-05	20545	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	5	30	29	590	590	1	33
XAA-023	XAA	XA	23	Alistipes_shahii_62199	0	19468	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	6	30	29	590	590	1	33
XAA-024	XAA	XA	24	Alistipes_shahii_62199	0	14804	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	7	30	29	590	590	1	33
XAA-026	XAA	XA	26	Alistipes_shahii_62199	0	14752	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	8	30	29	590	590	1	33
XAA-027	XAA	XA	27	Alistipes_shahii_62199	0	14164	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	9	30	29	590	590	1	33
XAA-028	XAA	XA	28	Alistipes_shahii_62199	0	96127	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	10	30	29	590	590	1	33
XAA-029	XAA	XA	29	Alistipes_shahii_62199	0	5790	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	11	30	29	590	590	1	33
XAA-030	XAA	XA	30	Alistipes_shahii_62199	0	3237	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	12	30	29	590	590	1	33
XAA-031	XAA	XA	31	Alistipes_shahii_62199	0	6083	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	13	30	29	590	590	1	33
XAA-034	XAA	XA	34	Alistipes_shahii_62199	0	8298	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	14	30	29	590	590	1	33
XAA-035	XAA	XA	35	Alistipes_shahii_62199	0	12344	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	15	30	29	590	590	1	33
XAA-036	XAA	XA	36	Alistipes_shahii_62199	0	13569	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	16	30	29	590	590	1	33
XAA-037	XAA	XA	37	Alistipes_shahii_62199	0	14327	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	17	30	29	590	590	1	33
XAA-039	XAA	XA	39	Alistipes_shahii_62199	0	69701	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	18	30	29	590	590	1	33
XAA-042	XAA	XA	42	Alistipes_shahii_62199	0	22791	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	19	30	29	590	590	1	33
XAA-050	XAA	XA	50	Alistipes_shahii_62199	0	20946	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	20	30	29	590	590	1	33
XAA-057	XAA	XA	57	Alistipes_shahii_62199	0	14481	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	21	30	29	590	590	1	33
XAA-064	XAA	XA	64	Alistipes_shahii_62199	0	99447	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	22	30	29	590	590	1	33
XAA-225	XAA	XA	225	Alistipes_shahii_62199	0	35380	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	23	30	29	590	590	1	33
XAA-281	XAA	XA	281	Alistipes_shahii_62199	0	66613	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	24	30	29	590	590	1	33
XAA-454	XAA	XA	454	Alistipes_shahii_62199	0	93106	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	25	30	29	590	590	1	33
XAA-488	XAA	XA	488	Alistipes_shahii_62199	0	24645	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	26	30	29	590	590	1	33
XAA-522	XAA	XA	522	Alistipes_shahii_62199	0	20390	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	27	30	29	590	590	1	33
XAA-555	XAA	XA	555	Alistipes_shahii_62199	0	44839	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	28	30	29	590	590	1	33
XAA-590	XAA	XA	590	Alistipes_shahii_62199	0	37390	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	29	30	29	590	590	1	33
XAA-623	XAA	XA	623	Alistipes_shahii_62199	0.00864592592128	16727	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	30	30	29	590	590	1	33
XAA-652	XAA	XA	652	Alistipes_shahii_62199	0.00465461142311	30823	NA	FALSE	623	new species	0.186334	0.0063128	623	590	623	498.556	5.36671e-13	SUCCESS	623	31	30	29	590	590	1	33
XAA-002	XAA	XA	2	Anaeroglobus_geminatus_62348	0	91663	FALSE	TRUE	50	new species	0.50299	0.00198107	50.9281	50	57	35	6.56876e-07	SUCCESS	50	1	20	19	42	42	1	8
XAA-010	XAA	XA	10	Anaeroglobus_geminatus_62348	0	16442	FALSE	TRUE	50	new species	0.50299	0.00198107	50.9281	50	57	35	6.56876e-07	SUCCESS	50	2	20	19	42	42	1	8
XAA-014	XAA	XA	14	Anaeroglobus_geminatus_62348	0	19768	FALSE	TRUE	50	new species	0.50299	0.00198107	50.9281	50	57	35	6.56876e-07	SUCCESS	50	3	20	19	42	42	1	8
XAA-021	XAA	XA	21	Anaeroglobus_geminatus_62348	0	19905	FALSE	TRUE	50	new species	0.50299	0.00198107	50.9281	50	57	35	6.56876e-07	SUCCESS	50	4	20	19	42	42	1	8
XAA-022	XAA	XA	22	Anaeroglobus_geminatus_62348	0	20545	FALSE	TRUE	50	new species	0.50299	0.00198107	50.9281	50	57	35	6.56876e-07	SUCCESS	50	5	20	19	42	42	1	8
XAA-023	XAA	XA	23	Anaeroglobus_geminatus_62348	0	19468	FALSE	TRUE	50	new species	0.50299	0.00198107	50.9281	50	57	35	6.56876e-07	SUCCESS	50	6	20	19	42	42	1	8
XAA-024	XAA	XA	24	Anaeroglobus_geminatus_62348	0	14804	FALSE	TRUE	50	new species	0.50299	0.00198107	50.9281	50	57	35	6.56876e-07	SUCCESS	50	7	20	19	42	42	1	8
XAA-026	XAA	XA	26	Anaeroglobus_geminatus_62348	0	14752	FALSE	TRUE	50	new species	0.50299	0.00198107	50.9281	50	57	35	6.56876e-07	SUCCESS	50	8	20	19	42	42	1	8
