"subject" "species_id" "kingdom" "phylum" "class" "order" "family" "genus" "species" "speciesStatusAbxAllTimepoints" "speciesStatusColonizationAllTimepoints" "timeOfRecoveryAllTimepoints" "timeOfColonizationAllTimepoints" "speciesStatusAbxKTfollowup" "speciesStatusColonizationKTfollowup" "timeOfRecoveryKTfollowup" "timeOfColonizationKTfollowup" "strainTurnover" "timeOfStrainTurnover" "speciesColonizedTransientlyMain" "speciesColonizedTransientlyAll" "sharingHhAnyTimepoint" "sharingHhPreAbx" "sharingHhPostAbx" "sharingHhMain" "sharingHhFollowup" "sharingHhPostAbxFollowup" "sharingSubjectPreAbx" "sharingSubjectPostAbx" "sharingSubjectFollowup" "sharingSubjectPostAbxFollowup" "sharingSubjectFinal"
"XAA" "Bacteroides_intestinalis_61596" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Bacteroides intestinalis" "speciesRecoveredMain" "speciesNotColonized" 39 NA NA "speciesNotColonized" NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Bacteroides_nordii_55557" "" "" "" "" "" "" "" "speciesNotRecovered" "speciesNotColonized" NA NA "speciesNotRecovered" "speciesNotColonized" NA NA FALSE NA NA NA "strainsUnknown" "speciesNotShared" "strainsUnknown" "strainsUnknown" "speciesNotShared" "strainsUnknown" "strainsShared" "speciesAbsent" "speciesAbsent" "speciesAbsent" "speciesAbsent"
"XAA" "Bacteroides_ovatus_58035" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Bacteroides ovatus" "speciesNotDisrupted" "speciesNotColonized" NA NA "speciesNotDisrupted" "speciesNotColonized" NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Bacteroides_rodentium_59708" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Bacteroides rodentium" "speciesRecoveredMain" "speciesNotColonized" 50 NA "speciesRecoveredFollowup" "speciesNotColonized" 623 NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Bacteroides_salyersiae_54873" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Bacteroides salyersiae" NA "speciesNotColonized" NA NA NA "speciesNotColonized" NA NA NA NA NA NA "strainsNotShared" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsNotShared" "strainsUnknown" "speciesAbsent" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Bacteroides_sartorii_54642" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Bacteroides sartorii" NA "speciesNotColonized" NA NA NA "speciesNotColonized" NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "speciesAbsent" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Bacteroides_thetaiotaomicron_56941" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Bacteroides sp. 1_1_6" "speciesNotRecovered" "speciesNotColonized" NA NA NA NA NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "speciesAbsent"
"XAA" "Bacteroides_uniformis_57318" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Bacteroides uniformis" "speciesRecoveredMain" "speciesNotColonized" 50 NA "speciesRecoveredFollowup" "speciesNotColonized" 623 NA TRUE 623 NA NA "strainsNotShared" "strainsNotShared" "strainsNotShared" "strainsNotShared" "strainsNotShared" "strainsNotShared" "strainsShared" "strainsShared" "strainsNotShared" "strainsShared" "strainsShared"
"XAA" "Bacteroides_vulgatus_57955" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Bacteroides vulgatus" "speciesRecoveredFollowup" "speciesNotColonized" 488 NA "speciesRecoveredFollowup" "speciesNotColonized" 454 NA TRUE 454 NA NA "strainsNotShared" "strainsNotShared" "strainsUnknown" "strainsNotShared" "strainsNotShared" "strainsNotShared" "strainsShared" "strainsUnknown" "strainsNotShared" "strainsNotShared" "strainsUnknown"
"XAA" "Bacteroides_xylanisolvens_57185" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Bacteroidaceae" "Bacteroides" "Bacteroides sp. D1" "speciesNotDisrupted" "speciesNotColonized" NA NA "speciesNotDisrupted" "speciesNotColonized" NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Bifidobacterium_adolescentis_56815" "Bacteria" "Actinobacteria" "Actinobacteridae" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Bifidobacterium stercoris" "speciesNotDisrupted" "speciesNotColonized" NA NA NA NA NA NA NA NA NA NA "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "strainsUnknown" "speciesAbsent" "strainsUnknown" "strainsUnknown" "speciesAbsent"
"XAA" "Bifidobacterium_animalis_58116" "Bacteria" "Actinobacteria" "Actinobacteridae" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Bifidobacterium animalis subsp. lactis" NA "followup" NA 623 NA "followup" NA 623 NA NA NA TRUE "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesAbsent" "strainsUnknown" "strainsUnknown" "strainsUnknown" "speciesAbsent"
"XAA" "Bifidobacterium_longum_57796" "Bacteria" "Actinobacteria" "Actinobacteridae" "Bifidobacteriales" "Bifidobacteriaceae" "Bifidobacterium" "Bifidobacterium longum subsp. infantis" "speciesRecoveredFollowup" "speciesNotColonized" 454 NA "speciesRecoveredFollowup" "speciesNotColonized" 454 NA TRUE 454 NA NA "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "strainsUnknown" "speciesAbsent" "strainsNotShared" "strainsNotShared" "strainsUnknown"
"XAA" "Bilophila_wadsworthia_57364" "Bacteria" "delta/epsilon subdivisions" "Deltaproteobacteria" "Desulfovibrionales" "Desulfovibrionaceae" "Bilophila" "Bilophila wadsworthia" "speciesRecoveredFollowup" "speciesNotColonized" 623 NA "speciesRecoveredFollowup" "speciesNotColonized" 623 NA FALSE NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "speciesNotShared" "strainsUnknown" "strainsShared" "speciesAbsent" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Blautia_hansenii_56031" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" "Blautia hansenii" "speciesNotRecovered" "speciesNotColonized" NA NA NA NA NA NA NA NA NA NA "strainsUnknown" "speciesNotShared" "strainsUnknown" "strainsUnknown" "speciesNotShared" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "speciesAbsent"
"XAA" "Blautia_producta_61268" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" "Blautia producta" NA "speciesNotColonized" NA NA NA "followup" NA 454 NA NA NA NA "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Blautia_wexlerae_56130" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Blautia" "Blautia wexlerae" "speciesRecoveredMain" "speciesNotColonized" 39 NA "speciesRecoveredFollowup" "speciesNotColonized" 281 NA TRUE 28 NA NA "strainsNotShared" "strainsNotShared" "strainsUnknown" "strainsNotShared" "strainsNotShared" "strainsNotShared" "strainsNotShared" "strainsUnknown" "strainsNotShared" "strainsNotShared" "strainsUnknown"
"XAA" "Butyricicoccus_pullicaecorum_59455" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae" "Butyricicoccus" "Butyricicoccus pullicaecorum" NA "followup" NA 225 NA "followup" NA 225 NA NA NA TRUE "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesAbsent" "speciesAbsent" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Campylobacter_concisus_59753" "Bacteria" "delta/epsilon subdivisions" "Epsilonproteobacteria" "Campylobacterales" "Campylobacteraceae" "Campylobacter" "Campylobacter concisus" NA "abx" NA 35 NA NA NA NA NA NA TRUE TRUE "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesAbsent" "strainsUnknown" "speciesAbsent" "strainsUnknown" "speciesAbsent"
"XAA" "Campylobacter_concisus_62542" "Bacteria" "delta/epsilon subdivisions" "Epsilonproteobacteria" "Campylobacterales" "Campylobacteraceae" "Campylobacter" "Campylobacter concisus" NA "abx" NA 35 NA NA NA NA NA NA TRUE TRUE "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesAbsent" "strainsUnknown" "speciesAbsent" "strainsUnknown" "speciesAbsent"
"XAA" "Campylobacter_gracilis_61787" "Bacteria" "delta/epsilon subdivisions" "Epsilonproteobacteria" "Campylobacterales" "Campylobacteraceae" "Campylobacter" "Campylobacter gracilis" NA "post-abx" NA 37 NA NA NA NA NA NA FALSE TRUE "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "strainsUnknown" "strainsUnknown" "speciesAbsent" "strainsUnknown" "speciesAbsent"
"XAA" "Campylobacter_sp_62066" "Bacteria" "delta/epsilon subdivisions" "Epsilonproteobacteria" "Campylobacterales" "Campylobacteraceae" "Campylobacter" "Campylobacter sp. 10_1_50" NA "abx" NA 35 NA NA NA NA NA NA TRUE TRUE "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "strainsUnknown" "strainsUnknown" "speciesAbsent" "strainsUnknown" "speciesAbsent"
"XAA" "Clostridiaceae_bacterium_58376" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Dielma" "Dielma fastidiosa" "speciesNotRecovered" "speciesNotColonized" NA NA NA NA NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "speciesNotShared" "strainsUnknown" "speciesNotShared" "speciesNotShared" "strainsUnknown" "speciesAbsent" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridiales_bacterium_43336" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "" "" "Clostridiales bacterium VE202-16" NA "speciesNotColonized" NA NA NA "speciesNotColonized" NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridiales_bacterium_52743" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Coprobacillus" "Coprobacillus sp. 3_3_56FAA" NA "speciesNotColonized" NA NA NA "speciesNotColonized" NA NA NA NA NA NA "strainsShared" "strainsUnknown" "strainsNotShared" "strainsNotShared" "strainsShared" "strainsShared" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridiales_bacterium_52957" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Ruminococcaceae" "Anaerotruncus" "Anaerotruncus colihominis" NA "speciesNotColonized" NA NA NA "speciesNotColonized" NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridiales_bacterium_55184" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "" "" "Clostridiales bacterium VE202-15" NA "speciesNotColonized" NA NA NA "speciesNotColonized" NA NA NA NA NA NA "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridiales_bacterium_55367" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "" "" "Clostridiales bacterium VE202-28" "speciesNotDisrupted" "speciesNotColonized" NA NA "speciesNotDisrupted" "speciesNotColonized" NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridiales_bacterium_55505" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "" "" "Clostridiales bacterium VE202-27" NA "speciesNotColonized" NA NA NA "speciesNotColonized" NA NA NA NA NA NA "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridiales_bacterium_56470" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "" "" "Clostridiales bacterium VE202-03" "speciesRecoveredMain" "speciesNotColonized" 36 NA "speciesNotDisrupted" "speciesNotColonized" NA NA NA NA NA NA "strainsNotShared" "strainsNotShared" "strainsNotShared" "strainsNotShared" "strainsNotShared" "strainsNotShared" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridiales_bacterium_59664" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "" "" "Clostridiales bacterium VE202-21" NA "speciesNotColonized" NA NA NA "speciesNotColonized" NA NA NA NA NA NA "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridiales_bacterium_61057" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "" "" "butyrate-producing bacterium SS3/4" "speciesRecoveredFollowup" "speciesNotColonized" 623 NA "speciesRecoveredFollowup" "speciesNotColonized" 623 NA NA NA NA NA "strainsNotShared" "strainsNotShared" "strainsUnknown" "strainsNotShared" "strainsUnknown" "strainsNotShared" "strainsUnknown" "speciesAbsent" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridium_bartlettii_61535" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Peptostreptococcaceae" "Intestinibacter" "Intestinibacter bartlettii" NA "speciesNotColonized" NA NA NA "speciesNotColonized" NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "speciesNotShared" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridium_bolteae_57158" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnoclostridium" "[Clostridium] bolteae" NA "speciesNotColonized" NA NA "speciesNotDisrupted" "speciesNotColonized" NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridium_cf_54592" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae" "Clostridium" "Clostridium sp. M62/1" NA "speciesNotColonized" NA NA NA "speciesNotColonized" NA NA NA NA NA NA "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "strainsUnknown" "speciesAbsent" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridium_citroniae_62210" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnoclostridium" "[Clostridium] citroniae" NA "speciesNotColonized" NA NA NA NA NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "speciesAbsent"
"XAA" "Clostridium_clostridioforme_51842" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnoclostridium" "[Clostridium] clostridioforme" NA "speciesNotColonized" NA NA NA "speciesNotColonized" NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridium_hathewayi_55515" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnoclostridium" "[Clostridium] hathewayi" NA "speciesNotColonized" NA NA "speciesNotDisrupted" "speciesNotColonized" NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridium_hathewayi_61827" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnoclostridium" "[Clostridium] hathewayi" "speciesNotDisrupted" "speciesNotColonized" NA NA "speciesNotDisrupted" "speciesNotColonized" NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridium_lentocellum_62000" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Cellulosilyticum" "Cellulosilyticum lentocellum" NA "post-abx" NA 50 NA NA NA NA NA NA FALSE TRUE "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesAbsent" "strainsUnknown" "speciesAbsent" "strainsUnknown" "speciesAbsent"
"XAA" "Clostridium_nexile_61654" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Tyzzerella" "Tyzzerella nexilis" NA "followup" NA 488 NA "followup" NA 488 NA NA NA FALSE "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesAbsent" "speciesAbsent" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridium_scindens_58238" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "" "" "Clostridiales bacterium VE202-26" NA "speciesNotColonized" NA NA NA "speciesNotColonized" NA NA NA NA NA NA "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridium_sp_61556" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Clostridiaceae" "Clostridium" "Clostridium sp. 7_2_43FAA" NA "post-abx" NA 57 NA NA NA NA NA NA FALSE TRUE "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesAbsent" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridium_spiroforme_61500" "Bacteria" "Firmicutes" "Erysipelotrichia" "Erysipelotrichales" "Erysipelotrichaceae" "Erysipelatoclostridium" "[Clostridium] spiroforme" NA "speciesNotColonized" NA NA NA "speciesNotColonized" NA NA NA NA NA NA "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "speciesNotShared" "strainsUnknown" "speciesAbsent" "strainsUnknown" "strainsUnknown" "strainsUnknown"
"XAA" "Clostridium_symbiosum_54029" "Bacteria" "Firmicutes" "Clostridia" "Clostridiales" "Lachnospiraceae" "Lachnoclostridium" "[Clostridium] symbiosum" NA "speciesNotColonized" NA NA "speciesNotDisrupted" "speciesNotColonized" NA NA NA NA NA NA "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown" "strainsUnknown"
