species_id	genome_id	genome_name	taxon_id	kingdom	phylum	class	order	family	genus	species	taxon_lineage_ids	taxon_lineage_names
Sulfobacillus_acidophilus_46797	1051632.5	Sulfobacillus acidophilus TPY	1051632	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus	Sulfobacillus acidophilus	131567;2;1239;186801;186802;538999;539000;28033;53633;1051632	cellular organisms;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales incertae sedis;Clostridiales Family XVII. Incertae Sedis;Sulfobacillus;Sulfobacillus acidophilus;Sulfobacillus acidophilus TPY
WWE1_bacterium_45113	1047070.3	candidate division WWE1 bacterium JGI 0000039-G13	1047070	Bacteria	Cloacimonetes					Cloacimonetes bacterium JGI 0000039-G13	131567;2;2323;456828;1047068;1047070	cellular organisms;Bacteria;unclassified Bacteria;Cloacimonetes;unclassified Cloacimonetes;Cloacimonetes bacterium JGI 0000039-G13
OP8_bacterium_45114	1047013.3	candidate division OP8 bacterium SCGC AAA252-A02	1047013	Bacteria	Aminicenantes					Aminicenantes bacterium SCGC AAA252-A02	131567;2;2323;67817;910038;1047013	cellular organisms;Bacteria;unclassified Bacteria;Aminicenantes;unclassified Aminicenantes;Aminicenantes bacterium SCGC AAA252-A02
NKB19_bacterium_45115	1046982.3	candidate division NKB19 bacterium JGI 0000039-J10	1046982	Bacteria	Hydrogenedentes					Hydrogenedentes bacterium JGI 0000039-J10	131567;2;2323;142187;1046981;1046982	cellular organisms;Bacteria;unclassified Bacteria;Hydrogenedentes;unclassified Hydrogenedentes;Hydrogenedentes bacterium JGI 0000039-J10
Chlamydia_psittaci_45116	1238237.3	Chlamydia psittaci 10_1398_11	1238237	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia psittaci	131567;2;51290;204428;204429;51291;809;1113537;810;83554;1238237	cellular organisms;Bacteria;Chlamydiae/Verrucomicrobia group;Chlamydiae;Chlamydiia;Chlamydiales;Chlamydiaceae;Chlamydia/Chlamydophila group;Chlamydia;Chlamydia psittaci;Chlamydia psittaci 10_1398_11
Prevotella_melaninogenica_58075	553174.6	Prevotella melaninogenica ATCC 25845	553174	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella melaninogenica	131567;2;68336;976;200643;171549;171552;838;28132;553174	cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Prevotella melaninogenica;Prevotella melaninogenica ATCC 25845
Oribacterium_sp_58077	904296.3	Oribacterium sp. oral taxon 108 str. F0425	904296	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	Oribacterium sp. oral taxon 108	131567;2;1239;186801;186802;186803;265975;712414;904296	cellular organisms;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;Oribacterium sp. oral taxon 108;Oribacterium sp. oral taxon 108 str. F0425
Geobacter_bremensis_58071	404380.4	Geobacter bemidjiensis Bem	404380	Bacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter bemidjiensis	131567;2;1224;68525;28221;69541;213422;28231;225194;404380	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;Geobacter bemidjiensis;Geobacter bemidjiensis Bem
Azospirillum_brasilense_58073	192.7	Azospirillum brasilense Sp245	1064539	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	Azospirillum brasilense	131567;2;1224;28211;204441;41295;191;192;1064539	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum;Azospirillum brasilense;Azospirillum brasilense Sp245
Rhodococcus_erythropolis_58072	1330040.3	Rhodococcus rhodochrous ATCC 17895	1330040	Bacteria	Actinobacteria	Actinobacteridae	Corynebacterineae	Nocardiaceae	Rhodococcus	Rhodococcus rhodochrous	131567;2;201174;1760;85003;2037;85007;85025;1827;1829;1330040	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Rhodococcus;Rhodococcus rhodochrous;Rhodococcus rhodochrous ATCC 17895
Arhodomonas_aquaeolei_58707	1121016.3	Arhodomonas aquaeolei DSM 8974	1121016	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Arhodomonas	Arhodomonas aquaeolei	131567;2;1224;1236;135613;72276;2368;2369;1121016	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Arhodomonas;Arhodomonas aquaeolei;Arhodomonas aquaeolei DSM 8974
Arenimonas_donghaensis_58706	1121014.3	Arenimonas donghaensis DSM 18148 = HO3-R19	1121014	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	Arenimonas donghaensis	131567;2;1224;1236;135614;32033;490567;375061;1121014	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas;Arenimonas donghaensis;Arenimonas donghaensis DSM 18148 = HO3-R19
Bradyrhizobium_elkanii_58218	1128204.3	Bradyrhizobium elkanii CCBAU 43297	1128204	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium elkanii	131567;2;1224;28211;356;41294;374;29448;1128204	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;Bradyrhizobium elkanii;Bradyrhizobium elkanii CCBAU 43297
Serratia_liquefaciens_58210	1346614.3	Serratia liquefaciens ATCC 27592	1346614	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	Serratia liquefaciens	131567;2;1224;1236;91347;543;613;614;1346614	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia;Serratia liquefaciens;Serratia liquefaciens ATCC 27592
Helicobacter_bilis_58212	37372.4	Helicobacter bilis ATCC 51630	37372	Bacteria	delta/epsilon subdivisions	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter bilis	131567;2;1224;68525;29547;213849;72293;209;37372	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter bilis
Myroides_odoratimimus_58215	1583100.3	Myroides sp. A21	1583100	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Myroides	Myroides sp. A21	131567;2;68336;976;117743;200644;49546;76831;1583100	cellular organisms;Bacteria;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Myroides;Myroides sp. A21
Rhodococcus_opacus_58217	745408.3	Rhodococcus sp. JVH1	745408	Bacteria	Actinobacteria	Actinobacteridae	Corynebacterineae	Nocardiaceae	Rhodococcus	Rhodococcus sp. JVH1	131567;2;201174;1760;85003;2037;85007;85025;1827;745408	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Rhodococcus;Rhodococcus sp. JVH1
Helicobacter_pylori_58216	992023.3	Helicobacter pylori NQ4216	992023	Bacteria	delta/epsilon subdivisions	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	131567;2;1224;68525;29547;213849;72293;209;210;992023	cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori;Helicobacter pylori NQ4216
Acaryochloris_sp_61175	310037.4	Acaryochloris sp. CCMEE 5410	310037	Bacteria	Cyanobacteria	Oscillatoriophycideae	Chroococcales		Acaryochloris	Acaryochloris sp. CCMEE 5410	131567;2;1117;1301283;1118;155977;310037	cellular organisms;Bacteria;Cyanobacteria;Oscillatoriophycideae;Chroococcales;Acaryochloris;Acaryochloris sp. CCMEE 5410
Burkholderia_pseudomallei_54177	1229785.3	Burkholderia pseudomallei BPC006	1229785	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia pseudomallei	131567;2;1224;28216;80840;119060;32008;111527;28450;1229785	cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;pseudomallei group;Burkholderia pseudomallei;Burkholderia pseudomallei BPC006
Streptomyces_mutabilis_62089	67332.3	Streptomyces mutabilis	67332	Bacteria	Actinobacteria	Actinobacteridae	Streptomycineae	Streptomycetaceae	Streptomyces	Streptomyces mutabilis	131567;2;201174;1760;85003;2037;85011;2062;1883;67332	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces;Streptomyces mutabilis
Pseudomonas_syringae_62088	673266.4	Pseudomonas syringae pv. syringae 642	673266	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas syringae	131567;2;1224;1236;72274;135621;286;136849;251695;317;321;673266	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas syringae group;Pseudomonas syringae group genomosp. 1;Pseudomonas syringae;Pseudomonas syringae pv. syringae;Pseudomonas syringae pv. s
Methylomirabilis_oxyfera_62085	671143.5	Candidatus Methylomirabilis oxyfera	671143	Bacteria					Candidatus Methylomirabilis	Candidatus Methylomirabilis oxyfera	131567;2;2323;640293;1170227;671143	cellular organisms;Bacteria;unclassified Bacteria;candidate division NC10;Candidatus Methylomirabilis;Candidatus Methylomirabilis oxyfera
Oceanithermus_profundus_62084	670487.3	Oceanithermus profundus DSM 14977	670487	Bacteria	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Oceanithermus	Oceanithermus profundus	131567;2;1297;188787;68933;188786;208447;187137;670487	cellular organisms;Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae;Oceanithermus;Oceanithermus profundus;Oceanithermus profundus DSM 14977
Streptomyces_griseus_62087	67263.19	Streptomyces griseus subsp. griseus	67263	Bacteria	Actinobacteria	Actinobacteridae	Streptomycineae	Streptomycetaceae	Streptomyces	Streptomyces griseus subsp. griseus	131567;2;201174;1760;85003;2037;85011;2062;1883;629295;1482596;1911;67263	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces;Streptomyces griseus group;Streptomyces griseus subgroup;Streptomyces griseus;Streptomyces griseus subsp. griseus
Streptomyces_albus_62086	67257.8	Streptomyces albus subsp. albus	67257	Bacteria	Actinobacteria	Actinobacteridae	Streptomycineae	Streptomycetaceae	Streptomyces	Streptomyces albus subsp. albus	131567;2;201174;1760;85003;2037;85011;2062;1883;1888;67257	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces;Streptomyces albus;Streptomyces albus subsp. albus
Streptomyces_catenulae_62081	66875.3	Streptomyces catenulae	66875	Bacteria	Actinobacteria	Actinobacteridae	Streptomycineae	Streptomycetaceae	Streptomyces	Streptomyces catenulae	131567;2;201174;1760;85003;2037;85011;2062;1883;66875	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces;Streptomyces catenulae
Streptomyces_atroolivaceus_62080	66869.3	Streptomyces atroolivaceus	66869	Bacteria	Actinobacteria	Actinobacteridae	Streptomycineae	Streptomycetaceae	Streptomyces	Streptomyces atroolivaceus	131567;2;201174;1760;85003;2037;85011;2062;1883;629295;1482564;66869	cellular organisms;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces;Streptomyces griseus group;Streptomyces atroolivaceus subgroup;Streptomyces atroolivaceus
Hyphomicrobium_denitrificans_62083	670307.3	Hyphomicrobium denitrificans 1NES1	670307	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	Hyphomicrobium denitrificans	131567;2;1224;28211;356;45401;81;53399;670307	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium;Hyphomicrobium denitrificans;Hyphomicrobium denitrificans 1NES1
Microvirga_aerilata_62082	670292.3	Microvirga aerilata	670292	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	Microvirga aerilata	131567;2;1224;28211;356;119045;186650;670292	cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Microvirga;Microvirga aerilata
Pseudomonas_fluorescens_61155	294.93	Pseudomonas fluorescens MEP34	294	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas fluorescens	131567;2;1224;1236;72274;135621;286;136843;294	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fluorescens group;Pseudomonas fluorescens
Saccharospirillum_impatiens_59038	1123228.4	Saccharospirillum impatiens DSM 12546	1123228	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Saccharospirillum	Saccharospirillum impatiens	131567;2;1224;1236;135619;255527;231683;169438;1123228	cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;Saccharospirillum;Saccharospirillum impatiens;Saccharospirillum impatiens DSM 12546
