genome_id	genome_name	rep_genome	length	contigs	species_id
1001719.3	Mycobacterium abscessus 3A-0930-S	0	5249987	12	Mycobacterium_abscessus_57844
1001720.3	Mycobacterium abscessus 3A-0930-R	0	5273535	13	Mycobacterium_abscessus_57844
1001721.3	Mycobacterium abscessus 3A-0119-R	0	5281259	13	Mycobacterium_abscessus_57844
1001722.3	Mycobacterium abscessus 4S-0303	0	4864284	8	Mycobacterium_abscessus_57844
1001723.3	Mycobacterium abscessus 4S-0206	0	4854982	10	Mycobacterium_abscessus_57844
1001724.3	Mycobacterium abscessus 4S-0116-S	0	4841923	7	Mycobacterium_abscessus_57844
1001725.3	Mycobacterium abscessus 4S-0116-R	0	4839534	5	Mycobacterium_abscessus_57844
1001726.3	Mycobacterium abscessus 4S-0726-RA	0	4842208	6	Mycobacterium_abscessus_57844
1001727.3	Mycobacterium abscessus 4S-0726-RB	0	4862293	6	Mycobacterium_abscessus_57844
1001728.3	Mycobacterium abscessus 5S-0304	0	5252090	6	Mycobacterium_abscessus_57844
1001729.3	Mycobacterium abscessus 5S-0421	0	5242408	6	Mycobacterium_abscessus_57844
1001730.3	Mycobacterium abscessus 5S-0708	0	5253252	6	Mycobacterium_abscessus_57844
1001731.3	Mycobacterium abscessus 5S-0422	0	5323965	13	Mycobacterium_abscessus_57844
1001732.3	Mycobacterium abscessus 5S-0921	0	5254648	12	Mycobacterium_abscessus_57844
1001733.3	Mycobacterium abscessus 5S-1212	0	5238612	6	Mycobacterium_abscessus_57844
1001734.3	Mycobacterium abscessus 5S-1215	0	5206300	5	Mycobacterium_abscessus_57844
1001735.3	Mycobacterium abscessus 5S-0817	0	5248482	11	Mycobacterium_abscessus_57844
1001736.3	Mycobacterium abscessus 6G-0728-S	0	5315024	6	Mycobacterium_abscessus_57844
1001737.3	Mycobacterium abscessus 6G-0728-R	0	5341825	8	Mycobacterium_abscessus_57844
1001738.3	Mycobacterium abscessus 6G-1108	0	5337035	16	Mycobacterium_abscessus_57844
1001739.3	Mycobacterium abscessus 6G-0212	0	5144692	13	Mycobacterium_abscessus_57844
1001740.3	Mycobacterium abscessus 6G-0125-R	0	5139423	5	Mycobacterium_abscessus_57844
1001741.3	Mycobacterium abscessus 6G-0125-S	0	5328817	8	Mycobacterium_abscessus_57844
1001744.3	Streptococcus pneumoniae PT8114	0	1977668	362	Streptococcus_pneumoniae_57684
1001745.3	Streptococcus pneumoniae 07AR0125	0	1993142	301	Streptococcus_pneumoniae_57684
1001746.3	Streptococcus pneumoniae BR1064	0	2020098	208	Streptococcus_pneumoniae_57684
1001747.3	Streptococcus pneumoniae ND6012	0	2017001	245	Streptococcus_pneumoniae_57684
1001886.3	Vibrio sp. C7	1	5408540	336	Vibrio_sp_58306
1001986.3	Leptospira interrogans serovar Copenhageni str. 2006007831	0	4531512	270	Leptospira_interrogans_56645
1001987.3	Leptospira interrogans serovar Copenhageni str. 2001025091	0	4510727	277	Leptospira_interrogans_56645
1001989.3	Escherichia coli PCN033	0	5037840	151	Escherichia_coli_58110
100226.15	Streptomyces coelicolor A3(2)	0	9054847	0	Streptomyces_lividans_53372
1002339.3	Psychrobacter sp. 1501(2011)	1	3034329	220	Psychrobacter_sp_58307
1002340.3	Phaeobacter gallaeciensis ANG1	1	4537411	86	Phaeobacter_gallaeciensis_57593
1002364.3	Hafnia alvei ATCC 51873	0	4870759	103	Enterobacteriaceae_bacterium_58100
1002365.5	Lactobacillus rhamnosus ATCC 21052	0	2861654	106	Lactobacillus_rhamnosus_57549
1002366.3	Listeria innocua ATCC 33091	1	2881628	33	Listeria_innocua_56310
1002367.3	Prevotella stercorea DSM 18206	1	3062709	221	Prevotella_stercorea_58308
1002368.3	Yokenella regensburgei ATCC 43003	0	4677075	41	Yokenella_regensburgei_54641
1002369.4	Clostridium difficile 70-100-2010	0	3983124	102	Clostridium_difficile_57608
1002672.3	Candidatus Pelagibacter sp. IMCC9063	1	1284727	0	Pelagibacter_sp_58309
1002804.6	Helicobacter bizzozeronii CIII-1	1	1807534	0	Helicobacter_bizzozeronii_58310
1002805.5	Helicobacter bizzozeronii CCUG 35545	1	1749997	124	Helicobacter_bizzozeronii_58311
1002809.3	Solibacillus silvestris StLB046	1	3984229	0	Bacillus_isronensis_56027
1003185.3	Salmonella enterica subsp. enterica serovar Agona str. SA-1	0	4749627	79	Salmonella_enterica_58156
1003186.3	Salmonella enterica subsp. enterica serovar Agona str. SA-2	0	4755353	55	Salmonella_enterica_58156
1003187.3	Salmonella enterica subsp. enterica serovar Agona str. SA-3	0	4749167	107	Salmonella_enterica_58156
1003188.3	Salmonella enterica subsp. enterica serovar Agona str. SA-4	0	4747986	110	Salmonella_enterica_58156
1003189.3	Salmonella enterica subsp. enterica serovar Agona str. SA-5	0	4754382	50	Salmonella_enterica_58156
1003191.3	Salmonella enterica subsp. enterica serovar Tennessee str. TXSC_TXSC08-19	0	4784767	224	Salmonella_enterica_58156
1003192.3	Salmonella enterica subsp. enterica serovar Tennessee str. TXSC_TXSC08-21	0	4694973	379	Salmonella_enterica_58156
1003195.11	Streptomyces cattleya NRRL 8057 = DSM 46488	1	8092553	0	Streptomyces_cattleya_58312
1003200.3	Achromobacter xylosoxidans AXX-A	0	6705209	159	Achromobacter_xylosoxidans_55343
1003201.3	Rickettsia typhi str. TH1527	0	1112372	0	Rickettsia_typhi_45301
1003202.3	Rickettsia typhi str. B9991CWPP	1	1112957	0	Rickettsia_typhi_45301
1003238.3	Chlamydophila abortus LLG	1	1135341	3	Chlamydophila_abortus_53678
1004149.3	Mesoflavibacter zeaxanthinifaciens S86	1	3689910	53	Mesoflavibacter_zeaxanthinifaciens_58313
1004151.3	Photorhabdus temperata subsp. khanii NC19	1	5227884	16	Photorhabdus_temperata_58314
1004153.3	Escherichia coli AA86	0	4983288	5	Escherichia_coli_58110
1004785.3	Alteromonas macleodii str. 'Black Sea 11'	1	4480507	0	Alteromonas_macleodii_58315
1004786.3	Alteromonas macleodii AltDE1	1	4947126	0	Alteromonas_macleodii_57135
1004787.3	Alteromonas macleodii str. 'Balearic Sea AD45'	0	4674885	0	Alteromonas_macleodii_57644
1004788.3	Alteromonas macleodii str. 'English Channel 673'	1	4601785	0	Alteromonas_macleodii_57644
1004836.3	Gluconacetobacter sp. SXCC-1	1	4231177	63	Gluconacetobacter_rhaeticus_55413
1004951.3	Streptococcus suis ST1	0	2034321	0	Streptococcus_suis_58228
1004952.3	Streptococcus suis D12	1	2183059	0	Streptococcus_suis_58284
1004953.3	Staphylococcus aureus subsp. aureus MRSA_PR1	0	2762555	25	Staphylococcus_aureus_56630
1004954.3	Brucella suis bv. 1 str. S2	0	3286641	49	Brucella_abortus_57261
1004955.3	Brucella melitensis bv. 1 str. M111	0	3286039	47	Brucella_abortus_57261
1004956.3	Brucella melitensis bv. 1 str. M28-12	0	3282385	57	Brucella_abortus_57261
1004957.3	Brucella melitensis bv. 1 str. M5	0	3280880	66	Brucella_abortus_57261
1005041.3	Streptococcus suis SS12	0	2096866	0	Streptococcus_suis_58197
1005042.3	Streptococcus suis D9	0	2177656	0	Streptococcus_suis_58197
1005048.3	Collimonas fungivorans Ter331	1	5186898	0	Collimonas_fungivorans_58316
1005058.3	Gallibacterium anatis UMN179	0	2694139	0	Gallibacterium_anatis_57930
1005090.4	Buchnera aphidicola str. Ak (Acyrthosiphon kondoi)	1	653223	0	Buchnera_aphidicola_58317
1005395.3	Pseudomonas putida CSV86	1	6450063	179	Pseudomonas_putida_58318
1005396.3	Escherichia coli 88.1467	0	5276560	276	Escherichia_coli_58110
1005397.3	Escherichia coli 88.0221	0	5055450	234	Escherichia_coli_58110
1005398.3	Escherichia coli 88.1042	0	5163835	202	Escherichia_coli_58110
1005399.3	Escherichia coli 89.0511	0	5210971	259	Escherichia_coli_58110
1005400.3	Escherichia coli 90.0091	0	5330682	298	Escherichia_coli_58110
1005401.3	Escherichia coli 90.0039	0	5277284	248	Escherichia_coli_58110
1005402.3	Escherichia coli 90.2281	0	5178163	217	Escherichia_coli_58110
1005403.3	Escherichia coli 93.0055	0	5232691	205	Escherichia_coli_58110
1005404.3	Escherichia coli 93.0056	0	5215807	199	Escherichia_coli_58110
1005405.3	Escherichia coli 94.0618	0	5223961	210	Escherichia_coli_58110
1005406.3	Escherichia coli 95.0183	0	5302812	354	Escherichia_coli_58110
1005407.3	Escherichia coli 95.1288	0	5048568	365	Escherichia_coli_58110
1005408.3	Escherichia coli 95.0943	0	5293115	258	Escherichia_coli_58110
1005410.3	Escherichia coli 96.0428	0	5153888	203	Escherichia_coli_58110
1005411.3	Escherichia coli 96.0427	0	5224684	279	Escherichia_coli_58110
1005412.3	Escherichia coli 96.0939	0	5266624	258	Escherichia_coli_58110
1005413.3	Escherichia coli 96.0932	0	5204524	270	Escherichia_coli_58110
1005414.3	Escherichia coli 96.0109	0	5246220	329	Escherichia_coli_58110
1005415.3	Escherichia coli 96.0107	0	5155218	197	Escherichia_coli_58110
1005416.3	Escherichia coli 97.0003	0	5197687	125	Escherichia_coli_58110
1005418.3	Escherichia coli 97.1742	0	5120245	337	Escherichia_coli_58110
1005419.3	Escherichia coli 97.0010	0	5193088	409	Escherichia_coli_58110
1005420.3	Escherichia coli 97.0007	0	5115682	263	Escherichia_coli_58110
1005421.3	Escherichia coli 99.0672	0	5285017	294	Escherichia_coli_58110
1005422.3	Escherichia coli 99.0678	0	5196077	139	Escherichia_coli_58110
1005423.3	Escherichia coli 99.0670	0	5194530	130	Escherichia_coli_58110
1005424.3	Escherichia coli 99.0713	0	5221566	118	Escherichia_coli_58110
1005430.3	Escherichia coli 99.0816	0	5191949	219	Escherichia_coli_58110
1005431.3	Escherichia coli 99.0848	0	5238756	220	Escherichia_coli_58110
1005432.3	Escherichia coli 99.0839	0	5185640	180	Escherichia_coli_58110
1005433.3	Escherichia coli 99.0815	0	5203142	288	Escherichia_coli_58110
1005434.3	Escherichia coli 99.0814	0	5257730	205	Escherichia_coli_58110
1005435.3	Escherichia coli 99.1762	0	5267756	138	Escherichia_coli_58110
1005436.3	Escherichia coli 99.1805	0	5164051	297	Escherichia_coli_58110
1005437.3	Escherichia coli 99.1793	0	5283920	180	Escherichia_coli_58110
1005438.3	Escherichia coli 99.1775	0	5131244	266	Escherichia_coli_58110
1005439.3	Escherichia coli 99.1781	0	5226028	157	Escherichia_coli_58110
1005440.3	Escherichia coli 99.1753	0	5136904	249	Escherichia_coli_58110
1005441.3	Escherichia coli 0.1304	0	5200514	271	Escherichia_coli_58110
1005442.3	Escherichia coli 0.1288	0	4918190	111	Escherichia_coli_58110
1005450.3	Escherichia coli 3.4870	0	5266144	239	Escherichia_coli_58110
1005452.3	Escherichia coli 5.2239	0	5238219	219	Escherichia_coli_58110
1005455.3	Escherichia coli 6.0172	0	5249907	221	Escherichia_coli_58110
1005460.3	Escherichia coli 8.2524	0	5356203	261	Escherichia_coli_58110
1005461.3	Escherichia coli 8.0586	0	5320290	274	Escherichia_coli_58110
1005462.3	Escherichia coli 8.0566	0	4697744	103	Escherichia_coli_58110
1005463.3	Escherichia coli 8.0416	0	5383023	228	Escherichia_coli_58110
1005464.3	Escherichia coli 8.0569	0	4701213	96	Escherichia_coli_58110
1005466.3	Escherichia coli 10.0833	0	5284413	260	Escherichia_coli_58110
1005467.3	Escherichia coli 10.0869	0	5223689	235	Escherichia_coli_58110
1005469.3	Escherichia coli 10.0821	0	5193571	107	Escherichia_coli_58110
1005470.3	Escherichia coli FDA504	0	5218476	210	Escherichia_coli_58110
1005471.3	Escherichia coli FDA505	0	5237160	293	Escherichia_coli_58110
1005472.3	Escherichia coli FDA507	0	5286074	233	Escherichia_coli_58110
1005473.3	Escherichia coli FDA517	0	5422186	273	Escherichia_coli_58110
1005474.3	Escherichia coli FDA506	0	5261122	208	Escherichia_coli_58110
1005475.3	Escherichia coli FRIK1996	0	5323334	315	Escherichia_coli_58110
1005476.3	Escherichia coli FRIK1985	0	5393171	396	Escherichia_coli_58110
1005477.3	Escherichia coli FRIK1999	0	5350021	274	Escherichia_coli_58110
1005478.3	Escherichia coli FRIK1990	0	5409309	366	Escherichia_coli_58110
1005479.3	Escherichia coli FRIK2001	0	5330884	264	Escherichia_coli_58110
1005480.3	Escherichia coli FRIK1997	0	5484187	317	Escherichia_coli_58110
1005481.3	Escherichia coli 93-001	0	5279733	256	Escherichia_coli_58110
1005482.3	Escherichia coli FRIK523	0	5359830	272	Escherichia_coli_58110
1005483.3	Escherichia coli FRIK920	0	5736168	118	Escherichia_coli_58110
1005484.3	Escherichia coli NE037	0	5364039	308	Escherichia_coli_58110
1005485.3	Escherichia coli NE1487	0	5307373	254	Escherichia_coli_58110
1005486.3	Escherichia coli NE098	0	5240744	246	Escherichia_coli_58110
1005487.3	Escherichia coli PA2	0	5252045	109	Escherichia_coli_58110
1005488.3	Escherichia coli PA3	0	5275629	285	Escherichia_coli_58110
1005489.3	Escherichia coli PA4	0	5372643	251	Escherichia_coli_58110
1005490.3	Escherichia coli PA5	0	5233879	297	Escherichia_coli_58110
1005491.3	Escherichia coli PA7	0	5740127	63	Escherichia_coli_58110
1005492.3	Escherichia coli PA8	0	5265388	121	Escherichia_coli_58110
1005493.3	Escherichia coli PA9	0	5343385	251	Escherichia_coli_58110
1005494.3	Escherichia coli PA10	0	5444127	363	Escherichia_coli_58110
1005495.3	Escherichia coli PA14	0	5338095	334	Escherichia_coli_58110
1005496.3	Escherichia coli PA15	0	5334975	269	Escherichia_coli_58110
1005497.3	Escherichia coli PA22	0	5492062	71	Escherichia_coli_58110
1005498.3	Escherichia coli PA23	0	5324492	258	Escherichia_coli_58110
1005499.3	Escherichia coli PA24	0	5220352	301	Escherichia_coli_58110
1005500.3	Escherichia coli PA25	0	5282073	243	Escherichia_coli_58110
1005501.3	Escherichia coli PA28	0	5316974	260	Escherichia_coli_58110
1005502.3	Escherichia coli PA31	0	5247251	335	Escherichia_coli_58110
1005503.3	Escherichia coli PA32	0	5244078	337	Escherichia_coli_58110
1005504.3	Escherichia coli PA33	0	5226378	313	Escherichia_coli_58110
1005505.3	Escherichia coli PA34	0	5312275	226	Escherichia_coli_58110
1005506.3	Escherichia coli PA38	0	5153707	356	Escherichia_coli_58110
1005507.3	Escherichia coli PA39	0	5179933	505	Escherichia_coli_58110
1005508.3	Escherichia coli PA40	0	5521065	64	Escherichia_coli_58110
1005509.3	Escherichia coli PA41	0	5370255	321	Escherichia_coli_58110
1005510.3	Escherichia coli PA42	0	5307302	244	Escherichia_coli_58110
1005511.3	Escherichia coli PA45	0	5314739	239	Escherichia_coli_58110
1005512.3	Escherichia coli PA47	0	5212534	153	Escherichia_coli_58110
1005513.3	Escherichia coli PA48	0	5200277	133	Escherichia_coli_58110
1005514.4	Escherichia coli PA49	0	5390926	277	Escherichia_coli_58110
1005515.3	Escherichia coli TW06591	0	5475455	45	Escherichia_coli_58110
1005516.3	Escherichia coli TW07945	0	5295110	238	Escherichia_coli_58110
1005517.3	Escherichia coli TW10246	0	5446604	47	Escherichia_coli_58110
1005518.3	Escherichia coli TW11039	0	5596176	71	Escherichia_coli_58110
1005519.3	Escherichia coli TW09098	0	5391157	300	Escherichia_coli_58110
1005520.3	Escherichia coli TW09109	0	5574521	61	Escherichia_coli_58110
1005522.3	Escherichia coli TW10119	0	5551996	56	Escherichia_coli_58110
1005523.3	Escherichia coli EC4203	0	5281758	312	Escherichia_coli_58110
1005524.3	Escherichia coli EC4196	0	5250677	322	Escherichia_coli_58110
1005525.3	Escherichia coli TW14313	0	5184785	429	Escherichia_coli_58110
1005526.3	Escherichia coli TW14301	0	5209494	287	Escherichia_coli_58110
1005527.3	Escherichia coli EC4421	0	5231804	241	Escherichia_coli_58110
1005528.3	Escherichia coli EC4422	0	5249220	226	Escherichia_coli_58110
1005529.3	Escherichia coli EC4013	0	5270026	257	Escherichia_coli_58110
1005530.3	Escherichia coli EC4402	0	5292196	454	Escherichia_coli_58110
1005531.3	Escherichia coli EC4439	0	5297108	303	Escherichia_coli_58110
1005532.3	Escherichia coli EC4436	0	5326522	266	Escherichia_coli_58110
1005533.3	Escherichia coli EC4437	0	5328674	245	Escherichia_coli_58110
1005534.3	Escherichia coli EC4448	0	5387623	328	Escherichia_coli_58110
1005535.3	Escherichia coli EC1738	0	5478162	62	Escherichia_coli_58110
1005536.3	Escherichia coli EC1734	0	5427907	54	Escherichia_coli_58110
1005537.3	Escherichia coli EC1735	0	5290256	254	Escherichia_coli_58110
1005538.3	Escherichia coli EC1736	0	5295419	253	Escherichia_coli_58110
1005539.3	Escherichia coli EC1737	0	5131518	294	Escherichia_coli_58110
1005540.3	Escherichia coli EC1845	0	5262907	314	Escherichia_coli_58110
1005541.3	Escherichia coli EC1846	0	5244719	312	Escherichia_coli_58110
1005542.3	Escherichia coli EC1847	0	5230238	308	Escherichia_coli_58110
1005543.3	Escherichia coli EC1848	0	5078050	249	Escherichia_coli_58110
1005544.3	Escherichia coli EC1849	0	5263019	282	Escherichia_coli_58110
1005545.3	Escherichia coli EC1850	0	5283567	263	Escherichia_coli_58110
1005546.3	Escherichia coli EC1856	0	5294262	253	Escherichia_coli_58110
1005547.3	Escherichia coli EC1862	0	5193436	388	Escherichia_coli_58110
1005548.3	Escherichia coli EC1863	0	5306656	232	Escherichia_coli_58110
1005549.3	Escherichia coli EC1864	0	5314509	272	Escherichia_coli_58110
1005550.3	Escherichia coli EC1865	0	5289559	411	Escherichia_coli_58110
1005551.3	Escherichia coli EC1866	0	5291238	255	Escherichia_coli_58110
1005552.4	Escherichia coli EC1868	0	5385407	271	Escherichia_coli_58110
1005553.3	Escherichia coli EC1869	0	5180091	261	Escherichia_coli_58110
1005554.3	Escherichia coli EC1870	0	5354319	286	Escherichia_coli_58110
1005555.3	Escherichia coli TT12B	0	5231182	207	Escherichia_coli_58110
1005557.3	Escherichia coli MA6	0	5306244	252	Escherichia_coli_58110
1005558.3	Escherichia coli 5905	0	5440292	220	Escherichia_coli_58110
1005559.3	Escherichia coli CB7326	0	5274563	284	Escherichia_coli_58110
1005560.4	Escherichia coli EC96038	0	5222075	273	Escherichia_coli_58110
1005561.3	Escherichia coli 5412	0	5201932	210	Escherichia_coli_58110
1005562.3	Escherichia coli TW15901	0	4863355	180	Escherichia_coli_58110
1005563.3	Escherichia coli ARS4.2123	0	4928637	160	Escherichia_coli_58110
1005564.3	Escherichia coli TW00353	0	4979717	165	Escherichia_coli_58110
1005565.3	Escherichia coli 3006	0	4833892	198	Escherichia_coli_58110
1005566.3	Escherichia coli 07798	0	4858181	144	Escherichia_coli_58110
1005567.3	Escherichia coli N1	0	4881843	190	Escherichia_coli_58110
1005703.3	Propionibacterium sp. CC003-HC2	0	2550549	1	Propionibacterium_acnes_57367
1005704.3	Streptococcus oralis SK255	1	2002310	60	Streptococcus_oralis_58319
1005705.3	Streptococcus infantis SK1076	1	1743375	29	Streptococcus_infantis_58320
1005706.3	Streptococcus dysgalactiae subsp. equisimilis SK1250	0	2122515	1	Streptococcus_dysgalactiae_58236
1005941.3	Planococcus halocryophilus Or1	1	3419968	31	Planococcus_halocryophilus_58321
1005994.3	Trabulsiella guamensis ATCC 49490	1	4929750	278	Trabulsiella_guamensis_58322
1005995.3	Tatumella ptyseos ATCC 33301	0	3533116	80	Tatumella_ptyseos_53108
1005996.3	Raoultella planticola ATCC 33531	0	5668030	83	Raoultella_planticola_57814
1005999.3	Leminorella grimontii ATCC 33999	1	4217979	38	Leminorella_grimontii_45169
1005999.4	Leminorella grimontii ATCC 33999 = DSM 5078	0	4235610	57	Leminorella_grimontii_45169
1006000.3	Kluyvera ascorbata ATCC 33433	1	4932350	253	Kluyvera_ascorbata_58323
1006003.3	Citrobacter freundii ATCC 8090 = MTCC 1658	0	4953101	116	Citrobacter_freundii_56148
1006004.4	Buttiauxella agrestis ATCC 33320	1	4725820	93	Buttiauxella_agrestis_58324
1006007.3	Bacillus megaterium WSH-002	0	5075293	0	Bacillus_megaterium_57856
1006543.3	Staphylococcus aureus subsp. aureus T0131	0	2913900	0	Staphylococcus_aureus_56630
1006551.4	Klebsiella oxytoca KCTC 1686	0	5974109	0	Klebsiella_oxytoca_56762
1006554.3	Acetobacter pasteurianus NBRC 101655	1	2970030	139	Acetobacter_pasteurianus_58325
1006579.6	Corynebacterium ulcerans FRC11	0	2442826	1	Corynebacterium_ulcerans_49663
1007064.3	Streptococcus suis ST3	0	2028815	0	Streptococcus_suis_58197
1007096.3	Oscillibacter ruminantium GH1	1	3068433	45	Oscillibacter_ruminantium_58326
1007103.3	Paenibacillus elgii B69	1	7944914	254	Paenibacillus_elgii_58327
1007104.3	Sphingomonas sp. S17	1	4262194	60	Sphingomonas_paucimobilis_49128
1007105.3	Pusillimonas sp. T7-7	1	3924810	0	Pusillimonas_sp_58328
1007114.3	gamma proteobacterium SCGC AAA076-D02	0	1754695	45	Gamma_proteobacterium_58013
1007115.3	gamma proteobacterium SCGC AAA076-D13	0	1651486	64	Gamma_proteobacterium_58013
1007117.3	gamma proteobacterium SCGC AAA076-F14	1	1759928	43	Gamma_proteobacterium_58013
1007119.3	gamma proteobacterium SCGC AAA076-P13	1	1305639	31	Gamma_proteobacterium_58329
1007123.3	SAR406 cluster bacterium SCGC AAA160-I06	1	1125622	45	SAR406_cluster_45166
1007654.3	Bacillus sp. 916	0	3908535	102	Bacillus_amyloliquefaciens_57149
1007656.5	Pseudomonas fluorescens Wayne1	0	6736204	240	Pseudomonas_protegens_55935
1007870.3	Chlamydia trachomatis RC-L2/55	0	1038870	0	Chlamydia_trachomatis_55246
1007871.3	Chlamydia trachomatis RC-J/971	0	1038442	0	Chlamydia_trachomatis_55246
1008297.7	Salmonella enterica subsp. enterica serovar Typhimurium str. 798	0	4970096	0	Salmonella_enterica_58156
1008452.3	Streptococcus mitis SK1073	1	2108609	48	Streptococcus_mitis_58330
1008453.3	Streptococcus mitis SK1080	1	1941787	31	Streptococcus_mitis_58331
1008457.3	Myroides injenensis M09-0166	1	3432487	173	Myroides_injenensis_58332
1008459.4	Taylorella asinigenitalis MCE3	0	1638559	0	Taylorella_asinigenitalis_56694
100901.6	Wolbachia endosymbiont of Onchocerca ochengi	0	957990	0	Wolbachia_endosymbiont_54269
1009370.3	Acetonema longum DSM 6540	1	4269885	213	Acetonema_longum_58333
