sample subject hh timepoint species_id relative_abundance totalReads speciesStatusColonizationAllTimepoints timeOfColonizationAllTimepoints strainTurnover timeOfStrainTurnover
XAA-022 XAA XA 22 Fusobacterium_nucleatum_57855 0 20545 post-abx 36 NA NA
XAA-022 XAA XA 22 Intestinimonas_butyriciproducens_60001 0 20545 followup 623 NA NA
XAA-022 XAA XA 22 Klebsiella_pneumoniae_54788 0 20545 post-abx 50 NA NA
XAA-022 XAA XA 22 Megasphaera_micronuciformis_62167 0 20545 post-abx 37 NA NA
XAA-022 XAA XA 22 Parabacteroides_distasonis_56985 0.0139259321162 20545 speciesNotColonized NA TRUE 590
XAA-022 XAA XA 22 Prevotella_buccae_56058 0 20545 post-abx 39 NA NA
XAA-022 XAA XA 22 Ruminococcus_callidus_61479 0 20545 followup 590 NA NA
XAA-022 XAA XA 22 Ruminococcus_sp_55468 0.00141315821123 20545 speciesNotColonized NA TRUE 623
XAA-022 XAA XA 22 Streptococcus_australis_62469 0 20545 abx 30 NA NA
XAA-022 XAA XA 22 Streptococcus_salivarius_58037 0.0001010471396 20545 followup 623 NA NA
XAA-022 XAA XA 22 Streptococcus_sp_57750 0 20545 abx 30 NA NA
XAA-023 XAA XA 23 Adlercreutzia_equolifaciens_60310 0 19468 followup 555 NA NA
XAA-023 XAA XA 23 Alistipes_onderdonkii_55464 0.140745109442 19468 speciesNotColonized NA TRUE 623
XAA-023 XAA XA 23 Alistipes_putredinis_61533 0 19468 followup 623 NA NA
XAA-023 XAA XA 23 Alistipes_shahii_62199 0 19468 followup 623 NA NA
XAA-023 XAA XA 23 Anaeroglobus_geminatus_62348 0 19468 post-abx 50 NA NA
XAA-023 XAA XA 23 Bacteroides_uniformis_57318 0.091700389504 19468 speciesNotColonized NA TRUE 623
XAA-023 XAA XA 23 Bacteroides_vulgatus_57955 0.371346562292 19468 speciesNotColonized NA TRUE 454
XAA-023 XAA XA 23 Bifidobacterium_animalis_58116 0 19468 followup 623 NA NA
XAA-023 XAA XA 23 Bifidobacterium_longum_57796 0.000629080790871 19468 speciesNotColonized NA TRUE 454
XAA-023 XAA XA 23 Blautia_wexlerae_56130 0.00809409807698 19468 speciesNotColonized NA TRUE 28
XAA-023 XAA XA 23 Butyricicoccus_pullicaecorum_59455 0 19468 followup 225 NA NA
XAA-023 XAA XA 23 Campylobacter_concisus_59753 0 19468 abx 35 NA NA
XAA-023 XAA XA 23 Campylobacter_concisus_62542 0 19468 abx 35 NA NA
XAA-023 XAA XA 23 Campylobacter_gracilis_61787 0 19468 post-abx 37 NA NA
XAA-023 XAA XA 23 Campylobacter_sp_62066 0 19468 abx 35 NA NA
XAA-023 XAA XA 23 Clostridium_lentocellum_62000 0 19468 post-abx 50 NA NA
XAA-023 XAA XA 23 Clostridium_nexile_61654 0 19468 followup 488 NA NA
XAA-023 XAA XA 23 Clostridium_sp_61556 0 19468 post-abx 57 NA NA
XAA-023 XAA XA 23 Collinsella_aerofaciens_61484 0 19468 followup 522 NA NA
XAA-023 XAA XA 23 Collinsella_sp_62205 0 19468 followup 555 NA NA
XAA-023 XAA XA 23 Dialister_invisus_61905 0 19468 post-abx 42 NA NA
XAA-023 XAA XA 23 Enterococcus_casseliflavus_56514 0 19468 post-abx 39 NA NA
XAA-023 XAA XA 23 Escherichia_coli_57907 0 19468 followup 652 NA NA
XAA-023 XAA XA 23 Eubacterium_eligens_61678 1.87352384327e-05 19468 followup 225 NA NA
XAA-023 XAA XA 23 Faecalibacterium_cf_62236 0.00508848589711 19468 speciesNotColonized NA TRUE 623
XAA-023 XAA XA 23 Fusobacterium_nucleatum_57450 0 19468 post-abx 39 NA NA
XAA-023 XAA XA 23 Fusobacterium_nucleatum_57855 0 19468 post-abx 36 NA NA
XAA-023 XAA XA 23 Intestinimonas_butyriciproducens_60001 1.72544845132e-05 19468 followup 623 NA NA
XAA-023 XAA XA 23 Klebsiella_pneumoniae_54788 0 19468 post-abx 50 NA NA
XAA-023 XAA XA 23 Megasphaera_micronuciformis_62167 0 19468 post-abx 37 NA NA
XAA-023 XAA XA 23 Parabacteroides_distasonis_56985 0.00626761693816 19468 speciesNotColonized NA TRUE 590
XAA-023 XAA XA 23 Prevotella_buccae_56058 0 19468 post-abx 39 NA NA
XAA-023 XAA XA 23 Ruminococcus_callidus_61479 0 19468 followup 590 NA NA
XAA-023 XAA XA 23 Ruminococcus_sp_55468 0.00106719419477 19468 speciesNotColonized NA TRUE 623
XAA-023 XAA XA 23 Streptococcus_australis_62469 0 19468 abx 30 NA NA
XAA-023 XAA XA 23 Streptococcus_salivarius_58037 0 19468 followup 623 NA NA
XAA-023 XAA XA 23 Streptococcus_sp_57750 0 19468 abx 30 NA NA
XAA-024 XAA XA 24 Adlercreutzia_equolifaciens_60310 0 14804 followup 555 NA NA
XAA-024 XAA XA 24 Alistipes_onderdonkii_55464 0.0986001313367 14804 speciesNotColonized NA TRUE 623
XAA-024 XAA XA 24 Alistipes_putredinis_61533 0 14804 followup 623 NA NA
XAA-024 XAA XA 24 Alistipes_shahii_62199 0 14804 followup 623 NA NA
XAA-024 XAA XA 24 Anaeroglobus_geminatus_62348 0 14804 post-abx 50 NA NA
XAA-024 XAA XA 24 Bacteroides_uniformis_57318 0.0967688804342 14804 speciesNotColonized NA TRUE 623
XAA-024 XAA XA 24 Bacteroides_vulgatus_57955 0.391474629648 14804 speciesNotColonized NA TRUE 454
XAA-024 XAA XA 24 Bifidobacterium_animalis_58116 0 14804 followup 623 NA NA
XAA-024 XAA XA 24 Bifidobacterium_longum_57796 0.000569536475562 14804 speciesNotColonized NA TRUE 454
XAA-024 XAA XA 24 Blautia_wexlerae_56130 0.00344688831477 14804 speciesNotColonized NA TRUE 28
XAA-024 XAA XA 24 Butyricicoccus_pullicaecorum_59455 0 14804 followup 225 NA NA
XAA-024 XAA XA 24 Campylobacter_concisus_59753 0 14804 abx 35 NA NA
XAA-024 XAA XA 24 Campylobacter_concisus_62542 0 14804 abx 35 NA NA
XAA-024 XAA XA 24 Campylobacter_gracilis_61787 0 14804 post-abx 37 NA NA
XAA-024 XAA XA 24 Campylobacter_sp_62066 0 14804 abx 35 NA NA
XAA-024 XAA XA 24 Clostridium_lentocellum_62000 0 14804 post-abx 50 NA NA
XAA-024 XAA XA 24 Clostridium_nexile_61654 0 14804 followup 488 NA NA
XAA-024 XAA XA 24 Clostridium_sp_61556 0 14804 post-abx 57 NA NA
XAA-024 XAA XA 24 Collinsella_aerofaciens_61484 0 14804 followup 522 NA NA
XAA-024 XAA XA 24 Collinsella_sp_62205 0 14804 followup 555 NA NA
XAA-024 XAA XA 24 Dialister_invisus_61905 0 14804 post-abx 42 NA NA
XAA-024 XAA XA 24 Enterococcus_casseliflavus_56514 0 14804 post-abx 39 NA NA
XAA-024 XAA XA 24 Escherichia_coli_57907 6.90421563009e-05 14804 followup 652 NA NA
XAA-024 XAA XA 24 Eubacterium_eligens_61678 1.37798856407e-05 14804 followup 225 NA NA
XAA-024 XAA XA 24 Faecalibacterium_cf_62236 0.00531043878829 14804 speciesNotColonized NA TRUE 623
XAA-024 XAA XA 24 Fusobacterium_nucleatum_57450 0 14804 post-abx 39 NA NA
XAA-024 XAA XA 24 Fusobacterium_nucleatum_57855 0 14804 post-abx 36 NA NA
XAA-024 XAA XA 24 Intestinimonas_butyriciproducens_60001 0 14804 followup 623 NA NA
XAA-024 XAA XA 24 Klebsiella_pneumoniae_54788 0 14804 post-abx 50 NA NA
XAA-024 XAA XA 24 Megasphaera_micronuciformis_62167 0 14804 post-abx 37 NA NA
XAA-024 XAA XA 24 Parabacteroides_distasonis_56985 0.00473625762515 14804 speciesNotColonized NA TRUE 590
XAA-024 XAA XA 24 Prevotella_buccae_56058 0 14804 post-abx 39 NA NA
XAA-024 XAA XA 24 Ruminococcus_callidus_61479 0 14804 followup 590 NA NA
XAA-024 XAA XA 24 Ruminococcus_sp_55468 0.000850508097153 14804 speciesNotColonized NA TRUE 623
XAA-024 XAA XA 24 Streptococcus_australis_62469 0 14804 abx 30 NA NA
XAA-024 XAA XA 24 Streptococcus_salivarius_58037 0 14804 followup 623 NA NA
XAA-024 XAA XA 24 Streptococcus_sp_57750 0 14804 abx 30 NA NA
XAA-026 XAA XA 26 Adlercreutzia_equolifaciens_60310 0 14752 followup 555 NA NA
XAA-026 XAA XA 26 Alistipes_onderdonkii_55464 0.0859496992294 14752 speciesNotColonized NA TRUE 623
XAA-026 XAA XA 26 Alistipes_putredinis_61533 0 14752 followup 623 NA NA
XAA-026 XAA XA 26 Alistipes_shahii_62199 0 14752 followup 623 NA NA
XAA-026 XAA XA 26 Anaeroglobus_geminatus_62348 0 14752 post-abx 50 NA NA
XAA-026 XAA XA 26 Bacteroides_uniformis_57318 0.146662576116 14752 speciesNotColonized NA TRUE 623
XAA-026 XAA XA 26 Bacteroides_vulgatus_57955 0.211178784302 14752 speciesNotColonized NA TRUE 454
XAA-026 XAA XA 26 Bifidobacterium_animalis_58116 0 14752 followup 623 NA NA
XAA-026 XAA XA 26 Bifidobacterium_longum_57796 0.0019434318967 14752 speciesNotColonized NA TRUE 454
XAA-026 XAA XA 26 Blautia_wexlerae_56130 0.00841846731078 14752 speciesNotColonized NA TRUE 28
XAA-026 XAA XA 26 Butyricicoccus_pullicaecorum_59455 0 14752 followup 225 NA NA
XAA-026 XAA XA 26 Campylobacter_concisus_59753 0 14752 abx 35 NA NA
XAA-026 XAA XA 26 Campylobacter_concisus_62542 0 14752 abx 35 NA NA
XAA-026 XAA XA 26 Campylobacter_gracilis_61787 0 14752 post-abx 37 NA NA
XAA-026 XAA XA 26 Campylobacter_sp_62066 6.96163955057e-05 14752 abx 35 NA NA
XAA-026 XAA XA 26 Clostridium_lentocellum_62000 0 14752 post-abx 50 NA NA
XAA-026 XAA XA 26 Clostridium_nexile_61654 0 14752 followup 488 NA NA
XAA-026 XAA XA 26 Clostridium_sp_61556 0 14752 post-abx 57 NA NA
XAA-026 XAA XA 26 Collinsella_aerofaciens_61484 0 14752 followup 522 NA NA
XAA-026 XAA XA 26 Collinsella_sp_62205 0 14752 followup 555 NA NA
XAA-026 XAA XA 26 Dialister_invisus_61905 0 14752 post-abx 42 NA NA
XAA-026 XAA XA 26 Enterococcus_casseliflavus_56514 0 14752 post-abx 39 NA NA
XAA-026 XAA XA 26 Escherichia_coli_57907 0 14752 followup 652 NA NA
XAA-026 XAA XA 26 Eubacterium_eligens_61678 0 14752 followup 225 NA NA
XAA-026 XAA XA 26 Faecalibacterium_cf_62236 0.0172708889616 14752 speciesNotColonized NA TRUE 623
XAA-026 XAA XA 26 Fusobacterium_nucleatum_57450 0 14752 post-abx 39 NA NA
XAA-026 XAA XA 26 Fusobacterium_nucleatum_57855 0 14752 post-abx 36 NA NA
XAA-026 XAA XA 26 Intestinimonas_butyriciproducens_60001 0 14752 followup 623 NA NA
XAA-026 XAA XA 26 Klebsiella_pneumoniae_54788 0 14752 post-abx 50 NA NA
XAA-026 XAA XA 26 Megasphaera_micronuciformis_62167 0 14752 post-abx 37 NA NA
XAA-026 XAA XA 26 Parabacteroides_distasonis_56985 0.00719697543244 14752 speciesNotColonized NA TRUE 590
